episode,total_reward,cache_hits,cache_misses,epsilon
0,8335.52312231799,109028,11921,0.99
1,8120.891331408411,109561,11226,0.9801
2,8024.272621130115,109328,11621,0.9702989999999999
3,7926.545759636085,109060,11768,0.96059601
4,8357.763900836544,109593,11102,0.9509900498999999
5,8051.845667106263,109362,11476,0.9414801494009999
6,8124.9460711278025,109574,11377,0.9320653479069899
7,8266.768964097731,109589,11214,0.92274469442792
8,8103.719381498073,109730,11130,0.9135172474836407
9,8408.702552473254,109932,10847,0.9043820750088043
10,8259.095056775259,109858,10993,0.8953382542587163
11,8317.260382528277,110112,10758,0.8863848717161291
12,8531.826285120225,110031,10826,0.8775210229989678
13,8613.371505682011,110373,10313,0.8687458127689781
14,8961.695014228611,110526,10455,0.8600583546412883
15,8836.374135115027,110548,10321,0.8514577710948754
16,8525.108696243316,110339,10485,0.8429431933839266
17,8611.320083115987,110276,10466,0.8345137614500874
18,8793.153635436662,110585,10179,0.8261686238355865
19,8729.286993583715,110377,10555,0.8179069375972307
20,9033.919397408094,110782,10058,0.8097278682212583
21,9405.217764987292,111023,9906,0.8016305895390458
22,9280.402213919755,111306,9777,0.7936142836436553
23,9143.55647934893,110927,10012,0.7856781408072188
24,8894.683726314894,111046,9777,0.7778213593991465
25,9270.46190825497,110958,9785,0.7700431458051551
26,9618.796490537768,111224,9380,0.7623427143471035
27,9062.95652892958,111288,9621,0.7547192872036325
28,9656.539473010947,111642,9208,0.7471720943315961
29,9334.669227990273,111677,9185,0.7397003733882802
30,9990.903731162922,112005,8994,0.7323033696543974
31,9290.997309918312,111348,9565,0.7249803359578534
32,9594.190486221118,111499,9349,0.7177305325982748
33,9777.636175883017,111801,8989,0.7105532272722921
34,9706.138357443124,112007,8764,0.7034476949995692
35,9903.168636651799,112291,8509,0.6964132180495735
36,9724.594461064218,111788,9101,0.6894490858690777
37,9633.76197187777,111887,8898,0.682554595010387
38,9919.831951081405,112098,8658,0.6757290490602831
39,9630.131213023884,112109,8837,0.6689717585696803
40,10056.151296196915,112274,8475,0.6622820409839835
41,9394.390791953592,112375,8634,0.6556592205741436
42,9860.759448199235,112394,8380,0.6491026283684022
43,10079.67144325024,112285,8437,0.6426116020847181
44,10018.482891889733,112540,8291,0.6361854860638709
45,9989.56042875625,112356,8478,0.6298236312032323
46,9844.726081533332,112351,8425,0.6235253948912
47,10275.234807809426,112659,8265,0.617290140942288
48,9551.222165793857,112207,8548,0.6111172395328651
49,9880.078262108296,112729,7972,0.6050060671375365
50,10650.53852865774,113164,7869,0.5989560064661611
51,10114.006232458725,112866,7973,0.5929664464014994
52,10380.121015902556,113142,7590,0.5870367819374844
53,9979.773623987683,112862,7921,0.5811664141181095
54,9971.562187149804,112835,8069,0.5753547499769285
55,9965.398465028182,113119,7760,0.5696012024771592
56,10426.797841830921,113284,7637,0.5639051904523876
57,10655.839080801736,113310,7540,0.5582661385478638
58,10287.625943031822,113596,7319,0.5526834771623851
59,10306.946513453608,113445,7347,0.5471566423907612
60,11133.584622548911,113577,7182,0.5416850759668536
61,10338.7738708926,113334,7552,0.536268225207185
62,10990.000859790536,113534,7208,0.5309055429551132
63,10532.927157861519,113607,7255,0.525596487525562
64,10734.11992577726,113781,7139,0.5203405226503064
65,10920.961447094676,114011,6859,0.5151371174238033
66,10476.548221686295,113593,7197,0.5099857462495653
67,10267.393155646567,113563,7469,0.5048858887870696
68,10684.536267878253,113710,7131,0.4998370298991989
69,10507.579904979128,113597,7143,0.49483865960020695
70,10901.205114050153,113853,6847,0.4898902730042049
71,10472.96954140943,113858,7037,0.48499137027416284
72,11009.718570662588,113823,7004,0.4801414565714212
73,10747.009856322187,113905,6919,0.475340042005707
74,11196.557670752736,114317,6437,0.47058664158564995
75,10517.322242128592,113946,7005,0.4658807751697934
76,10659.57192286811,114040,6749,0.4612219674180955
77,10625.790056114545,114387,6526,0.45660974774391455
78,11017.822248583652,114590,6320,0.4520436502664754
79,11212.26280033913,114649,6435,0.44752321376381066
80,11018.781262378156,114251,6462,0.44304798162617254
81,11431.244835288155,114637,6171,0.4386175018099108
82,10784.355374977009,114627,6282,0.4342313267918117
83,11294.32575148374,114365,6521,0.4298890135238936
84,11335.08247806578,114805,6055,0.42559012338865465
85,10868.535632752273,114559,6272,0.4213342221547681
86,11066.209352033824,114647,6123,0.41712087993322045
87,11684.903471575482,114867,6108,0.41294967113388825
88,11027.642468150563,114844,6023,0.40882017442254937
89,10794.61956125493,114581,6373,0.4047319726783239
90,10892.30546233586,114499,6270,0.40068465295154065
91,10634.374014983241,114568,6357,0.39667780642202527
92,11495.118167052926,115088,5795,0.392711028357805
93,11546.51508487069,114885,5848,0.38878391807422696
94,11216.575175064418,114942,5922,0.3848960788934847
95,11411.534533630813,114987,5882,0.38104711810454983
96,11401.704356870761,115220,5554,0.37723664692350434
97,10953.152648945137,114824,5987,0.37346428045426927
98,11694.489581687161,115463,5492,0.36972963764972655
99,11386.430307497238,114765,6026,0.36603234127322926
100,11437.907040505619,115216,5771,0.36237201786049694
101,11401.890320243576,115065,5684,0.358748297681892
102,11063.255362598758,114764,6058,0.35516081470507305
103,11940.156305615665,115428,5360,0.3516092065580223
104,11721.425425045538,115314,5502,0.34809311449244207
105,12181.043073591078,115805,4916,0.34461218334751764
106,12113.2063838324,115502,5279,0.34116606151404244
107,12021.977134385357,115615,5207,0.337754400898902
108,11182.642134534504,115493,5413,0.334376856889913
109,10977.514996429418,115118,5667,0.33103308832101386
110,12073.324608550492,115486,5339,0.3277227574378037
111,11819.861210359164,115642,5120,0.3244455298634257
112,11613.174761354974,115437,5370,0.3212010745647914
113,11405.873283429555,115491,5317,0.3179890638191435
114,11928.647565346138,115793,5013,0.31480917318095203
115,11474.039110140458,115685,4992,0.3116610814491425
116,11415.163430319048,115405,5323,0.30854447063465107
117,11893.568717208425,115893,5015,0.30545902592830454
118,12362.904185802536,115849,4958,0.3024044356690215
119,11455.818353732191,115747,5068,0.29938039131233124
120,12576.762504948809,115971,4922,0.2963865873992079
121,11728.241742913096,115720,5113,0.29342272152521587
122,11775.829507487453,115825,4926,0.2904884943099637
123,11399.317179431162,115737,5005,0.28758360936686406
124,11901.803255323826,115884,4954,0.2847077732731954
125,11844.863660670435,115866,5209,0.28186069554046345
126,12014.872966622104,115926,5062,0.2790420885850588
127,11863.31792669869,116370,4433,0.2762516676992082
128,11588.591700083734,115972,4863,0.27348915102221616
