episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,441963.78,185118,240882,0.0,0.9925,0.0009999000
1,404187.92,174539,234197,0.0,0.9851,0.0009998000
2,412591.05,181176,236312,0.0,0.9778,0.0009997000
3,409868.01,176505,254519,0.0,0.9705,0.0009996001
4,374370.02,163225,238855,0.0,0.9632,0.0009995001
5,420544.52,174644,232668,0.0,0.9561,0.0009994001
6,385423.03,166417,247839,0.0,0.9489,0.0009993002
7,371740.92,162811,255749,0.0,0.9418,0.0009992003
8,420403.67,183306,247110,0.0,0.9348,0.0009991004
9,427376.57,182740,236988,0.0,0.9278,0.0009990004
10,443006.94,189245,247043,0.0,0.9209,0.0009989005
11,445219.67,190211,227549,0.0,0.914,0.0009988007
12,411032.69,181180,247172,0.0,0.9072,0.0009987008
13,406312.25,174857,246967,0.0,0.9005,0.0009985010
14,421929.31,176408,243128,0.0,0.8937,0.0009984012
15,421316.44,182805,229883,0.0,0.8871,0.0009982015
16,413717.09,179367,248121,0.0,0.8805,0.0009981017
17,405990.03,177610,242406,0.0,0.8739,0.0009980019
18,442636.81,181261,245235,0.0,0.8674,0.0009979021
19,436330.46,180881,228911,0.0,0.8609,0.0009978023
20,412553.6,178408,236952,0.0,0.8545,0.0009977025
21,440015.14,191281,247167,0.0,0.8481,0.0009976028
22,418661.98,178344,250712,0.0,0.8418,0.0009975030
23,459428.43,190420,250140,0.0,0.8355,0.0009974032
24,425010.03,185100,228196,0.0,0.8293,0.0009973035
25,379752.57,164677,244843,0.0,0.8231,0.0009972038
26,430859.17,184912,243568,0.0,0.8169,0.0009971041
27,434501.32,185276,221332,0.0,0.8108,0.0009970043
28,402217.72,175821,231683,0.0,0.8048,0.0009969046
29,416461.96,175769,223367,0.0,0.7988,0.0009968050
30,423421.67,182447,236641,0.0,0.7928,0.0009967053
31,438719.32,181453,239715,0.0,0.7869,0.0009966056
32,383971.47,169958,240202,0.0,0.781,0.0009965059
33,414039.5,174582,257098,0.0,0.7752,0.0009963067
34,400475.52,174228,248428,0.0,0.7694,0.0009962070
35,443837.45,193781,227739,0.0,0.7637,0.0009961074
36,371332.39,168539,237253,0.0,0.758,0.0009960078
37,457780.8,193325,227267,0.0,0.7523,0.0009959082
38,453774.28,197566,224050,0.0,0.7467,0.0009958086
39,409253.3,177645,234723,0.0,0.7411,0.0009957090
