episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,547787.99,227221,192763,0.0,0.987,0.0009990000
1,533906.35,220794,187382,0.0,0.9742,0.0009980010
2,545965.05,226153,185479,0.0,0.9615,0.0009970030
3,535792.93,224207,185089,0.0,0.949,0.0009960060
4,532361.97,220067,189597,0.0,0.9367,0.0009950100
5,555869.34,229923,184733,0.0,0.9245,0.0009940150
6,541635.68,231385,187623,0.0,0.9125,0.0009930210
7,558828.2,238867,186813,0.0,0.9006,0.0009920279
8,544502.34,231770,193574,0.0,0.8889,0.0009910359
9,524385.42,221647,200817,0.0,0.8773,0.0009890548
10,518465.6,219401,190183,0.0,0.8659,0.0009880658
11,507295.12,220344,184920,0.0,0.8547,0.0009870777
12,518591.87,221618,190574,0.0,0.8436,0.0009860906
13,522411.5,221806,181426,0.0,0.8326,0.0009851045
14,563757.37,235832,184760,0.0,0.8218,0.0009841194
15,548134.47,231614,178994,0.0,0.8111,0.0009831353
16,516590.15,220496,193712,0.0,0.8006,0.0009821522
17,570847.69,237645,194483,0.0,0.7901,0.0009811700
18,533161.13,226711,191049,0.0,0.7799,0.0009801889
19,532047.9,222395,176229,0.0,0.7697,0.0009792087
20,556013.24,234269,187027,0.0,0.7597,0.0009782295
21,531283.42,226650,188934,0.0,0.7499,0.0009772512
22,548873.84,230367,182785,0.0,0.7401,0.0009762740
23,575865.29,237289,188439,0.0,0.7305,0.0009752977
24,581887.11,241502,182658,0.0,0.721,0.0009743224
25,520172.55,213767,186905,0.0,0.7116,0.0009733481
26,550843.33,227878,180506,0.0,0.7024,0.0009723747
27,548886.47,226709,197803,0.0,0.6932,0.0009714024
28,533992.25,224161,186975,0.0,0.6842,0.0009704310
29,512554.38,221629,172995,0.0,0.6753,0.0009694605
30,521972.1,221186,189630,0.0,0.6665,0.0009684911
31,537194.39,229953,184959,0.0,0.6579,0.0009675226
32,529191.68,224455,181753,0.0,0.6493,0.0009665551
33,585924.21,244746,183974,0.0,0.6409,0.0009655885
34,558933.31,233552,193088,0.0,0.6326,0.0009646229
35,568741.83,235012,195116,0.0,0.6243,0.0009636583
36,553511.91,228436,192892,0.0,0.6162,0.0009626946
37,553693.39,230037,191499,0.0,0.6082,0.0009617319
38,582315.94,240207,165041,0.0,0.6003,0.0009607702
39,559078.57,239026,186478,0.0,0.5925,0.0009598094
40,572173.42,241563,183509,0.0,0.5848,0.0009588496
41,566196.25,240464,188656,0.0,0.5772,0.0009569329
42,558459.02,237627,180917,0.0,0.5697,0.0009559760
43,581566.05,238737,180655,0.0,0.5623,0.0009550200
44,566105.25,236346,178726,0.0,0.555,0.0009540650
45,571124.55,232989,186995,0.0,0.5478,0.0009531109
46,562513.07,239907,188781,0.0,0.5406,0.0009521578
47,562776.77,237632,171904,0.0,0.5336,0.0009512056
48,560126.79,231851,182469,0.0,0.5267,0.0009502544
49,584652.74,245608,190712,0.0,0.5198,0.0009493042
50,569428.82,236304,180480,0.0,0.5131,0.0009483549
51,582065.53,247090,175534,0.0,0.5064,0.0009474065
52,563895.44,239259,177173,0.0,0.4998,0.0009464591
53,555703.89,232631,184905,0.0,0.4933,0.0009455126
54,545707.82,225957,179739,0.0,0.4869,0.0009445671
55,553816.49,233740,180452,0.0,0.4806,0.0009436226
56,564854.26,232383,178033,0.0,0.4743,0.0009426789
57,570266.36,237378,190494,0.0,0.4682,0.0009407945
58,565230.6,228863,188465,0.0,0.4621,0.0009398537
59,589067.9,243552,186256,0.0,0.4561,0.0009389139
60,553406.83,236128,179136,0.0,0.4501,0.0009379750
61,557274.01,232712,171976,0.0,0.4443,0.0009370370
62,577006.2,241035,184917,0.0,0.4385,0.0009361000
63,542524.25,225442,178750,0.0,0.4328,0.0009342287
64,575770.75,240677,186651,0.0,0.4272,0.0009332945
65,586080.68,241325,176995,0.0,0.4216,0.0009323612
66,559999.87,233705,180503,0.0,0.4161,0.0009314288
67,529297.04,226161,183999,0.0,0.4107,0.0009304974
68,561382.56,236329,177703,0.0,0.4054,0.0009295669
69,557953.4,239241,169943,0.0,0.4001,0.0009286373
70,541029.43,230071,177913,0.0,0.3949,0.0009277087
71,557200.54,230664,171048,0.0,0.3898,0.0009267810
72,549686.82,232185,163415,0.0,0.3847,0.0009258542
73,561692.51,232914,171614,0.0,0.3797,0.0009249283
74,607547.02,254919,192281,0.0,0.3748,0.0009240034
75,578320.24,237409,200447,0.0,0.3699,0.0009230794
76,541772.32,231502,181794,0.0,0.3651,0.0009221563
77,583331.14,244899,179885,0.0,0.3604,0.0009212342
78,550269.15,231127,164169,0.0,0.3557,0.0009203129
79,589454.88,240413,176291,0.0,0.3511,0.0009184732
80,608740.45,252773,183003,0.0,0.3465,0.0009175547
81,564592.24,236292,187292,0.0,0.342,0.0009166372
82,546927.05,226303,171345,0.0,0.3375,0.0009157206
83,586392.31,245398,180538,0.0,0.3332,0.0009148048
84,569539.26,239173,167771,0.0,0.3288,0.0009138900
85,583151.15,242414,174178,0.0,0.3245,0.0009129761
86,586159.32,243025,174719,0.0,0.3203,0.0009120632
87,563559.81,235573,175275,0.0,0.3162,0.0009111511
88,553351.46,233411,172925,0.0,0.3121,0.0009102400
89,575467.43,236952,172328,0.0,0.308,0.0009093297
90,575259.29,243019,188149,0.0,0.304,0.0009084204
91,578040.08,246547,179037,0.0,0.3,0.0009075120
92,585147.02,243206,158202,0.0,0.2961,0.0009066044
93,558727.92,235508,172156,0.0,0.2923,0.0009056978
94,592385.56,246695,173817,0.0,0.2885,0.0009047921
95,596551.73,249608,181240,0.0,0.2847,0.0009038874
96,558195.6,231915,189093,0.0,0.281,0.0009029835
97,592802.93,247011,177341,0.0,0.2774,0.0009020805
98,578135.77,241147,181573,0.0,0.2738,0.0009011784
99,564622.01,237912,179576,0.0,0.2702,0.0009002772
100,565663.83,238603,171045,0.0,0.2667,0.0008993769
101,572085.35,240715,177829,0.0,0.2632,0.0008984776
102,573893.44,241032,178328,0.0,0.2598,0.0008975791
103,571265.23,244907,172933,0.0,0.2564,0.0008966815
104,552678.83,234830,168882,0.0,0.2531,0.0008957848
105,602195.29,253179,177717,0.0,0.2498,0.0008948890
106,592200.97,246519,177705,0.0,0.2466,0.0008939942
107,582769.52,240469,174283,0.0,0.2434,0.0008931002
108,564603.87,236196,166716,0.0,0.2402,0.0008922071
109,565686.93,235583,179553,0.0,0.2371,0.0008913149
110,580203.91,239295,185873,0.0,0.234,0.0008904235
111,576079.91,240805,172587,0.0,0.231,0.0008895331
112,578610.58,238049,178031,0.0,0.2279,0.0008886436
113,566407.35,232849,169823,0.0,0.225,0.0008877549
114,592358.99,246280,164024,0.0,0.2221,0.0008859803
115,562636.26,231018,182726,0.0,0.2192,0.0008850943
116,579607.68,242190,183506,0.0,0.2163,0.0008842092
117,569778.56,236741,182011,0.0,0.2135,0.0008833250
118,577057.51,242288,170096,0.0,0.2107,0.0008824417
119,574485.51,239524,179244,0.0,0.208,0.0008815593
120,532260.73,223282,180254,0.0,0.2053,0.0008806777
121,582170.43,242989,174147,0.0,0.2026,0.0008797970
122,590242.67,244266,165382,0.0,0.2,0.0008789172
123,578554.16,236474,178662,0.0,0.1974,0.0008780383
124,602148.62,249858,166734,0.0,0.1948,0.0008771603
125,586647.25,245414,163674,0.0,0.1923,0.0008762831
126,568086.66,236403,169869,0.0,0.1898,0.0008754068
127,569090.68,238289,175631,0.0,0.1873,0.0008745314
128,577767.63,240438,175914,0.0,0.1849,0.0008727832
129,527711.33,227759,179617,0.0,0.1825,0.0008719105
130,575589.82,240784,184016,0.0,0.1801,0.0008710385
131,549317.27,227896,173192,0.0,0.1778,0.0008701675
132,588223.62,244981,172267,0.0,0.1755,0.0008692973
133,539153.89,229088,175824,0.0,0.1732,0.0008684280
134,566591.59,238985,170679,0.0,0.1709,0.0008675596
135,585196.65,243974,160378,0.0,0.1687,0.0008666921
136,564633.16,236423,173465,0.0,0.1665,0.0008658254
137,584416.64,239808,186624,0.0,0.1643,0.0008649595
138,558502.02,229665,173103,0.0,0.1622,0.0008640946
139,568776.03,236770,159758,0.0,0.1601,0.0008632305
140,600823.07,246637,171043,0.0,0.158,0.0008623673
141,542738.89,228727,183913,0.0,0.156,0.0008615049
142,572514.57,239280,181504,0.0,0.1539,0.0008606434
143,552115.08,230339,168093,0.0,0.1519,0.0008597827
144,589052.09,245326,165650,0.0,0.15,0.0008589230
145,544787.92,223580,179428,0.0,0.148,0.0008580640
146,563671.67,233518,166146,0.0,0.1461,0.0008563488
147,587084.26,242671,180257,0.0,0.1442,0.0008554924
148,604166.76,256718,171602,0.0,0.1423,0.0008537823
149,571630.65,243001,167735,0.0,0.1405,0.0008529285
150,607425.67,246206,172674,0.0,0.1386,0.0008520756
151,567713.4,236968,178456,0.0,0.1368,0.0008512235
152,569724.15,236055,170793,0.0,0.1351,0.0008503723
153,631200.33,259282,180014,0.0,0.1333,0.0008495219
154,594247.23,243522,181950,0.0,0.1316,0.0008486724
155,564380.71,237247,173297,0.0,0.1299,0.0008478237
156,575551.76,244536,173400,0.0,0.1282,0.0008469759
157,596602.1,246233,169863,0.0,0.1265,0.0008461289
158,592942.39,248718,158642,0.0,0.1249,0.0008452828
159,581926.74,241229,170179,0.0,0.1232,0.0008444375
160,562053.26,233626,172294,0.0,0.1216,0.0008435931
161,579662.64,235503,169153,0.0,0.1201,0.0008427495
162,560362.73,236851,172669,0.0,0.1185,0.0008419067
163,569975.55,236853,175339,0.0,0.117,0.0008410648
164,586631.29,248256,169024,0.0,0.1154,0.0008402237
165,595632.04,246547,185901,0.0,0.1139,0.0008393835
166,605559.94,249475,176349,0.0,0.1125,0.0008385441
167,609701.97,248619,170773,0.0,0.111,0.0008377056
168,573059.94,240855,176889,0.0,0.1095,0.0008368679
169,568957.91,235174,173610,0.0,0.1081,0.0008360310
170,562215.83,233444,178588,0.0,0.1067,0.0008351950
171,553238.77,234220,172180,0.0,0.1053,0.0008343598
172,563159.53,233878,163498,0.0,0.104,0.0008335254
173,580373.79,235280,172320,0.0,0.1026,0.0008326919
174,554619.92,230988,172532,0.0,0.1013,0.0008318592
175,552691.41,225113,174231,0.0,0.1,0.0008310274
176,577006.15,239624,180360,0.0,0.0987,0.0008301963
177,568390.79,239952,169792,0.0,0.0974,0.0008293661
178,559150.36,235077,171131,0.0,0.0961,0.0008285368
179,574906.96,236897,178463,0.0,0.0949,0.0008277082
180,541756.99,228786,192990,0.0,0.0936,0.0008268805
181,577375.66,239115,177541,0.0,0.0924,0.0008260536
182,571863.85,234681,164759,0.0,0.0912,0.0008252276
183,561265.17,230606,176530,0.0,0.09,0.0008244024
184,590617.93,245442,173406,0.0,0.0889,0.0008235780
185,568332.67,236992,157152,0.0,0.0877,0.0008227544
186,617951.35,258808,179032,0.0,0.0866,0.0008219316
187,553267.26,230891,176837,0.0,0.0854,0.0008211097
188,610993.4,255164,176180,0.0,0.0843,0.0008202886
189,573193.58,237249,177999,0.0,0.0832,0.0008194683
190,580840.05,247958,172426,0.0,0.0821,0.0008186488
191,565242.9,237349,168715,0.0,0.0811,0.0008178302
192,575775.89,242264,177976,0.0,0.08,0.0008170124
193,571349.55,241474,166798,0.0,0.079,0.0008161953
194,591232.63,236709,180347,0.0,0.078,0.0008153791
195,600753.44,250059,165717,0.0,0.0769,0.0008145638
196,557898.11,238021,189787,0.0,0.0759,0.0008137492
197,579088.75,238562,182590,0.0,0.075,0.0008129355
198,598142.65,244186,163078,0.0,0.074,0.0008121225
199,578562.83,238247,173577,0.0,0.073,0.0008113104
200,591181.95,247477,159787,0.0,0.0721,0.0008104991
201,566287.77,233266,172702,0.0,0.0711,0.0008096886
202,584373.5,240452,173308,0.0,0.0702,0.0008088789
203,588699.8,248150,174810,0.0,0.0693,0.0008080700
204,584666.59,242896,174496,0.0,0.0684,0.0008072619
205,553281.14,230697,187831,0.0,0.0675,0.0008064547
206,587351.98,242164,168908,0.0,0.0666,0.0008056482
207,627007.38,259796,174828,0.0,0.0658,0.0008048426
208,570305.3,241395,164461,0.0,0.0649,0.0008040377
209,580345.41,245113,170951,0.0,0.0641,0.0008024305
210,560478.82,237410,158494,0.0,0.0632,0.0008016280
211,581878.5,241859,164285,0.0,0.0624,0.0008008264
212,590630.15,245017,185991,0.0,0.0616,0.0008000256
213,633547.98,256991,182001,0.0,0.0608,0.0007992256
214,554877.42,235436,171524,0.0,0.06,0.0007984263
215,560269.94,232050,176254,0.0,0.0592,0.0007968303
216,627326.43,259118,157922,0.0,0.0585,0.0007952374
217,626485.99,255914,166374,0.0,0.0577,0.0007944422
218,593609.39,243960,164776,0.0,0.0569,0.0007936477
219,610838.57,252844,169252,0.0,0.0562,0.0007928541
220,563032.61,236821,172683,0.0,0.0555,0.0007920612
221,590650.59,239592,181384,0.0,0.0548,0.0007912692
222,592832.5,245166,170786,0.0,0.054,0.0007904779
223,596363.09,237398,164042,0.0,0.0533,0.0007888977
224,625648.12,258606,179778,0.0,0.0526,0.0007881088
225,543442.06,227313,178927,0.0,0.052,0.0007873207
226,579563.47,240905,172807,0.0,0.0513,0.0007865334
227,590253.06,244020,174332,0.0,0.0506,0.0007857469
228,551396.59,234114,165470,0.0,0.05,0.0007849611
229,601948.37,252536,177336,0.0,0.05,0.0007841762
230,562935.67,234052,174380,0.0,0.05,0.0007833920
231,613140.25,248588,168596,0.0,0.05,0.0007826086
232,581698.43,241536,160384,0.0,0.05,0.0007818260
233,578180.71,236384,170000,0.0,0.05,0.0007810442
