episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,15315.42,2751,402129,0.0,0.95,0.0009389287
1,14127.5,3221,407355,0.0,0.9025,0.0008807057
2,10087.77,3066,425702,0.0,0.8574,0.0008236179
3,12353.21,3365,415947,0.0,0.8145,0.0007713871
4,11764.5,2852,396668,0.0,0.7738,0.0007246398
5,16881.4,3796,414108,0.0,0.7351,0.0006786859
6,10926.24,2390,395578,0.0,0.6983,0.0006378753
7,12973.87,3069,400899,0.0,0.6634,0.0005989194
8,13696.49,3648,405408,0.0,0.6302,0.0005617804
9,13897.44,3002,405110,0.0,0.5987,0.0005269444
10,12663.12,2633,412071,0.0,0.5688,0.0004940215
11,12965.18,3682,410782,0.0,0.5404,0.0004629239
12,12738.62,2891,421237,0.0,0.5133,0.0004333502
13,12765.98,3093,419147,0.0,0.4877,0.0004056658
14,12093.51,3563,411173,0.0,0.4633,0.0003801301
15,13729.33,3040,411232,0.0,0.4401,0.0003563799
16,9257.06,2644,422380,0.0,0.4181,0.0003334459
