episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,881561.84,375384,55448,0.0,0.985,0.0009734573
1,855338.78,364702,53618,0.0,0.9702,0.0009483775
2,866802.81,370829,54819,0.0,0.9557,0.0009234820
3,859084.37,365839,52625,0.0,0.9413,0.0008995998
4,826029.31,352778,51670,0.0,0.9272,0.0008771243
5,875888.77,373877,54667,0.0,0.9133,0.0008540138
6,830550.04,355552,51952,0.0,0.8996,0.0008325107
7,837135.27,357752,51432,0.0,0.8861,0.0008114679
8,844196.6,360469,52139,0.0,0.8728,0.0007907988
9,866227.29,369515,53717,0.0,0.8597,0.0007701938
10,871643.31,372046,53106,0.0,0.8468,0.0007499758
11,875807.3,374444,53060,0.0,0.8341,0.0007302154
12,874220.12,372789,52315,0.0,0.8216,0.0007110468
13,856676.05,366927,52721,0.0,0.8093,0.0006926584
14,840692.61,358110,49410,0.0,0.7972,0.0006752180
15,801729.19,343332,47484,0.0,0.7852,0.0006589413
16,871658.9,371191,52249,0.0,0.7734,0.0006417078
17,849726.58,362069,53275,0.0,0.7618,0.0006253002
18,846794.91,361569,49439,0.0,0.7504,0.0006094339
19,854445.99,365309,50275,0.0,0.7391,0.0005937921
20,836235.13,357395,50557,0.0,0.728,0.0005788411
21,865867.02,369687,51609,0.0,0.7171,0.0005638153
22,845494.92,362069,49995,0.0,0.7064,0.0005494542
23,851239.17,363734,51946,0.0,0.6958,0.0005354053
24,834554.7,356995,48301,0.0,0.6853,0.0005219766
25,846982.39,361532,47684,0.0,0.6751,0.0005088338
26,811751.54,346801,46127,0.0,0.6649,0.0004964686
27,834323.59,356789,47659,0.0,0.655,0.0004840649
28,872648.4,372953,47927,0.0,0.6451,0.0004714993
29,836239.22,358967,47353,0.0,0.6355,0.0004596735
30,872197.14,371713,51119,0.0,0.6259,0.0004476963
31,864574.18,369660,47732,0.0,0.6165,0.0004361620
32,856488.89,365314,47774,0.0,0.6073,0.0004250524
33,847489.25,363272,46264,0.0,0.5982,0.0004143086
34,866821.91,371401,50519,0.0,0.5892,0.0004035135
35,905895.74,385654,49274,0.0,0.5804,0.0003927246
36,868694.65,372353,48063,0.0,0.5717,0.0003825301
37,853563.86,366176,46832,0.0,0.5631,0.0003727865
38,859625.21,368463,46193,0.0,0.5546,0.0003632548
39,849299.16,363851,46645,0.0,0.5463,0.0003540377
40,845665.07,363015,44617,0.0,0.5381,0.0003451234
41,865368.2,369673,45143,0.0,0.5301,0.0003362990
42,859935.5,367144,47848,0.0,0.5221,0.0003277003
43,868369.19,371553,46207,0.0,0.5143,0.0003192576
44,875892.56,374770,46190,0.0,0.5066,0.0003109390
45,883459.49,378850,46494,0.0,0.499,0.0003028070
46,834582.75,358280,43304,0.0,0.4915,0.0002953007
47,840576.66,360093,44675,0.0,0.4841,0.0002879230
48,871220.44,373259,44981,0.0,0.4768,0.0002804770
49,853869.3,366408,44472,0.0,0.4697,0.0002733602
50,863857.78,369447,43337,0.0,0.4626,0.0002664240
51,856087.72,367295,43841,0.0,0.4557,0.0002596638
52,876579.47,374819,45037,0.0,0.4489,0.0002529234
53,883203.0,377902,45586,0.0,0.4421,0.0002463086
54,865532.9,371535,44817,0.0,0.4355,0.0002399868
55,875618.44,375807,44705,0.0,0.429,0.0002337571
56,880437.76,377167,44977,0.0,0.4225,0.0002276891
57,864340.42,370946,46622,0.0,0.4162,0.0002218230
58,837670.46,359659,41621,0.0,0.41,0.0002163243
59,876310.37,375795,43693,0.0,0.4038,0.0002107299
60,875954.33,375679,43281,0.0,0.3977,0.0002052802
61,856800.24,367794,42590,0.0,0.3918,0.0002000715
62,901642.28,386358,44362,0.0,0.3859,0.0001947611
63,869029.89,373225,42999,0.0,0.3801,0.0001897623
64,856065.87,367718,42698,0.0,0.3744,0.0001849658
65,865175.14,370698,42822,0.0,0.3688,0.0001802365
66,868125.78,372014,42306,0.0,0.3633,0.0001756280
67,881995.1,377912,43032,0.0,0.3578,0.0001710690
68,846551.5,364264,42024,0.0,0.3525,0.0001667784
69,850770.75,365890,42654,0.0,0.3472,0.0001625791
70,820159.78,354760,41448,0.0,0.342,0.0001585965
71,838224.02,360100,40684,0.0,0.3368,0.0001546805
72,876686.97,376726,43018,0.0,0.3318,0.0001506653
73,881272.93,377949,43059,0.0,0.3268,0.0001467542
74,872049.66,374133,42923,0.0,0.3219,0.0001429876
75,865279.75,371659,41621,0.0,0.3171,0.0001393316
76,896596.03,384653,43779,0.0,0.3123,0.0001356605
77,841431.35,362300,41700,0.0,0.3076,0.0001322712
78,866610.29,372585,42391,0.0,0.303,0.0001288892
79,871517.96,374089,43111,0.0,0.2985,0.0001255685
80,839920.79,361776,40352,0.0,0.294,0.0001224558
81,853691.63,367784,41688,0.0,0.2896,0.0001193606
82,872118.76,375616,42400,0.0,0.2852,0.0001162854
83,840771.43,361954,40078,0.0,0.281,0.0001133915
84,868916.1,373686,41290,0.0,0.2767,0.0001104922
85,871652.93,374990,42386,0.0,0.2726,0.0001076455
86,866728.5,372634,42054,0.0,0.2685,0.0001048932
87,902667.29,387739,43557,0.0,0.2645,0.0001020988
88,901943.86,386949,43451,0.0,0.2605,0.0000993888
89,906988.3,389498,44214,0.0,0.2566,0.0000967314
90,867664.05,373184,41952,0.0,0.2528,0.0000942581
91,862116.5,370715,40485,0.0,0.249,0.0000918665
92,880234.46,378640,42352,0.0,0.2452,0.0000894817
93,915014.28,392845,44547,0.0,0.2415,0.0000870631
94,872621.39,375498,41270,0.0,0.2379,0.0000848285
95,854314.34,367142,40746,0.0,0.2344,0.0000826926
96,820535.08,353856,38000,0.0,0.2308,0.0000806912
