episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
0,5452.5,28112,67628,0.0,0.9704869503929601
1,5802.5,32032,63672,0.0,0.9418449208830277
2,6357.5,24985,70779,0.0,0.9140482050108684
3,6280.0,30221,65503,0.0,0.8870718549931568
4,5680.0,36282,59382,0.0,0.8608916593317348
5,5422.5,27073,68683,0.0,0.8354841210835904
6,5967.5,25846,69926,0.0,0.8108264367721563
7,5975.0,26034,69730,0.0,0.7868964759210002
8,5805.0,24068,71724,0.0,0.7636727611915388
9,6217.5,26315,69449,0.0,0.7411344491069478
10,6272.5,25139,70633,0.0,0.7192613113449683
11,5937.5,33572,62116,0.0,0.6980337165828197
12,6185.0,20954,74866,0.0,0.6774326128779244
13,5932.5,27842,67902,0.0,0.6574395105686316
14,6062.5,32740,62956,0.0,0.6380364656795915
15,6440.0,25371,70397,0.0,0.6192060638168893
16,6097.5,33288,62392,0.0,0.6009314045384815
17,6317.5,32617,63083,0.0,0.5831960861859091
18,6287.5,29719,66005,0.0,0.5659841911636728
19,5907.5,27053,68695,0.0,0.5492802716530589
20,5882.5,37462,58194,0.0,0.5330693357475939
21,6485.0,32857,62839,0.0,0.5173368339976833
22,6217.5,22816,72956,0.0,0.5020686463523607
23,6300.0,27180,68572,0.0,0.4872510694864241
24,6482.5,27085,68671,0.0,0.472870804501588
25,6120.0,33400,62280,0.0,0.45891494499061175
26,6110.0,24640,71136,0.0,0.4453709654536918
27,6177.5,27993,67751,0.0,0.43222671005672175
28,5585.0,35641,60035,0.0,0.41947038172133005
29,6907.5,24453,71319,0.0,0.40709053153690444
30,6080.0,30306,65418,0.0,0.39507604848509953
31,7020.0,30996,64716,0.0,0.3834161494676055
32,5925.0,32362,63322,0.0,0.3721003696282278
33,5957.5,24674,71106,0.0,0.36111855296059203
34,6057.5,20414,75402,0.0,0.3504608431930436
35,6382.5,23271,72521,0.0,0.3401176749425623
36,5827.5,33787,61901,0.0,0.33007976512975135
37,6037.5,29991,65729,0.0,0.3203381046471969
38,5970.0,22640,73152,0.0,0.31088395027371907
39,6087.5,22749,73047,0.0,0.30170881682725825
40,6955.0,22703,73085,0.0,0.2928044695493541
41,6142.5,25324,70404,0.0,0.284162916714381
42,6532.5,32599,63097,0.0,0.2757764024569083
43,6577.5,20435,75381,0.0,0.2676373998107466
44,5852.5,32561,63135,0.0,0.25973860395343285
45,6492.5,27757,67975,0.0,0.2520729256500919
46,6677.5,25641,70123,0.0,0.244633484890789
47,6037.5,29040,66692,0.0,0.2374136047156641
48,5977.5,25512,70248,0.0,0.23040680522230456
49,6615.0,18235,77597,0.0,0.2236067977499791
50,6435.0,21813,73987,0.0,0.2170074792355126
51,6872.5,29031,66705,0.0,0.21060292673573625
52,6282.5,25955,69809,0.0,0.20438739211159668
53,6450.0,29357,66367,0.0,0.1983552968691536
54,6437.5,22817,72963,0.0,0.19250122715283513
55,6607.5,27356,68384,0.0,0.18681992888645743
56,6290.0,28463,67261,0.0,0.18130630305764775
57,6257.5,29955,65741,0.0,0.17595540114143837
58,6152.5,30908,64808,0.0,0.1707624206589245
59,6137.5,24249,71487,0.0,0.16572270086699945
60,6037.5,26535,69217,0.0,0.16083171857529904
61,6160.0,26398,69358,0.0,0.15608508408660077
62,6195.0,24227,71545,0.0,0.15147853725703392
63,6652.5,21199,74601,0.0,0.14700794367256523
64,6332.5,17958,77878,0.0,0.1426692909383279
65,6537.5,27680,68064,0.0,0.1384586850774638
66,6865.0,21946,73846,0.0,0.1343723470362471
67,5930.0,25280,70480,0.0,0.13040660929235195
68,6857.5,25138,70610,0.0,0.1265579125632209
69,6395.0,26694,69058,0.0,0.12282280261157914
70,6752.5,18145,77687,0.0,0.11919792714522794
71,6672.5,18467,77345,0.0,0.1156800328083345
72,6302.5,27202,68546,0.0,0.11226596226151811
73,6377.5,24092,71688,0.0,0.10895265134811186
74,7092.5,21922,73870,0.0,0.1057371263440565
75,6177.5,22603,73157,0.0,0.10261650128895852
76,6300.0,21200,74596,0.0,0.09958797539591661
77,6252.5,26513,69235,0.0,0.09664883053779226
78,5747.5,26624,69132,0.0,0.093796428807668
79,6795.0,25561,70183,0.0,0.0910282101513041
80,6560.0,18661,77159,0.0,0.08834169006946861
81,6925.0,24880,70888,0.0,0.08573445738807864
82,6535.0,17062,78774,0.0,0.08320417209415162
83,6252.5,23492,72280,0.0,0.08074856323562424
84,6282.5,26022,69738,0.0,0.07836542688315407
85,6902.5,21855,73941,0.0,0.07605262415207469
86,6927.5,8841,87047,0.0,0.07380807928272894
87,6790.0,23055,72729,0.0,0.07162977777745742
88,6077.5,24399,71373,0.0,0.06951576459257007
89,6405.0,27959,67773,0.0,0.06746414238367823
90,7002.5,17532,78304,0.0,0.06547306980281233
91,6382.5,22213,73583,0.0,0.06354075984579674
92,6772.5,25173,70595,0.0,0.06166547824839873
93,6820.0,16221,79627,0.0,0.059845541929811896
94,6975.0,11655,84213,0.0,0.05807931748207717
95,6207.5,21950,73834,0.0,0.0563652197040856
96,6410.0,24638,71130,0.0,0.05470171017884722
97,6435.0,12527,83353,0.0,0.053087295892748985
98,6565.0,9362,86550,0.0,0.051520527895562676
99,7020.0,9926,85982,0.0,0.05000000000000005
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
0,6585.0,19392,76424,0.0,0.05
1,6912.5,15911,79917,0.0,0.05
2,6657.5,17971,77861,0.0,0.05
3,6855.0,18121,77707,0.0,0.05
4,6372.5,25273,70475,0.0,0.05
5,6695.0,17594,78238,0.0,0.05
6,6695.0,20131,75657,0.0,0.05
7,6987.5,13886,81978,0.0,0.05
8,6695.0,15614,80238,0.0,0.05
9,5895.0,16090,79758,0.0,0.05
10,6035.0,18875,76945,0.0,0.05
11,6865.0,23933,71847,0.0,0.05
12,6920.0,20852,74944,0.0,0.05
13,6585.0,26433,69315,0.0,0.05
14,6247.5,18237,77583,0.0,0.05
15,6250.0,15733,80115,0.0,0.05
16,6647.5,20603,75201,0.0,0.05
17,6715.0,22162,73626,0.0,0.05
18,6335.0,16637,79203,0.0,0.05
19,6392.5,24668,71096,0.0,0.05
20,6202.5,25829,69935,0.0,0.05
21,6127.5,24249,71511,0.0,0.05
22,6802.5,23090,72670,0.0,0.05
23,6557.5,21936,73860,0.0,0.05
24,6322.5,16240,79612,0.0,0.05
25,6875.0,18900,76924,0.0,0.05
26,6870.0,15839,80017,0.0,0.05
27,6902.5,19272,76544,0.0,0.05
28,6260.0,16196,79652,0.0,0.05
29,6860.0,20017,75795,0.0,0.05
30,7072.5,12957,82919,0.0,0.05
31,6475.0,16323,79521,0.0,0.05
32,6372.5,23337,72439,0.0,0.05
33,6635.0,16913,78923,0.0,0.05
34,6822.5,15898,79930,0.0,0.05
35,6542.5,16000,79844,0.0,0.05
36,6375.0,23974,71758,0.0,0.05
37,6507.5,21223,74585,0.0,0.05
38,5897.5,24825,70947,0.0,0.05
39,6750.0,17425,78415,0.0,0.05
40,6907.5,12220,83664,0.0,0.05
41,6432.5,24370,71402,0.0,0.05
42,7007.5,14095,81769,0.0,0.05
43,6730.0,13048,82824,0.0,0.05
44,6607.5,19427,76385,0.0,0.05
45,6320.0,19811,76001,0.0,0.05
46,6792.5,12404,83460,0.0,0.05
47,6450.0,23364,72412,0.0,0.05
48,6570.0,23687,72085,0.0,0.05
49,6790.0,12296,83584,0.0,0.05
50,6950.0,19997,75799,0.0,0.05
51,6592.5,18202,77626,0.0,0.05
52,6215.0,25284,70472,0.0,0.05
53,5700.0,31311,64397,0.0,0.05
54,5915.0,30426,65282,0.0,0.05
55,6482.5,20237,75567,0.0,0.05
