episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
0,543527.5,31452,49932,0.0,0.9970087504549047
1,566140.0,34372,47784,0.0,0.9940264484836504
2,546692.5,31539,49913,0.0,0.991053067321811
3,530887.5,29644,51248,0.0,0.9880885802850192
4,552357.5,32677,49083,0.0,0.9851329607687278
5,546215.0,33852,48208,0.0,0.9821861822479699
6,535330.0,32988,48916,0.0,0.9792482182771218
7,530415.0,30005,50999,0.0,0.976319042489665
8,551525.0,31645,49839,0.0,0.9733986285979498
9,518750.0,29786,51186,0.0,0.9704869503929597
10,542445.0,32157,49443,0.0,0.9675839817440759
11,545507.5,33019,48821,0.0,0.9646896965988424
12,553322.5,33892,48188,0.0,0.961804068982733
13,539320.0,30917,50339,0.0,0.9589270729989176
14,529532.5,29818,51126,0.0,0.95605868282803
15,554852.5,32433,49211,0.0,0.9531988727279361
16,549315.0,32603,49057,0.0,0.9503476170335033
17,527892.5,33114,48662,0.0,0.9475048901563694
18,537557.5,32890,48850,0.0,0.9446706665847135
19,550105.0,32072,49468,0.0,0.9418449208830271
20,532777.5,35060,47324,0.0,0.9390276276918854
21,528735.0,30243,50765,0.0,0.9362187617277201
22,561465.0,33074,48786,0.0,0.9334182977825923
23,574185.0,32209,49383,0.0,0.9306262107239665
24,534112.5,30768,50388,0.0,0.9278424754944846
25,520100.0,30152,50872,0.0,0.9250670671117416
26,555117.5,33849,48207,0.0,0.9222999606680609
27,569412.5,34145,47979,0.0,0.919541131330271
28,545035.0,30258,50810,0.0,0.916790554339483
29,516580.0,34497,47731,0.0,0.9140482050108673
30,547865.0,32030,49478,0.0,0.9113140587334333
31,540147.5,32826,48922,0.0,0.908588090969808
32,562372.5,34898,47470,0.0,0.9058702772560155
33,541857.5,32475,49221,0.0,0.9031605932012581
34,557787.5,33134,48718,0.0,0.9004590144876968
35,560425.0,31865,49655,0.0,0.8977655168702335
36,510995.0,31265,50063,0.0,0.8950800761762931
37,560917.5,32726,49026,0.0,0.8924026683056069
38,539202.5,33600,48344,0.0,0.8897332692299958
39,543562.5,31455,49957,0.0,0.8870718549931554
40,537850.0,33770,48186,0.0,0.8844184017104403
41,551772.5,33348,48508,0.0,0.88177288556865
42,542637.5,30376,50692,0.0,0.8791352828258153
43,528737.5,32818,48902,0.0,0.8765055698109854
44,538182.5,32775,48953,0.0,0.8738837229240147
45,535102.5,30343,50745,0.0,0.8712697186353521
46,540617.5,32555,49145,0.0,0.8686635334858287
47,556757.5,30917,50255,0.0,0.8660651440864483
48,545270.0,31861,49615,0.0,0.8634745271181767
49,554657.5,33258,48614,0.0,0.8608916593317331
50,532322.5,31319,50025,0.0,0.8583165175473807
51,542715.0,31372,49980,0.0,0.8557490786547193
52,560647.5,32002,49510,0.0,0.8531893196124776
53,553945.0,33316,48596,0.0,0.8506372174483066
54,535957.5,31469,49839,0.0,0.8480927492585731
55,555520.0,35168,47188,0.0,0.8455558922081547
56,514305.0,29422,51394,0.0,0.8430266235302344
57,537292.5,32333,49271,0.0,0.8405049205260963
58,576427.5,34960,47376,0.0,0.8379907605649222
59,558685.0,36679,46093,0.0,0.8354841210835883
60,542647.5,33437,48491,0.0,0.8329849795864627
61,526420.0,34137,47939,0.0,0.8304933136452034
62,585102.5,35165,47215,0.0,0.8280091008985575
63,554127.5,33723,48237,0.0,0.8255323190521598
64,549022.5,33682,48306,0.0,0.8230629458783336
65,538005.0,34891,47329,0.0,0.8206009592158903
66,549390.0,32499,49205,0.0,0.818146336969931
67,566292.5,34559,47625,0.0,0.8156990571116483
68,536660.0,34598,47634,0.0,0.8132590976781283
69,563980.0,34922,47430,0.0,0.8108264367721539
70,549180.0,32031,49417,0.0,0.808401052562008
71,526527.5,31605,49767,0.0,0.8059829232812773
72,541725.0,33586,48350,0.0,0.8035720272286576
73,545200.0,32241,49323,0.0,0.8011683427677586
74,536020.0,32789,48891,0.0,0.7987718483269097
75,557380.0,35395,47061,0.0,0.7963825223989669
76,574317.5,32483,49089,0.0,0.7940003435411191
77,555007.5,34466,47698,0.0,0.7916252903746962
78,557412.5,34209,47863,0.0,0.789257341584977
79,573682.5,33957,48083,0.0,0.7868964759209978
80,567062.5,33123,48669,0.0,0.784542672195362
81,545895.0,36428,46228,0.0,0.7821959092840497
82,550242.5,32574,49018,0.0,0.7798561661262283
83,523902.5,32676,49060,0.0,0.7775234217240634
84,520445.0,33389,48463,0.0,0.7751976551425304
85,546917.5,31993,49459,0.0,0.7728788455092263
86,545597.5,32613,49051,0.0,0.770566972014183
87,551740.0,32832,48864,0.0,0.7682620139096801
88,579725.0,34767,47469,0.0,0.7659639505100587
89,558897.5,34533,47703,0.0,0.763672761191536
90,558982.5,34531,47637,0.0,0.7613884253920201
91,541197.5,29565,51231,0.0,0.7591109226109254
92,569445.0,35010,47338,0.0,0.7568402324089886
93,544612.5,33744,48236,0.0,0.7545763344080854
94,559702.5,32899,48825,0.0,0.7523192082910475
95,545480.0,35560,46884,0.0,0.7500688338014804
96,552697.5,32723,48945,0.0,0.7478251907435816
97,553332.5,33745,48227,0.0,0.745588258981959
98,540745.0,35225,47147,0.0,0.7433580184414508
99,504592.5,29384,51340,0.0,0.7411344491069448
100,551587.5,34536,47640,0.0,0.7389175310231992
101,557027.5,32247,49281,0.0,0.7367072442946632
102,541775.0,33467,48377,0.0,0.7345035690852983
103,554405.0,34574,47578,0.0,0.7323064856184011
104,529292.5,34697,47491,0.0,0.7301159741764247
105,567995.0,33393,48479,0.0,0.7279320151008026
106,555895.0,33175,48677,0.0,0.725754588791772
107,568117.5,31715,49685,0.0,0.7235836757081978
108,583357.5,35650,46850,0.0,0.7214192563673972
109,567662.5,35653,46839,0.0,0.7192613113449653
110,527712.5,33979,48029,0.0,0.7171098212746
111,549912.5,35480,46932,0.0,0.714964766847929
