episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,224776.9,119690,36118,0.0,0.97,0.0009786284
1,224832.23,120188,33204,0.0,0.9409,0.0009588637
2,224426.0,119404,39844,0.0,0.9127,0.0009364025
3,233173.95,123944,36712,0.0,0.8853,0.0009158404
4,226215.63,121161,38807,0.0,0.8587,0.0008951924
5,237410.1,125989,36827,0.0,0.833,0.0008755352
6,237226.7,126306,40590,0.0,0.808,0.0008547694
7,243080.02,129419,34693,0.0,0.7837,0.0008370038
8,236106.75,125726,42946,0.0,0.7602,0.0008161717
9,247134.69,131202,42974,0.0,0.7374,0.0007956194
10,248476.69,132055,37065,0.0,0.7153,0.0007781487
11,254834.5,135738,35462,0.0,0.6938,0.0007615185
12,247304.96,132242,39182,0.0,0.673,0.0007441264
13,235975.67,126115,33837,0.0,0.6528,0.0007293166
14,253397.4,135647,38529,0.0,0.6333,0.0007130878
15,225914.59,120819,40269,0.0,0.6143,0.0006972201
16,242406.15,130042,34214,0.0,0.5958,0.0006831388
17,234132.84,125305,40407,0.0,0.578,0.0006675369
18,237653.48,127232,43504,0.0,0.5606,0.0006515089
19,218256.94,116646,43722,0.0,0.5438,0.0006358657
20,228440.82,121683,42605,0.0,0.5275,0.0006204119
21,216891.92,115903,44209,0.0,0.5117,0.0006049706
22,250970.88,133645,40179,0.0,0.4963,0.0005915088
23,224902.22,120400,36288,0.0,0.4814,0.0005788673
24,242875.82,129965,41971,0.0,0.467,0.0005653074
25,262936.13,140796,38772,0.0,0.453,0.0005527282
26,237998.7,127344,34544,0.0,0.4394,0.0005417276
27,233143.2,124518,38522,0.0,0.4262,0.0005296731
28,256676.65,137865,43271,0.0,0.4134,0.0005172656
29,251297.04,133933,45923,0.0,0.401,0.0005040888
30,240088.77,127819,45269,0.0,0.389,0.0004912478
31,219159.3,117933,40195,0.0,0.3773,0.0004806048
32,223920.44,120464,37520,0.0,0.366,0.0004706159
33,229097.98,124307,37869,0.0,0.355,0.0004609728
34,213078.62,114241,47471,0.0,0.3444,0.0004485567
35,239984.96,129089,40511,0.0,0.334,0.0004383122
36,226343.0,120228,45564,0.0,0.324,0.0004271468
37,218323.77,117827,39805,0.0,0.3143,0.0004180180
38,213426.2,116059,40373,0.0,0.3049,0.0004088389
39,219318.91,117716,41196,0.0,0.2957,0.0003993817
40,230472.21,123610,39222,0.0,0.2868,0.0003907290
41,231481.96,124343,45305,0.0,0.2782,0.0003811186
42,240941.72,129548,43300,0.0,0.2699,0.0003723026
43,243863.81,131637,42251,0.0,0.2618,0.0003636906
44,225898.73,120756,43852,0.0,0.2539,0.0003548517
45,236752.77,127390,44802,0.0,0.2463,0.0003460198
46,203286.83,109701,47627,0.0,0.2389,0.0003379144
47,217793.93,117184,44384,0.0,0.2318,0.0003296030
48,236466.92,127547,46549,0.0,0.2248,0.0003217855
49,240558.71,128132,48876,0.0,0.2181,0.0003139650
50,239349.08,129177,45831,0.0,0.2115,0.0003064265
51,212802.34,113692,45316,0.0,0.2052,0.0002988896
52,220275.12,117526,48986,0.0,0.199,0.0002907518
53,198381.44,108449,49583,0.0,0.1931,0.0002834303
54,217052.16,115385,49719,0.0,0.1873,0.0002762931
55,242872.31,130344,44776,0.0,0.1816,0.0002700640
56,205932.33,111690,44854,0.0,0.1762,0.0002636587
57,206040.88,111935,48097,0.0,0.1709,0.0002574825
58,201344.23,107963,53237,0.0,0.1658,0.0002503219
59,227383.0,123325,44195,0.0,0.1608,0.0002451191
60,219486.7,117809,49055,0.0,0.156,0.0002390901
61,229439.03,124453,47419,0.0,0.1513,0.0002335596
62,205391.17,111563,56757,0.0,0.1468,0.0002267919
63,222048.68,118946,56014,0.0,0.1424,0.0002202864
64,193091.26,102041,61127,0.0,0.1381,0.0002137750
65,208852.97,110764,62772,0.0,0.1339,0.0002072694
66,209557.88,114087,53209,0.0,0.1299,0.0002015656
67,211987.67,114041,59031,0.0,0.126,0.0001959600
68,190315.94,105316,53484,0.0,0.1223,0.0001909109
69,214572.59,117797,59899,0.0,0.1186,0.0001853234
70,202354.53,106479,53441,0.0,0.115,0.0001803859
71,203441.0,110737,52623,0.0,0.1116,0.0001756853
72,206501.18,110807,61145,0.0,0.1082,0.0001706458
73,198182.28,107772,52980,0.0,0.105,0.0001661990
74,216058.48,112589,65523,0.0,0.1018,0.0001606103
75,194284.27,106749,61395,0.0,0.0988,0.0001557693
76,192784.45,104688,65696,0.0,0.0958,0.0001506217
77,191770.06,101270,59290,0.0,0.0929,0.0001465647
78,200039.68,104905,66999,0.0,0.0902,0.0001416787
79,181579.82,94815,60193,0.0,0.0874,0.0001376973
80,194748.19,106846,64626,0.0,0.0848,0.0001338278
81,203475.41,108472,64552,0.0,0.0823,0.0001299499
82,177936.69,95572,70412,0.0,0.0798,0.0001256178
83,170325.75,94488,66728,0.0,0.0774,0.0001216124
84,187951.39,102825,61543,0.0,0.0751,0.0001179823
85,192380.36,105306,73238,0.0,0.0728,0.0001139124
86,179847.28,98597,65579,0.0,0.0707,0.0001102802
87,186927.27,102409,70183,0.0,0.0685,0.0001066038
88,178926.74,98735,73489,0.0,0.0665,0.0001031428
89,179913.01,92992,73520,0.0,0.0645,0.0001000640
90,179620.26,96166,65786,0.0,0.0626,0.0000970480
91,186305.4,96070,74186,0.0,0.0607,0.0000940664
