episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,1526310.0,41651,54333,0.0,0.9901,0.0009941171
1,1514140.0,41170,54814,0.0,0.9802,0.0009882688
2,1410750.0,38562,57422,0.0,0.9705,0.0009824549
3,1502927.5,40718,55266,0.0,0.9608,0.0009766751
4,1362720.0,37214,58770,0.0,0.9513,0.0009709294
5,1486535.0,40733,55251,0.0,0.9418,0.0009652175
6,1473347.5,39888,56096,0.0,0.9325,0.0009595392
7,1544395.0,41611,54373,0.0,0.9232,0.0009538943
8,1357115.0,37444,58540,0.0,0.914,0.0009482827
9,1533507.5,41738,54246,0.0,0.905,0.0009427040
10,1349260.0,37640,58344,0.0,0.896,0.0009371581
11,1278802.5,35434,60550,0.0,0.8871,0.0009316449
12,1418692.5,38622,57362,0.0,0.8783,0.0009261641
13,1490132.5,40595,55389,0.0,0.8695,0.0009207156
14,1439232.5,39807,56177,0.0,0.8609,0.0009152991
15,1365530.0,37799,58185,0.0,0.8523,0.0009099144
16,1459455.0,39897,56087,0.0,0.8439,0.0009045615
17,1532842.5,41882,54102,0.0,0.8355,0.0008992400
18,1367827.5,37561,58423,0.0,0.8272,0.0008939498
19,1374425.0,37773,58211,0.0,0.819,0.0008886908
20,1312920.0,35960,60024,0.0,0.8108,0.0008834627
21,1343162.5,36987,58997,0.0,0.8028,0.0008782654
22,1567467.5,42354,53630,0.0,0.7948,0.0008730986
23,1446192.5,39033,56951,0.0,0.7869,0.0008679622
24,1465230.0,39603,56381,0.0,0.7791,0.0008628561
25,1498667.5,40950,55034,0.0,0.7713,0.0008577800
26,1516077.5,41521,54463,0.0,0.7637,0.0008527337
27,1366875.0,37427,58557,0.0,0.7561,0.0008477171
28,1438845.0,39777,56207,0.0,0.7486,0.0008427301
29,1365757.5,37583,58401,0.0,0.7411,0.0008377724
30,1432090.0,38932,57052,0.0,0.7338,0.0008328438
31,1405270.0,38819,57165,0.0,0.7265,0.0008279443
32,1578270.0,42810,53174,0.0,0.7193,0.0008230735
33,1332310.0,36471,59513,0.0,0.7121,0.0008182315
34,1443797.5,39508,56476,0.0,0.705,0.0008134179
35,1500552.5,40924,55060,0.0,0.698,0.0008086326
36,1571985.0,43005,52979,0.0,0.6911,0.0008038755
37,1409690.0,38377,57607,0.0,0.6842,0.0007991463
38,1387527.5,37909,58075,0.0,0.6774,0.0007944450
39,1318735.0,36195,59789,0.0,0.6707,0.0007897714
40,1449725.0,38779,57205,0.0,0.664,0.0007851252
41,1538392.5,41354,54630,0.0,0.6574,0.0007805064
42,1417895.0,38493,57491,0.0,0.6509,0.0007759147
43,1448772.5,39212,56772,0.0,0.6444,0.0007713501
44,1327750.0,36579,59405,0.0,0.638,0.0007668123
45,1438205.0,39134,56850,0.0,0.6317,0.0007623012
46,1407672.5,38503,57481,0.0,0.6254,0.0007578166
47,1479935.0,40449,55535,0.0,0.6192,0.0007533584
48,1661675.0,45296,50688,0.0,0.6131,0.0007489265
49,1580045.0,42389,53595,0.0,0.607,0.0007445206
50,1413645.0,38347,57637,0.0,0.6009,0.0007401406
51,1644095.0,44077,51907,0.0,0.595,0.0007357865
52,1411552.5,38946,57038,0.0,0.589,0.0007314579
53,1343665.0,36954,59030,0.0,0.5832,0.0007271548
54,1432432.5,39169,56815,0.0,0.5774,0.0007228770
55,1292517.5,35585,60399,0.0,0.5717,0.0007186243
56,1622615.0,44033,51951,0.0,0.566,0.0007143967
57,1346012.5,37255,58729,0.0,0.5604,0.0007101940
58,1555667.5,41738,54246,0.0,0.5548,0.0007060160
59,1344100.0,37282,58702,0.0,0.5493,0.0007018625
60,1258902.5,35359,60625,0.0,0.5438,0.0006977335
61,1411017.5,38164,57820,0.0,0.5384,0.0006936288
