episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon
0,1348470.0,80926,13454,0.0,0.05
1,1418422.5,80536,13848,0.0,0.05
2,1349657.5,80868,13512,0.0,0.05
3,1436840.0,80067,14309,0.0,0.05
4,1387835.0,80566,13810,0.0,0.05
5,1306230.0,81036,13352,0.0,0.05
6,1384595.0,80670,13706,0.0,0.05
7,1297085.0,81160,13228,0.0,0.05
8,1374357.5,80656,13724,0.0,0.05
9,1297572.5,81126,13254,0.0,0.05
10,1224267.5,81364,13020,0.0,0.05
11,1239310.0,81454,12930,0.0,0.05
12,1472682.5,80269,14103,0.0,0.05
13,1464645.0,80109,14267,0.0,0.05
14,1377945.0,80721,13663,0.0,0.05
15,1509550.0,80010,14374,0.0,0.05
16,1393267.5,80441,13943,0.0,0.05
17,1531577.5,79519,14841,0.0,0.05
18,1367380.0,80581,13799,0.0,0.05
19,1372645.0,80509,13879,0.0,0.05
20,1384452.5,80518,13866,0.0,0.05
21,1321797.5,80960,13424,0.0,0.05
22,1336047.5,81144,13240,0.0,0.05
23,1376640.0,80633,13751,0.0,0.05
24,1423062.5,80225,14151,0.0,0.05
25,1427672.5,79922,14462,0.0,0.05
26,1426230.0,80000,14376,0.0,0.05
27,1310770.0,80930,13442,0.0,0.05
28,1507930.0,79692,14696,0.0,0.05
29,1349182.5,80611,13765,0.0,0.05
30,1406685.0,80073,14315,0.0,0.05
31,1290122.5,81038,13350,0.0,0.05
32,1374442.5,80481,13907,0.0,0.05
33,1358270.0,80592,13796,0.0,0.05
34,1455285.0,80231,14145,0.0,0.05
35,1374177.5,80617,13763,0.0,0.05
36,1343650.0,81005,13375,0.0,0.05
37,1409832.5,80457,13899,0.0,0.05
38,1323022.5,80738,13622,0.0,0.05
39,1447512.5,80220,14160,0.0,0.05
40,1310465.0,80931,13453,0.0,0.05
41,1373152.5,80858,13530,0.0,0.05
42,1318555.0,81188,13200,0.0,0.05
43,1286317.5,81217,13155,0.0,0.05
44,1479517.5,80022,14362,0.0,0.05
45,1270897.5,80983,13401,0.0,0.05
46,1312612.5,81189,13191,0.0,0.05
47,1440130.0,80317,14051,0.0,0.05
48,1131152.5,82165,12219,0.0,0.05
49,1277072.5,81290,13098,0.0,0.05
50,1385307.5,80378,14006,0.0,0.05
51,1412825.0,80505,13879,0.0,0.05
52,1306470.0,80935,13445,0.0,0.05
53,1440720.0,80329,14051,0.0,0.05
54,1337687.5,80637,13747,0.0,0.05
55,1384537.5,80609,13779,0.0,0.05
56,1230017.5,81267,13109,0.0,0.05
57,1338632.5,80847,13541,0.0,0.05
58,1397000.0,80359,14025,0.0,0.05
59,1282555.0,81166,13202,0.0,0.05
60,1445622.5,80297,14087,0.0,0.05
61,1291720.0,81465,12911,0.0,0.05
62,1326107.5,80920,13460,0.0,0.05
63,1339295.0,80943,13445,0.0,0.05
64,1278242.5,81122,13254,0.0,0.05
65,1353492.5,80683,13693,0.0,0.05
66,1260310.0,81061,13315,0.0,0.05
67,1378272.5,80476,13912,0.0,0.05
68,1433610.0,80371,14013,0.0,0.05
69,1312290.0,80921,13467,0.0,0.05
70,1332800.0,81027,13357,0.0,0.05
71,1348745.0,80785,13599,0.0,0.05
72,1316265.0,80809,13571,0.0,0.05
73,1345082.5,80737,13643,0.0,0.05
74,1413227.5,80335,14037,0.0,0.05
75,1292052.5,80941,13443,0.0,0.05
76,1262292.5,81362,13026,0.0,0.05
77,1390355.0,80341,14043,0.0,0.05
78,1433505.0,80733,13655,0.0,0.05
79,1388852.5,80766,13622,0.0,0.05
80,1286297.5,81106,13282,0.0,0.05
81,1232725.0,81799,12577,0.0,0.05
82,1281252.5,81227,13153,0.0,0.05
83,1462000.0,80063,14321,0.0,0.05
84,1430470.0,80263,14109,0.0,0.05
85,1306970.0,80896,13480,0.0,0.05
86,1292775.0,80965,13415,0.0,0.05
87,1233417.5,81413,12975,0.0,0.05
88,1396432.5,80704,13676,0.0,0.05
89,1292132.5,81367,13013,0.0,0.05
90,1354747.5,80414,13970,0.0,0.05
91,1404912.5,80707,13669,0.0,0.05
92,1453742.5,80229,14155,0.0,0.05
93,1313427.5,80775,13605,0.0,0.05
94,1437145.0,80282,14098,0.0,0.05
95,1238050.0,81350,13038,0.0,0.05
96,1400907.5,80424,13960,0.0,0.05
97,1301615.0,80750,13622,0.0,0.05
98,1228065.0,81363,13025,0.0,0.05
99,1406602.5,80582,13794,0.0,0.05
