episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,7041.74,238734,189426,0.0,0.98,0.0007238569
1,7519.05,239042,184478,0.0,0.9604,0.0005265965
2,5755.35,231532,174964,0.0,0.9412,0.0003900537
3,7164.45,239120,190992,0.0,0.9224,0.0002820607
4,7047.31,235140,174300,0.0,0.9039,0.0002078818
5,5433.52,239969,188415,0.0,0.8858,0.0001500257
6,6130.44,227043,180957,0.0,0.8681,0.0001103495
7,6007.41,231990,182762,0.0,0.8508,0.0000810040
8,5705.9,230481,170223,0.0,0.8337,0.0000600603
9,5766.46,231768,185944,0.0,0.8171,0.0000440442
10,7305.97,240705,176463,0.0,0.8007,0.0000323962
11,5916.48,232797,188371,0.0,0.7847,0.0000237097
12,6088.46,230470,176410,0.0,0.769,0.0000174743
13,6067.31,237534,177410,0.0,0.7536,0.0000128273
14,5972.04,224557,170339,0.0,0.7386,0.0000095681
15,5976.85,232705,169871,0.0,0.7238,0.0000071227
16,6441.4,235087,175777,0.0,0.7093,0.0000052600
17,5779.06,237897,180679,0.0,0.6951,0.0000038573
18,6566.1,245147,183717,0.0,0.6812,0.0000028062
19,6750.55,239883,179221,0.0,0.6676,0.0000020620
20,5861.0,233645,178483,0.0,0.6543,0.0000015182
21,6678.62,236028,177396,0.0,0.6412,0.0000011200
22,6202.56,237936,173840,0.0,0.6283,0.0000008296
23,7689.75,235023,167185,0.0,0.6158,0.0000006250
24,5981.55,242414,188210,0.0,0.6035,0.0000004570
25,6742.68,242066,184654,0.0,0.5914,0.0000003355
26,5776.72,231566,175906,0.0,0.5796,0.0000002505
27,5974.17,228860,179396,0.0,0.568,0.0000001859
28,6674.98,225029,169835,0.0,0.5566,0.0000001398
29,5101.95,227105,172575,0.0,0.5455,0.0000001041
30,6399.86,231701,169643,0.0,0.5346,0.0000000778
31,6022.22,235933,185011,0.0,0.5239,0.0000000575
32,6070.06,232950,190106,0.0,0.5134,0.0000000422
33,8262.7,237598,176290,0.0,0.5031,0.0000000312
34,6012.53,241050,183910,0.0,0.4931,0.0000000229
35,6176.58,232416,182704,0.0,0.4832,0.0000000170
36,7015.18,242027,175077,0.0,0.4735,0.0000000126
37,5548.59,229461,171595,0.0,0.4641,0.0000000094
38,5907.03,232804,169036,0.0,0.4548,0.0000000071
39,6025.72,232184,180136,0.0,0.4457,0.0000000053
40,6389.61,243721,185047,0.0,0.4368,0.0000000039
41,6036.44,226558,179410,0.0,0.4281,0.0000000029
42,6006.74,236984,179688,0.0,0.4195,0.0000000022
43,5978.44,232379,175957,0.0,0.4111,0.0000000016
44,6545.82,230291,176045,0.0,0.4029,0.0000000012
45,7244.21,238938,177238,0.0,0.3948,0.0000000009
46,6337.55,230723,169597,0.0,0.3869,0.0000000007
47,7804.4,246169,176871,0.0,0.3792,0.0000000005
48,5946.44,223418,176838,0.0,0.3716,0.0000000004
49,5961.18,241852,180260,0.0,0.3642,0.0000000003
50,6781.29,239468,181972,0.0,0.3569,0.0000000002
51,6470.47,237599,186593,0.0,0.3497,0.0000000002
52,5979.66,232989,183683,0.0,0.3428,0.0000000001
53,6678.04,233676,181828,0.0,0.3359,0.0000000001
54,5867.38,228345,173255,0.0,0.3292,0.0000000001
55,6033.9,239080,182440,0.0,0.3226,0.0000000000
56,5853.03,233044,183164,0.0,0.3161,0.0000000000
57,6233.29,236065,175375,0.0,0.3098,0.0000000000
58,5968.36,236359,176025,0.0,0.3036,0.0000000000
59,5763.67,230792,175064,0.0,0.2976,0.0000000000
60,6060.16,236741,177339,0.0,0.2916,0.0000000000
61,5262.66,233830,181674,0.0,0.2858,0.0000000000
62,6474.13,232469,173547,0.0,0.2801,0.0000000000
63,6406.7,240252,174932,0.0,0.2745,0.0000000000
64,6521.33,242363,178661,0.0,0.269,0.0000000000
65,6585.08,224286,173730,0.0,0.2636,0.0000000000
66,7461.36,239095,173577,0.0,0.2583,0.0000000000
67,6045.54,235169,175023,0.0,0.2531,0.0000000000
68,7977.26,241574,174634,0.0,0.2481,0.0000000000
69,5644.69,231821,185411,0.0,0.2431,0.0000000000
70,5922.54,232547,180765,0.0,0.2383,0.0000000000
71,5296.08,218526,167106,0.0,0.2335,0.0000000000
72,6402.28,234163,184109,0.0,0.2288,0.0000000000
73,6079.0,233998,182770,0.0,0.2242,0.0000000000
74,6469.99,245292,177924,0.0,0.2198,0.0000000000
75,6146.2,235713,172127,0.0,0.2154,0.0000000000
76,6368.06,232685,171971,0.0,0.2111,0.0000000000
77,6162.76,227888,180464,0.0,0.2068,0.0000000000
78,6262.01,240586,188038,0.0,0.2027,0.0000000000
79,5836.71,238469,174427,0.0,0.1986,0.0000000000
80,5863.5,230431,178529,0.0,0.1947,0.0000000000
81,6774.14,237750,178330,0.0,0.1908,0.0000000000
82,6083.78,235834,186038,0.0,0.187,0.0000000000
83,6673.57,241520,178160,0.0,0.1832,0.0000000000
84,6605.09,250908,194308,0.0,0.1796,0.0000000000
85,6855.16,228796,179092,0.0,0.176,0.0000000000
86,6070.07,228457,171255,0.0,0.1725,0.0000000000
87,6828.39,226978,190782,0.0,0.169,0.0000000000
88,6104.75,232266,171942,0.0,0.1656,0.0000000000
89,6342.25,245013,176875,0.0,0.1623,0.0000000000
90,5726.4,233432,170136,0.0,0.1591,0.0000000000
91,6056.21,228903,179049,0.0,0.1559,0.0000000000
92,6187.86,236508,182180,0.0,0.1528,0.0000000000
93,5960.06,244927,188977,0.0,0.1497,0.0000000000
94,6275.09,227373,175427,0.0,0.1467,0.0000000000
95,6410.36,246189,175203,0.0,0.1438,0.0000000000
96,6797.73,227254,174170,0.0,0.1409,0.0000000000
97,7534.58,222824,182408,0.0,0.1381,0.0000000000
98,6185.98,236731,188501,0.0,0.1353,0.0000000000
99,6354.2,246059,178053,0.0,0.1326,0.0000000000
100,6056.66,233361,175007,0.0,0.13,0.0000000000
101,6081.84,230605,186051,0.0,0.1274,0.0000000000
102,6218.84,239927,182249,0.0,0.1248,0.0000000000
103,6511.88,241791,177697,0.0,0.1223,0.0000000000
104,6585.11,236492,181604,0.0,0.1199,0.0000000000
105,6317.51,233721,181991,0.0,0.1175,0.0000000000
106,5505.43,226870,194730,0.0,0.1151,0.0000000000
107,6387.1,239919,175953,0.0,0.1128,0.0000000000
108,5262.72,229049,176679,0.0,0.1106,0.0000000000
109,5292.45,229300,176332,0.0,0.1084,0.0000000000
110,6254.21,235330,172238,0.0,0.1062,0.0000000000
111,8147.56,241173,191787,0.0,0.1041,0.0000000000
112,6158.58,237774,180226,0.0,0.102,0.0000000000
113,6586.78,229183,194193,0.0,0.0999,0.0000000000
114,5971.27,233113,177527,0.0,0.0979,0.0000000000
115,5931.1,238601,186919,0.0,0.096,0.0000000000
116,6906.97,228885,175691,0.0,0.0941,0.0000000000
117,6028.13,227212,177364,0.0,0.0922,0.0000000000
118,6488.21,237332,191116,0.0,0.0903,0.0000000000
119,5833.61,223787,185893,0.0,0.0885,0.0000000000
120,6432.9,221576,187560,0.0,0.0868,0.0000000000
121,5036.47,223757,194211,0.0,0.085,0.0000000000
122,5740.66,237057,185791,0.0,0.0833,0.0000000000
123,5961.76,241540,181084,0.0,0.0817,0.0000000000
124,6494.84,229722,184838,0.0,0.08,0.0000000000
125,7168.52,255297,188847,0.0,0.0784,0.0000000000
126,5452.08,230211,174285,0.0,0.0769,0.0000000000
127,5666.31,225670,182522,0.0,0.0753,0.0000000000
128,7108.37,240836,185068,0.0,0.0738,0.0000000000
129,7948.36,225978,180582,0.0,0.0723,0.0000000000
130,6161.6,228236,181940,0.0,0.0709,0.0000000000
131,5964.66,232436,188940,0.0,0.0695,0.0000000000
132,5714.08,225304,177944,0.0,0.0681,0.0000000000
133,5298.76,226998,187722,0.0,0.0667,0.0000000000
134,5902.6,237169,186559,0.0,0.0654,0.0000000000
135,5551.53,228164,183740,0.0,0.0641,0.0000000000
136,7675.4,233998,182354,0.0,0.0628,0.0000000000
137,6518.94,224158,175042,0.0,0.0615,0.0000000000
138,5493.31,222500,169164,0.0,0.0603,0.0000000000
139,6473.67,248539,190341,0.0,0.0591,0.0000000000
140,5401.51,226612,187852,0.0,0.0579,0.0000000000
141,5986.06,213790,180850,0.0,0.0568,0.0000000000
142,5783.31,224576,183760,0.0,0.0556,0.0000000000
143,5549.72,225564,186820,0.0,0.0545,0.0000000000
144,5504.93,226022,197530,0.0,0.0534,0.0000000000
145,5673.75,218611,178717,0.0,0.0524,0.0000000000
146,5704.81,225659,203973,0.0,0.0513,0.0000000000
147,5299.4,234761,190935,0.0,0.0503,0.0000000000
148,5955.21,244837,178667,0.0,0.05,0.0000000000
149,6131.24,225349,181003,0.0,0.05,0.0000000000
150,5317.79,229809,192447,0.0,0.05,0.0000000000
151,6883.22,229099,194741,0.0,0.05,0.0000000000
152,5596.62,236418,178222,0.0,0.05,0.0000000000
153,4924.17,210905,184375,0.0,0.05,0.0000000000
154,4937.98,220744,193912,0.0,0.05,0.0000000000
155,5717.11,219571,194525,0.0,0.05,0.0000000000
156,5957.39,218841,199655,0.0,0.05,0.0000000000
157,6259.15,228047,186257,0.0,0.05,0.0000000000
158,5464.98,224458,193062,0.0,0.05,0.0000000000
159,5831.4,229007,208705,0.0,0.05,0.0000000000
160,6188.21,238434,195086,0.0,0.05,0.0000000000
161,6103.06,224457,181639,0.0,0.05,0.0000000000
162,7778.68,242464,194288,0.0,0.05,0.0000000000
163,5333.96,237797,195467,0.0,0.05,0.0000000000
164,6308.23,221817,194983,0.0,0.05,0.0000000000
165,5364.41,237157,181739,0.0,0.05,0.0000000000
166,6478.8,228406,178890,0.0,0.05,0.0000000000
167,6562.1,244700,196516,0.0,0.05,0.0000000000
168,5529.17,217933,179731,0.0,0.05,0.0000000000
169,5490.75,237009,181151,0.0,0.05,0.0000000000
170,6175.75,228967,191401,0.0,0.05,0.0000000000
171,5764.46,233305,191383,0.0,0.05,0.0000000000
172,6658.68,241809,199471,0.0,0.05,0.0000000000
173,4981.26,216671,197025,0.0,0.05,0.0000000000
174,5809.79,228207,181057,0.0,0.05,0.0000000000
175,5596.02,219116,193300,0.0,0.05,0.0000000000
176,5688.63,222910,192322,0.0,0.05,0.0000000000
177,6699.74,238561,176079,0.0,0.05,0.0000000000
178,6303.49,232094,200546,0.0,0.05,0.0000000000
179,5389.11,220454,183338,0.0,0.05,0.0000000000
180,6149.42,229086,192034,0.0,0.05,0.0000000000
181,5991.59,245826,173502,0.0,0.05,0.0000000000
182,6968.57,221241,174887,0.0,0.05,0.0000000000
183,5223.36,213933,186675,0.0,0.05,0.0000000000
184,6092.17,216843,182485,0.0,0.05,0.0000000000
185,6337.34,228620,176276,0.0,0.05,0.0000000000
186,6623.28,234300,189748,0.0,0.05,0.0000000000
187,5716.3,224149,184411,0.0,0.05,0.0000000000
188,7352.61,251540,181964,0.0,0.05,0.0000000000
189,5742.71,235453,179075,0.0,0.05,0.0000000000
190,6639.72,230928,190160,0.0,0.05,0.0000000000
191,6308.07,239412,191964,0.0,0.05,0.0000000000
192,5773.14,228076,201140,0.0,0.05,0.0000000000
193,6264.18,215932,180244,0.0,0.05,0.0000000000
194,6036.5,232802,182462,0.0,0.05,0.0000000000
195,5802.18,230146,186430,0.0,0.05,0.0000000000
196,5526.67,214444,185908,0.0,0.05,0.0000000000
197,5869.84,234197,207307,0.0,0.05,0.0000000000
198,5344.75,221971,205277,0.0,0.05,0.0000000000
199,4877.8,206764,196564,0.0,0.05,0.0000000000
200,5942.32,223382,201194,0.0,0.05,0.0000000000
201,5890.08,225357,192451,0.0,0.05,0.0000000000
202,5784.84,236445,191715,0.0,0.05,0.0000000000
203,5153.9,205756,202772,0.0,0.05,0.0000000000
204,6803.9,246011,190597,0.0,0.05,0.0000000000
205,6619.11,221775,188305,0.0,0.05,0.0000000000
206,7346.13,236664,193928,0.0,0.05,0.0000000000
207,5735.44,233971,175437,0.0,0.05,0.0000000000
208,6411.08,246199,174057,0.0,0.05,0.0000000000
209,5998.94,234213,173163,0.0,0.05,0.0000000000
210,6394.45,239876,181372,0.0,0.05,0.0000000000
211,5814.42,231848,181400,0.0,0.05,0.0000000000
212,5957.99,233423,170609,0.0,0.05,0.0000000000
213,5392.35,212493,194259,0.0,0.05,0.0000000000
214,6068.19,225638,175946,0.0,0.05,0.0000000000
215,5426.87,232078,183090,0.0,0.05,0.0000000000
216,5497.32,223551,183521,0.0,0.05,0.0000000000
217,5364.73,223851,188613,0.0,0.05,0.0000000000
218,5425.89,219400,204920,0.0,0.05,0.0000000000
219,5689.14,234518,176554,0.0,0.05,0.0000000000
220,8321.22,221271,190505,0.0,0.05,0.0000000000
221,6012.36,220401,186639,0.0,0.05,0.0000000000
222,6806.51,233281,185023,0.0,0.05,0.0000000000
223,6502.19,212460,196468,0.0,0.05,0.0000000000
224,5527.61,211282,204702,0.0,0.05,0.0000000000
