episode,total_reward,cache_hits,cache_misses,epsilon
0,-829.848741994522,92186,28586,0.99
1,930.4441619811233,95825,24867,0.9801
2,2294.3015557955814,98655,22108,0.9702989999999999
3,3838.908588466264,100774,20078,0.96059601
4,1811.261618779982,97207,23635,0.9509900498999999
5,247.65121528235227,95021,25762,0.9414801494009999
6,1524.454210237721,97148,23805,0.9320653479069899
7,5306.057231931353,104002,16693,0.92274469442792
8,1720.5736868501297,97387,23503,0.9135172474836407
9,1196.035237296813,95902,24840,0.9043820750088043
10,333.2293805259102,94878,26248,0.8953382542587163
11,2918.1364298941135,99512,21325,0.8863848717161291
12,1661.2890708316024,97062,23849,0.8775210229989678
13,4969.693527118147,103164,17621,0.8687458127689781
14,4236.7955316184925,102029,18840,0.8600583546412883
15,6056.943816754107,105181,15539,0.8514577710948754
16,3535.824658735861,100494,20393,0.8429431933839266
17,3444.714869088682,100121,20471,0.8345137614500874
18,332.21110501050714,94828,26009,0.8261686238355865
19,4805.240497581165,102844,17993,0.8179069375972307
20,2150.5808108588617,97976,22843,0.8097278682212583
21,1379.069487303125,96308,24438,0.8016305895390458
22,1089.591421154429,95913,25009,0.7936142836436553
23,1953.4153327716408,97507,23263,0.7856781408072188
24,5245.673384899357,103763,17149,0.7778213593991465
25,3321.9279959823725,99986,20926,0.7700431458051551
26,4128.88481436791,101357,19344,0.7623427143471035
27,5997.797517619294,104854,15935,0.7547192872036325
28,1846.0637558694998,97341,23495,0.7471720943315961
29,4063.5076633901754,101025,19872,0.7397003733882802
30,2054.7990397348563,97686,23118,0.7323033696543974
31,2158.11039847211,98191,22709,0.7249803359578534
32,3229.481941088526,99676,21171,0.7177305325982748
33,793.5360895448928,94301,26472,0.7105532272722921
34,2358.792334849431,98887,22009,0.7034476949995692
35,2866.184464429837,99072,21715,0.6964132180495735
36,3995.457200147934,100828,19995,0.6894490858690777
37,6280.277231632257,104882,15831,0.682554595010387
38,4306.97045578341,101621,19265,0.6757290490602831
39,690.255724682409,94985,25883,0.6689717585696803
40,3989.261590373565,101113,19732,0.6622820409839835
41,1305.639395657772,96023,24687,0.6556592205741436
42,1238.137294419358,96424,24392,0.6491026283684022
43,6403.017156409715,105357,15411,0.6426116020847181
44,763.6849159454579,95344,25406,0.6361854860638709
45,1474.568955896413,96306,24523,0.6298236312032323
46,2619.705428248121,99009,21670,0.6235253948912
47,2725.04577441602,99301,21509,0.617290140942288
48,2330.3966260190296,98338,22643,0.6111172395328651
49,3024.0532857304097,100149,20686,0.6050060671375365
50,3984.195713686887,101401,19499,0.5989560064661611
51,2658.763073663532,99239,21681,0.5929664464014994
52,4084.37234255967,101669,19162,0.5870367819374844
53,-1444.3159451196361,91080,29821,0.5811664141181095
54,5189.424268411196,103574,17072,0.5753547499769285
55,2059.24070314973,97611,23279,0.5696012024771592
56,1459.6301764198906,96534,24267,0.5639051904523876
57,1912.8747728074939,97824,23134,0.5582661385478638
58,1120.4158938420821,95883,25079,0.5526834771623851
59,6372.015764793974,105824,14971,0.5471566423907612
60,2269.780725108652,98215,22541,0.5416850759668536
61,4389.938271321383,102499,18418,0.536268225207185
62,3357.8196308444867,100365,20397,0.5309055429551132
63,4539.539386428856,101910,18897,0.525596487525562
64,569.819012453411,94446,26424,0.5203405226503064
65,1439.6934031745307,96619,24178,0.5151371174238033
66,4011.7844919558997,101443,19380,0.5099857462495653
67,4031.529137519188,101359,19319,0.5048858887870696
68,-132.67373459940305,93735,27075,0.4998370298991989
69,4897.151475019565,102952,17930,0.49483865960020695
70,990.1434166832954,95735,25320,0.4898902730042049
71,4589.320565531233,102512,18263,0.48499137027416284
72,2427.0639806748245,98328,22616,0.4801414565714212
73,2502.3967749242784,98689,22167,0.475340042005707
74,-429.41189546154504,92756,28063,0.47058664158564995
75,3452.908738538102,100749,19977,0.4658807751697934
76,2433.642669082838,98499,22368,0.4612219674180955
77,3040.4949559671822,99945,20692,0.45660974774391455
78,1910.9823708656036,97577,23050,0.4520436502664754
79,5288.504304870488,103999,16860,0.44752321376381066
80,4874.210752002629,102691,18105,0.44304798162617254
81,-3327.3715560853766,88207,32762,0.4386175018099108
82,1757.7248518674353,97001,23761,0.4342313267918117
83,-266.3517975972943,93599,27324,0.4298890135238936
84,4716.351888962138,102788,18006,0.42559012338865465
85,605.9173457223096,94642,26178,0.4213342221547681
86,3287.7551111086154,100478,20504,0.41712087993322045
87,3057.214508853698,99682,21176,0.41294967113388825
88,2367.245697279377,98633,22344,0.40882017442254937
89,1984.8706635809529,97681,23265,0.4047319726783239
90,2291.6436103021724,98174,22619,0.40068465295154065
91,1400.8857703044082,96693,24137,0.39667780642202527
92,3705.135094368952,100779,20120,0.392711028357805
93,1148.6824790241635,96038,24725,0.38878391807422696
94,3742.297998031571,100959,20007,0.3848960788934847
95,6357.020182155509,105481,15445,0.38104711810454983
96,3360.3527929755523,100378,20721,0.37723664692350434
97,118.58073828588287,94308,26468,0.37346428045426927
98,2028.107216034715,97812,22968,0.36972963764972655
99,1458.65151625749,97409,23389,0.36603234127322926
100,4242.0571748644525,101921,19141,0.36237201786049694
101,3612.359398629818,100820,19976,0.358748297681892
102,1942.100662606814,97272,23539,0.35516081470507305
103,3723.6944052237327,100442,20450,0.3516092065580223
104,1233.2917080272885,95872,24976,0.34809311449244207
105,1228.313159863327,96145,24498,0.34461218334751764
106,278.08653903127475,94561,26529,0.34116606151404244
107,2713.4302949145585,99104,21583,0.337754400898902
108,5449.58122931073,103895,16900,0.334376856889913
109,422.68262212110784,94377,26482,0.33103308832101386
110,-1406.4467274425622,91279,29533,0.3277227574378037
111,1876.8630597576378,97104,23879,0.3244455298634257
112,142.10842158037673,93587,27007,0.3212010745647914
113,3900.38237877363,101109,19527,0.3179890638191435
114,1610.992548562567,97354,23490,0.31480917318095203
115,5347.893827242719,104064,16804,0.3116610814491425
116,1007.3939528437633,95707,25183,0.30854447063465107
117,4832.557885908786,103383,17333,0.30545902592830454
118,1132.377765570268,95880,24954,0.3024044356690215
119,2427.6972935683916,98279,22568,0.29938039131233124
120,3296.689462893453,99677,21127,0.2963865873992079
121,2635.282159613333,98550,22255,0.29342272152521587
122,1731.8897574351645,97314,23530,0.2904884943099637
123,-411.86094293620306,92902,27958,0.28758360936686406
124,6390.998848669172,105163,15413,0.2847077732731954
125,5135.536119460077,102793,17998,0.28186069554046345
126,5509.827290155133,103863,16966,0.2790420885850588
127,3909.3966249417585,100972,19837,0.2762516676992082
128,3052.4117650194394,99714,21010,0.27348915102221616
129,6215.4569917034605,105042,15812,0.270754259511994
130,3270.216945703223,100124,20757,0.26804671691687404
131,-1447.1044972680127,90856,29966,0.2653662497477053
132,-2139.4369022102383,89955,30872,0.2627125872502282
133,4862.759828149837,103092,17843,0.2600854613777259
134,2907.411562226099,99584,21303,0.2574846067639487
135,1323.673014932651,96927,24037,0.2549097606963092
136,4882.912351228019,103256,17580,0.2523606630893461
137,5474.0146544036625,104304,16544,0.24983705645845267
138,-244.8966532778801,93827,27024,0.24733868589386815
139,3484.2097996205566,100554,20165,0.24486529903492946
140,872.0684114543977,95232,25598,0.24241664604458016
141,2882.483529943973,99879,20909,0.23999247958413436
142,4461.480357371794,102646,18158,0.23759255478829303
143,3184.120801752889,100380,20530,0.2352166292404101
144,85.78698005619874,94029,26785,0.232864462948006
145,3319.613318435363,100687,20257,0.23053581831852593
146,2237.3454165315206,98229,22628,0.22823046013534068
147,321.3290261926418,94864,26026,0.22594815553398728
148,367.2756503279794,94884,25812,0.22368867397864742
149,863.8071038746175,95591,25384,0.22145178723886094
150,-447.10725374013214,93123,27726,0.21923726936647234
151,217.69993679136485,94498,26252,0.2170448966728076
152,1503.0229695220141,96652,24278,0.21487444770607952
153,5515.768837124245,103725,17221,0.21272570322901874
154,613.7947233735981,95133,25699,0.21059844619672854
155,4770.08961283135,103196,17660,0.20849246173476127
156,2318.460344269252,98471,22228,0.20640753711741366
157,2812.7548489473656,99318,21561,0.20434346174623952
158,1307.9039889801068,96547,24351,0.20230002712877712
159,-491.7211236553388,92716,28154,0.20027702685748935
160,1704.0565425502562,97596,23345,0.19827425658891445
161,3186.499315748072,99726,20993,0.1962915140230253
162,2207.6073237928945,98367,22512,0.19432859888279505
163,3284.7655561071065,100165,20702,0.1923853128939671
164,4258.997017564463,102206,18595,0.19046145976502743
165,2988.8477348682604,100177,20802,0.18855684516737714
166,1071.0092079629221,96155,24487,0.18667127671570335
167,1773.5645455857568,97768,23050,0.18480456394854633
168,3831.8400636998276,101485,19500,0.18295651830906087
169,2996.954445101458,100003,20820,0.18112695312597027
170,3711.303864858104,100752,20094,0.17931568359471056
171,7435.591746875589,107089,13619,0.17752252675876345
172,5951.751640408824,104985,15916,0.17574730149117582
173,4121.414672145571,101536,19286,0.17398982847626407
174,4253.347242452277,101840,18847,0.17224993019150142
175,2617.1605094514553,98700,22153,0.1705274308895864
176,3232.901470737475,100035,20912,0.16882215658069055
177,3821.718433671406,101047,19897,0.16713393501488363
178,3787.010317194415,101059,19817,0.16546259566473479
179,414.7742823050465,94688,26290,0.16380796970808745
180,3560.507546333516,100805,19854,0.16216989001100657
181,4526.05377288403,102636,18216,0.1605481911108965
182,1481.4073217653718,95801,24913,0.15894270919978754
183,5374.187858997537,104177,16689,0.15735328210778965
184,2119.29141988538,97904,22957,0.15577974928671176
185,5059.980810128482,103137,17718,0.15422195179384465
186,4752.594416996342,102620,18333,0.1526797322759062
187,3528.2432745668075,100504,20358,0.15115293495314713
188,1549.568313754441,97029,23899,0.14964140560361566
189,3611.382541528663,100589,20199,0.1481449915475795
190,4726.922571640711,102940,17847,0.1466635416321037
191,117.96628451276064,93857,27070,0.14519690621578268
192,3778.7726824285774,101117,19522,0.14374493715362485
193,2912.0370004202855,100072,20824,0.1423074877820886
194,834.7568706726867,95720,25051,0.1408844129042677
195,1521.2849372514672,97040,23662,0.13947556877522502
196,413.57484717656337,94527,26230,0.13808081308747278
197,1074.1525012767133,96066,24676,0.13670000495659804
198,2968.557570162453,99916,20910,0.13533300490703207
199,4411.879523916251,102095,18666,0.13397967485796175
