episode,total_reward,cache_hits,cache_misses,epsilon
0,8089.998686988789,108731,12026,0.99
1,7929.253775538213,109025,11770,0.9801
2,7783.282839325748,109013,12102,0.9702989999999999
3,7616.817108464272,108850,11992,0.96059601
4,7876.395779114547,108987,11812,0.9509900498999999
5,8262.326402054288,109217,11648,0.9414801494009999
6,7748.777420773546,109218,11621,0.9320653479069899
7,8143.612553878567,109414,11305,0.92274469442792
8,8370.905701684831,109256,11706,0.9135172474836407
9,8527.675553964107,109719,11062,0.9043820750088043
10,8517.769977903186,109857,11003,0.8953382542587163
11,8369.08792407196,109911,10850,0.8863848717161291
12,8432.571415298888,110099,10861,0.8775210229989678
13,8485.94963445633,109927,10923,0.8687458127689781
14,8546.088330670904,109979,10712,0.8600583546412883
15,8452.900320267012,110101,10712,0.8514577710948754
16,8949.255816213867,110257,10510,0.8429431933839266
17,8763.485001115996,110215,10568,0.8345137614500874
18,8384.203511251668,109933,10941,0.8261686238355865
19,9126.19080321147,110482,10204,0.8179069375972307
20,8870.063941786331,110553,10372,0.8097278682212583
21,9080.993973315337,110793,9859,0.8016305895390458
22,9163.050875753492,110826,10024,0.7936142836436553
23,9082.758031940219,110711,10011,0.7856781408072188
24,9116.11988269714,110863,10006,0.7778213593991465
25,8698.158151923748,110426,10373,0.7700431458051551
26,9355.960668712782,111494,9297,0.7623427143471035
27,8889.940071636807,110849,10065,0.7547192872036325
28,8382.527762083359,109807,10993,0.7471720943315961
29,9068.412919280638,110991,9859,0.7397003733882802
30,9107.679802398334,111218,9540,0.7323033696543974
31,8837.284970989973,110860,9816,0.7249803359578534
32,9312.61519015277,111371,9441,0.7177305325982748
33,8820.742901289537,110831,10074,0.7105532272722921
34,9264.435675339715,111380,9484,0.7034476949995692
35,9536.745768950841,111713,9104,0.6964132180495735
36,8457.007958867713,109629,11364,0.6894490858690777
37,9400.560194278183,111552,9213,0.682554595010387
38,9359.715727815854,111955,8902,0.6757290490602831
39,10158.08382179655,112156,8567,0.6689717585696803
40,9410.485992465754,111772,9025,0.6622820409839835
41,9558.791082023992,111998,8903,0.6556592205741436
42,9758.24584154573,112192,8613,0.6491026283684022
43,9372.181024782269,112085,8751,0.6426116020847181
44,9747.497896014671,112449,8310,0.6361854860638709
45,9864.313333367658,112362,8437,0.6298236312032323
46,9746.874308239798,112113,8708,0.6235253948912
47,10182.994679388074,112314,8425,0.617290140942288
48,10247.228321630979,112708,8095,0.6111172395328651
49,9965.650982007059,112508,8337,0.6050060671375365
50,10157.532683158062,112510,8307,0.5989560064661611
51,9901.967412362506,112423,8372,0.5929664464014994
52,9111.356073680796,111824,9172,0.5870367819374844
53,10045.111423574495,112138,8605,0.5811664141181095
54,10483.691899860054,112930,8040,0.5753547499769285
55,9308.578729854677,112080,8723,0.5696012024771592
56,9511.500567712288,112240,8621,0.5639051904523876
57,10195.78284313602,113192,7647,0.5582661385478638
58,10535.907346795597,112916,7826,0.5526834771623851
59,10102.784728192582,112878,7987,0.5471566423907612
60,9549.444030015818,112754,8125,0.5416850759668536
61,10335.732457751517,113214,7646,0.536268225207185
62,10167.415189828745,113177,7547,0.5309055429551132
63,9561.00134624813,112124,8742,0.525596487525562
64,10535.634828611017,112905,7951,0.5203405226503064
65,10447.692395562568,113598,7230,0.5151371174238033
66,8083.3180474926485,109323,11494,0.5099857462495653
67,9528.764465023352,111612,9283,0.5048858887870696
68,10451.157449136612,113659,7126,0.4998370298991989
69,10538.960951432891,113960,6954,0.49483865960020695
70,10945.832010772874,113915,6941,0.4898902730042049
71,10820.968701857437,113851,6903,0.48499137027416284
72,10883.929542259291,113711,7238,0.4801414565714212
73,10951.551211815291,113979,6824,0.475340042005707
74,10875.034476055007,113729,7021,0.47058664158564995
75,10949.947927397867,113958,6817,0.4658807751697934
76,10918.302188209756,114130,6776,0.4612219674180955
77,10964.338769826258,114326,6449,0.45660974774391455
78,10722.59576566343,114054,6715,0.4520436502664754
79,11260.196180766845,114179,6712,0.44752321376381066
80,11203.503187219303,114344,6549,0.44304798162617254
81,11074.046220310118,114314,6631,0.4386175018099108
82,11319.043624678268,114508,6372,0.4342313267918117
83,11338.747381997122,113954,6891,0.4298890135238936
84,10942.962239679002,114187,6475,0.42559012338865465
85,10523.849890917656,113596,7281,0.4213342221547681
86,11320.33011623458,114551,6288,0.41712087993322045
87,11050.013895527338,114356,6486,0.41294967113388825
88,10875.71869974675,114237,6708,0.40882017442254937
89,11665.014057966915,114329,6478,0.4047319726783239
90,11493.179837885164,115033,5869,0.40068465295154065
91,10574.402392382057,113470,7316,0.39667780642202527
92,10685.925994174895,113920,7017,0.392711028357805
93,11142.7589524789,114661,6328,0.38878391807422696
94,11144.338357221151,114960,5884,0.3848960788934847
95,11568.198356581828,115032,5721,0.38104711810454983
96,11278.63478798539,114921,5958,0.37723664692350434
97,11839.125915669545,115024,5786,0.37346428045426927
98,11224.200514596321,114860,5826,0.36972963764972655
99,11669.552907014604,114879,6038,0.36603234127322926
100,11634.334002728561,114932,5972,0.36237201786049694
101,10830.05735423708,115103,5781,0.358748297681892
102,11310.44858550848,115205,5723,0.35516081470507305
103,11619.402650078664,114911,5827,0.3516092065580223
104,11261.825052646196,115173,5683,0.34809311449244207
105,11779.311656976854,115126,5746,0.34461218334751764
106,10835.975058580552,114341,6565,0.34116606151404244
107,11981.248969853696,115282,5505,0.337754400898902
108,11426.107790440923,114905,5908,0.334376856889913
109,11600.795020072717,114792,6109,0.33103308832101386
110,10937.156137723463,114509,6485,0.3277227574378037
