episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,2891.307921701997,100449,20442,11979,12912,88470,7530,0.99
1,765.8359553920037,95942,24840,11303,13479,84639,11361,0.9801
2,5436.0076601388,105994,15091,12342,12743,93652,2348,0.9702989999999999
3,5617.106849952226,106245,14452,12611,12086,93634,2366,0.96059601
4,4605.046055622951,104223,16536,12342,12417,91881,4119,0.9509900498999999
5,5241.759495036317,105741,15238,12267,12712,93474,2526,0.9414801494009999
6,2879.105327075468,100482,20437,12029,12890,88453,7547,0.9320653479069899
7,3624.388466175648,102230,18643,12329,12544,89901,6099,0.92274469442792
8,5087.885800077409,105412,15524,12934,12002,92478,3522,0.9135172474836407
9,6141.044132660159,107008,13736,13161,11583,93847,2153,0.9043820750088043
10,4749.8361277232825,104528,16208,12577,12159,91951,4049,0.8953382542587163
11,4875.806919782051,104374,16441,12639,12176,91735,4265,0.8863848717161291
12,2552.961207161847,99735,21000,12253,12482,87482,8518,0.8775210229989678
13,6943.618939695974,108704,12030,12804,11930,95900,100,0.8687458127689781
14,6118.107513343784,107506,13311,13542,11275,93964,2036,0.8600583546412883
15,3451.477234032061,101753,19046,12599,12200,89154,6846,0.8514577710948754
16,5622.1068494693645,106088,14617,12762,11943,93326,2674,0.8429431933839266
17,7634.213631144184,109849,10967,13958,10858,95891,109,0.8345137614500874
18,5598.434375097426,105971,14746,13678,11039,92293,3707,0.8261686238355865
19,4181.504259297036,103285,17664,13551,11398,89734,6266,0.8179069375972307
20,2334.138363445612,98908,21920,12093,12735,86815,9185,0.8097278682212583
21,3699.6257115371527,101932,18864,13169,11627,88763,7237,0.8016305895390458
22,5606.390604315497,106438,14536,12648,12326,93790,2210,0.7936142836436553
23,3583.124523666706,101991,18739,12553,12177,89438,6562,0.7856781408072188
24,4437.999708245539,104069,16750,12992,11827,91077,4923,0.7778213593991465
25,5525.666466584628,105876,14877,13149,11604,92727,3273,0.7700431458051551
26,3679.071101239997,101994,18855,12457,12392,89537,6463,0.7623427143471035
27,5553.360241262717,106245,14672,12945,11972,93300,2700,0.7547192872036325
28,4841.472097337081,105064,15729,12848,11945,92216,3784,0.7471720943315961
29,5227.069115937296,105429,15500,13335,11594,92094,3906,0.7397003733882802
30,4199.599757079041,103359,17597,12240,12716,91119,4881,0.7323033696543974
31,4460.326063685762,104425,16388,12408,12405,92017,3983,0.7249803359578534
32,4031.372188130111,102802,17934,12099,12637,90703,5297,0.7177305325982748
33,6209.386758741555,107671,13101,12668,12104,95003,997,0.7105532272722921
34,3314.2244730137586,101631,19289,12716,12204,88915,7085,0.7034476949995692
35,5792.175159852245,106634,14357,13641,11350,92993,3007,0.6964132180495735
36,6101.474276250894,107273,13595,13216,11652,94057,1943,0.6894490858690777
37,5608.355183456352,105658,14992,14378,10272,91280,4720,0.682554595010387
38,3584.608474557121,101983,18664,12754,11893,89229,6771,0.6757290490602831
39,2803.7957630500428,100468,20292,12197,12563,88271,7729,0.6689717585696803
40,3966.1925993014866,102370,18484,12991,11863,89379,6621,0.6622820409839835
41,5175.886457104642,105618,15224,13360,11482,92258,3742,0.6556592205741436
42,4223.008812141937,103338,17512,12471,12379,90867,5133,0.6491026283684022
43,4300.140158718933,103663,17241,12099,12805,91564,4436,0.6426116020847181
44,6496.431160240264,108116,12883,14892,10107,93224,2776,0.6361854860638709
45,3425.7899260502245,101749,19117,13163,11703,88586,7414,0.6298236312032323
46,1514.0716893672327,97317,23478,11235,13560,86082,9918,0.6235253948912
47,5755.64778565973,106037,14690,12164,12563,93873,2127,0.617290140942288
48,4174.224729845899,103526,17263,12281,12508,91245,4755,0.6111172395328651
49,4571.7812762001795,104039,16718,11826,12931,92213,3787,0.6050060671375365
50,4067.201399934693,102780,18064,11726,13118,91054,4946,0.5989560064661611
51,4739.165193990003,104722,16150,12591,12281,92131,3869,0.5929664464014994
52,6549.590838822658,108066,12653,14890,9829,93176,2824,0.5870367819374844
53,6847.381317922381,108744,12111,14759,10096,93985,2015,0.5811664141181095
54,4000.9676374513556,102780,18157,13211,11726,89569,6431,0.5753547499769285
55,4736.209494484741,104363,16362,14543,10182,89820,6180,0.5696012024771592
56,3579.3897067503895,101500,19288,14091,10697,87409,8591,0.5639051904523876
57,7321.302766720071,108591,12134,15897,8828,92694,3306,0.5582661385478638
58,5218.890292185429,105114,15744,14121,10737,90993,5007,0.5526834771623851
59,5873.579185285967,106866,14072,14075,10863,92791,3209,0.5471566423907612
60,5438.237897646902,105937,14969,14511,10395,91426,4574,0.5416850759668536
61,5243.6658085090185,105734,15083,12890,11927,92844,3156,0.536268225207185
62,3086.232148731527,100594,20375,12709,12260,87885,8115,0.5309055429551132
63,2295.048452412355,99340,21547,11433,13454,87907,8093,0.525596487525562
64,2933.1630012790024,100683,20134,11645,13172,89038,6962,0.5203405226503064
65,4281.933656434329,103273,17711,12854,12130,90419,5581,0.5151371174238033
66,6658.695985892585,107670,13146,15988,8828,91682,4318,0.5099857462495653
67,3975.5916318884674,102679,18202,14580,10301,88099,7901,0.5048858887870696
68,4970.878992279975,104785,16176,15056,9905,89729,6271,0.4998370298991989
69,4603.238405231585,104306,16501,12615,12192,91691,4309,0.49483865960020695
70,6859.021008210551,108657,12164,13220,11601,95437,563,0.4898902730042049
71,4183.124959687703,102734,17942,12692,11984,90042,5958,0.48499137027416284
72,3027.999088625989,100329,20459,10957,13831,89372,6628,0.4801414565714212
73,5047.957586572619,105054,15791,13745,11100,91309,4691,0.475340042005707
74,4493.555890701381,104114,16714,12375,12453,91739,4261,0.47058664158564995
75,5287.054307791888,105634,15228,12545,12317,93089,2911,0.4658807751697934
76,4980.4652556682895,104960,15867,14001,10826,90959,5041,0.4612219674180955
77,6065.950464853626,106943,13868,15986,8825,90957,5043,0.45660974774391455
78,7387.511857264028,109555,11313,16951,7917,92604,3396,0.4520436502664754
79,7152.971865388557,109361,11599,15591,9369,93770,2230,0.44752321376381066
80,5491.689383821223,105819,15148,14615,10352,91204,4796,0.44304798162617254
81,7574.2159884211715,110174,10637,17198,7613,92976,3024,0.4386175018099108
82,6503.780760702297,107467,13342,15599,9210,91868,4132,0.4342313267918117
83,3600.4653239580794,101341,19580,14619,10302,86722,9278,0.4298890135238936
84,4011.453414458082,102756,18147,12111,12792,90645,5355,0.42559012338865465
85,6702.42895242813,108358,12368,13629,11097,94729,1271,0.4213342221547681
86,288.5468809952307,94667,26100,11544,13223,83123,12877,0.41712087993322045
87,6426.628871733794,107974,12919,12403,12490,95571,429,0.41294967113388825
88,3237.9503976837773,101630,19354,11620,13364,90010,5990,0.40882017442254937
89,4551.579941411973,103847,16810,11197,13460,92650,3350,0.4047319726783239
90,5407.568812870016,105257,15525,13960,10822,91297,4703,0.40068465295154065
91,6495.611835125224,107891,13012,16038,8865,91853,4147,0.39667780642202527
92,6675.029965756787,108051,12721,15521,9251,92530,3470,0.392711028357805
93,6622.156276609693,107781,12980,16171,8590,91610,4390,0.38878391807422696
94,4307.547123697752,103523,17297,13734,11086,89789,6211,0.3848960788934847
95,5962.2161942037865,106748,14141,13822,11067,92926,3074,0.38104711810454983
96,4680.211611004122,103834,16895,15231,9498,88603,7397,0.37723664692350434
97,5881.401675825285,106168,14731,15169,9730,90999,5001,0.37346428045426927
98,5139.0101529840285,105144,15719,14419,10444,90725,5275,0.36972963764972655
99,5869.995189560938,106353,14504,14607,10250,91746,4254,0.36603234127322926
100,4074.5511360525206,103382,17439,12009,12812,91373,4627,0.36237201786049694
101,3658.7511793118542,101755,18983,10226,14512,91529,4471,0.358748297681892
102,3765.992693825605,102662,18143,12065,12740,90597,5403,0.35516081470507305
103,5926.007001116587,107104,13844,12295,12653,94809,1191,0.3516092065580223
104,4453.629965305683,104154,16580,12094,12640,92060,3940,0.34809311449244207
105,5661.824215991375,105755,15172,16335,8592,89420,6580,0.34461218334751764
106,3865.428294885521,101977,18751,14497,10231,87480,8520,0.34116606151404244
107,2152.729777278205,98914,22022,11332,13604,87582,8418,0.337754400898902
108,3511.286883539339,102138,18767,11483,13422,90655,5345,0.334376856889913
109,4775.873884655402,104969,15994,12444,12519,92525,3475,0.33103308832101386
110,3256.2481396128296,101173,19714,11071,13816,90102,5898,0.3277227574378037
111,4431.662550562872,103598,17231,11978,12851,91620,4380,0.3244455298634257
112,5838.091966543423,106830,14158,13237,11751,93593,2407,0.3212010745647914
113,5957.489618922483,106851,13926,13742,11035,93109,2891,0.3179890638191435
114,5290.76237060908,105648,15178,13548,11278,92100,3900,0.31480917318095203
115,5288.321198137954,105622,15344,12344,12622,93278,2722,0.3116610814491425
116,4910.0473320518395,104564,16169,12811,11922,91753,4247,0.30854447063465107
117,4164.347749330144,103793,17249,12707,12335,91086,4914,0.30545902592830454
118,4631.507037769664,104364,16607,11165,13806,93199,2801,0.3024044356690215
119,4603.52830531357,104303,16370,11638,13035,92665,3335,0.29938039131233124
120,4964.462210948468,105322,15737,12124,12935,93198,2802,0.2963865873992079
121,3480.7402948053946,101757,19193,13349,11601,88408,7592,0.29342272152521587
122,6072.389763691889,106725,14015,12492,12248,94233,1767,0.2904884943099637
123,5000.653246445502,105169,15548,13255,11462,91914,4086,0.28758360936686406
124,2905.97415386707,100251,20490,13085,11656,87166,8834,0.2847077732731954
125,2901.45739844727,100325,20535,12814,12046,87511,8489,0.28186069554046345
126,5881.2525344792075,106324,14459,14751,10032,91573,4427,0.2790420885850588
127,2972.5771388944017,100343,20585,12123,12805,88220,7780,0.2762516676992082
128,5042.424954003964,104948,15942,13221,11669,91727,4273,0.27348915102221616
129,6302.906992875242,106799,14027,14495,10331,92304,3696,0.270754259511994
130,8140.1893147769515,110724,10101,18582,6243,92142,3858,0.26804671691687404
131,5254.574835071696,105828,14889,15608,9109,90220,5780,0.2653662497477053
132,7377.6788184310635,109425,11408,15111,9722,94314,1686,0.2627125872502282
133,5887.114414323079,106884,13905,16196,8593,90688,5312,0.2600854613777259
134,3085.6240220151185,101189,19679,14100,10768,87089,8911,0.2574846067639487
135,5654.701140779031,105846,14890,16733,8003,89113,6887,0.2549097606963092
