episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,epsilon
0,7334.525375429858,108419,12479,12659,12239,95760,240,0.99
1,7587.828467271675,108776,12156,12783,12149,95993,7,0.9801
2,7701.3173748702175,108894,12088,12909,12073,95985,15,0.9702989999999999
3,7832.934004046552,108966,11686,13203,11449,95763,237,0.96059601
4,8044.263247538654,109091,11702,13091,11702,96000,0,0.9509900498999999
5,8071.923229768404,109322,11631,13322,11631,96000,0,0.9414801494009999
6,7568.143431297229,108780,12137,13171,11746,95609,391,0.9320653479069899
7,7822.075298778094,109169,11689,13259,11599,95910,90,0.92274469442792
8,8167.428057200062,109491,11167,13491,11167,96000,0,0.9135172474836407
9,8410.959849758268,109555,11466,13603,11418,95952,48,0.9043820750088043
10,8371.259621139054,109660,11184,13660,11184,96000,0,0.8953382542587163
11,8629.866284549658,109839,10957,13839,10957,96000,0,0.8863848717161291
12,8166.308220450964,109545,11483,14032,10996,95513,487,0.8775210229989678
13,8599.688552938276,109972,10875,13972,10875,96000,0,0.8687458127689781
14,8874.287927116731,110429,10566,14443,10552,95986,14,0.8600583546412883
15,8655.267092350268,110343,10546,14343,10546,96000,0,0.8514577710948754
16,8127.288047598739,109283,11401,14128,10556,95155,845,0.8429431933839266
17,8485.198523327605,110306,10548,14306,10548,96000,0,0.8345137614500874
18,8846.553789131693,110288,10576,14288,10576,96000,0,0.8261686238355865
19,8827.87310586515,110263,10737,14263,10737,96000,0,0.8179069375972307
20,8777.34215243625,110341,10519,14379,10481,95962,38,0.8097278682212583
21,8852.95285277366,110645,10061,14667,10039,95978,22,0.8016305895390458
22,8744.452889875607,110681,10223,14681,10223,96000,0,0.7936142836436553
23,8587.938018920657,110533,10354,14728,10159,95805,195,0.7856781408072188
24,9018.198215078093,110613,10124,14810,9927,95803,197,0.7778213593991465
25,9317.611071362338,110928,9762,14928,9762,96000,0,0.7700431458051551
26,9247.82091087393,111081,9788,15081,9788,96000,0,0.7623427143471035
27,9272.342659271166,110951,9812,14981,9782,95970,30,0.7547192872036325
28,9452.396384695809,111272,9649,15286,9635,95986,14,0.7471720943315961
29,8733.989054025069,110921,9832,15064,9689,95857,143,0.7397003733882802
30,8904.92994002109,111262,9590,15294,9558,95968,32,0.7323033696543974
31,9310.228990655889,111185,9628,15185,9628,96000,0,0.7249803359578534
32,8942.589013091332,111223,9802,15485,9540,95738,262,0.7177305325982748
33,8934.284847090461,110357,10577,15462,9472,94895,1105,0.7105532272722921
34,9266.957560478924,111697,9341,15729,9309,95968,32,0.7034476949995692
35,9495.033876040236,111754,9085,15754,9085,96000,0,0.6964132180495735
36,9407.937217525629,111614,9244,15614,9244,96000,0,0.6894490858690777
37,10079.009452887969,111994,8746,15994,8746,96000,0,0.682554595010387
38,8352.837529814147,110119,10613,15854,8878,94265,1735,0.6757290490602831
39,9540.842687627155,111672,8970,15694,8948,95978,22,0.6689717585696803
40,9857.27035958056,112374,8554,16542,8386,95832,168,0.6622820409839835
41,9792.55210905604,112095,8787,16095,8787,96000,0,0.6556592205741436
42,9926.83695467365,112035,8924,16035,8924,96000,0,0.6491026283684022
43,9581.00547574937,112334,8646,16340,8640,95994,6,0.6426116020847181
44,9608.851428709333,112222,8553,16222,8553,96000,0,0.6361854860638709
45,10060.52800642886,112413,8389,16413,8389,96000,0,0.6298236312032323
46,9784.383074704441,111974,8768,16003,8739,95971,29,0.6235253948912
47,9271.784771375003,112163,8521,16248,8436,95915,85,0.617290140942288
48,9995.545613465898,112540,8423,16628,8335,95912,88,0.6111172395328651
49,9795.750640031476,112571,8463,16645,8389,95926,74,0.6050060671375365
50,9653.407119421356,112275,8520,16342,8453,95933,67,0.5989560064661611
51,9971.211383174763,112369,8399,16487,8281,95882,118,0.5929664464014994
52,10039.030582631896,112416,8461,16565,8312,95851,149,0.5870367819374844
53,10099.420372883409,113032,7994,17038,7988,95994,6,0.5811664141181095
54,10211.042922202532,112778,7933,16778,7933,96000,0,0.5753547499769285
55,10053.510858332627,112809,8003,17129,7683,95680,320,0.5696012024771592
56,9427.589573883437,111619,9251,16791,8079,94828,1172,0.5639051904523876
57,10129.49702477245,113061,7753,17061,7753,96000,0,0.5582661385478638
58,10488.719635678937,113030,7689,17030,7689,96000,0,0.5526834771623851
59,10192.006402687333,112963,7730,17194,7499,95769,231,0.5471566423907612
60,10184.174499854294,113313,7450,17342,7421,95971,29,0.5416850759668536
61,9741.56528486382,112987,8046,17144,7889,95843,157,0.536268225207185
62,9878.71402274344,112791,7999,17173,7617,95618,382,0.5309055429551132
63,10578.1353335377,113328,7485,17328,7485,96000,0,0.525596487525562
64,10964.666546597779,113722,7313,17722,7313,96000,0,0.5203405226503064
65,10255.356075153388,113476,7326,17476,7326,96000,0,0.5151371174238033
66,10312.708337669803,113061,7820,17319,7562,95742,258,0.5099857462495653
67,10659.279284779894,113458,7340,17458,7340,96000,0,0.5048858887870696
68,10350.287204830443,113444,7467,17608,7303,95836,164,0.4998370298991989
69,10447.995201812435,113672,7006,17763,6915,95909,91,0.49483865960020695
70,10596.459220261178,113761,7016,17774,7003,95987,13,0.4898902730042049
71,10312.426843936422,113313,7476,17654,7135,95659,341,0.48499137027416284
72,10438.99524231313,113544,7194,17645,7093,95899,101,0.4801414565714212
73,10391.22626922051,113798,7003,17849,6952,95949,51,0.475340042005707
74,10973.630121551121,113789,7020,17789,7020,96000,0,0.47058664158564995
75,9927.486410366393,113096,7714,18000,6810,95096,904,0.4658807751697934
76,10068.771357772635,112935,7885,17454,7366,95481,519,0.4612219674180955
77,10743.53972076804,113787,7032,17787,7032,96000,0,0.45660974774391455
78,9505.50447870216,112031,8881,17870,7042,94161,1839,0.4520436502664754
79,10524.511230465594,114065,6721,18167,6619,95898,102,0.44752321376381066
80,10091.390772462875,113449,7418,17934,6933,95515,485,0.44304798162617254
81,10521.114019084242,113869,7095,17882,7082,95987,13,0.4386175018099108
82,10157.049473360494,112874,7824,17679,7019,95195,805,0.4342313267918117
83,10738.168877276288,114164,6776,18252,6688,95912,88,0.4298890135238936
84,10679.108331361806,113847,6976,18088,6735,95759,241,0.42559012338865465
85,10036.36173461279,113107,7662,18055,6714,95052,948,0.4213342221547681
86,11322.927423836647,114078,6798,18091,6785,95987,13,0.41712087993322045
87,11208.557672141333,114601,6287,18601,6287,96000,0,0.41294967113388825
88,11156.553891528132,114557,6286,18615,6228,95942,58,0.40882017442254937
89,10761.273415054347,114342,6540,18745,6137,95597,403,0.4047319726783239
90,10933.683030778318,114146,6548,18730,5964,95416,584,0.40068465295154065
91,10357.66741630175,113708,7093,18214,6587,95494,506,0.39667780642202527
92,11459.553375378195,114655,6027,18700,5982,95955,45,0.392711028357805
93,11210.986532134964,114398,6352,18872,5878,95526,474,0.38878391807422696
94,11563.270248464994,114998,5829,18998,5829,96000,0,0.3848960788934847
95,11140.623332623984,114928,5941,18928,5941,96000,0,0.38104711810454983
96,10790.881135641914,113976,6891,18486,6381,95490,510,0.37723664692350434
97,10758.088920173006,114225,6705,18601,6329,95624,376,0.37346428045426927
98,11237.546104055378,114766,6286,18766,6286,96000,0,0.36972963764972655
99,11463.853381641444,115091,5770,19091,5770,96000,0,0.36603234127322926
100,11486.047964939264,115348,5491,19393,5446,95955,45,0.36237201786049694
101,10951.582477651293,114556,6258,18690,6124,95866,134,0.358748297681892
102,11191.395118926084,114854,6012,18980,5886,95874,126,0.35516081470507305
103,11485.093954169972,114988,5810,19017,5781,95971,29,0.3516092065580223
104,10568.603734112847,114670,6095,19309,5456,95361,639,0.34809311449244207
105,10628.136591741715,114338,6539,18451,6426,95887,113,0.34461218334751764
106,11279.384317759685,114859,6067,18859,6067,96000,0,0.34116606151404244
107,12124.569678427413,115453,5357,19453,5357,96000,0,0.337754400898902
108,11982.620128271166,115418,5479,19418,5479,96000,0,0.334376856889913
109,11287.32070945968,115242,5601,19268,5575,95974,26,0.33103308832101386
110,9099.460650085393,111595,9411,18710,6296,92885,3115,0.3277227574378037
111,11187.401116793579,114821,6129,18939,6011,95882,118,0.3244455298634257
112,11058.091989949196,114900,5890,19184,5606,95716,284,0.3212010745647914
113,11440.340845157378,115300,5520,19398,5422,95902,98,0.3179890638191435
114,11972.998752902897,115403,5467,19471,5399,95932,68,0.31480917318095203
115,12039.730853909527,115895,5022,19895,5022,96000,0,0.3116610814491425
116,12028.346230458623,115398,5500,19398,5500,96000,0,0.30854447063465107
117,12057.372686345798,115978,4876,19978,4876,96000,0,0.30545902592830454
118,11526.315795205128,115924,4758,20082,4600,95842,158,0.3024044356690215
119,12076.591431879995,116016,4958,20016,4958,96000,0,0.29938039131233124
120,11002.674996454616,114623,6162,19726,5059,94897,1103,0.2963865873992079
121,12005.286733451772,115774,5051,19774,5051,96000,0,0.29342272152521587
122,10798.593478218876,114513,6375,19509,5379,95004,996,0.2904884943099637
123,11859.37502893397,115602,5320,19602,5320,96000,0,0.28758360936686406
124,11795.626235174906,115725,5154,19770,5109,95955,45,0.2847077732731954
125,11723.201988951354,115560,5222,19695,5087,95865,135,0.28186069554046345
126,11667.36864650226,115695,5034,19695,5034,96000,0,0.2790420885850588
127,11453.217390228749,115050,5820,19735,5135,95315,685,0.2762516676992082
128,10900.19269367812,114486,6202,19751,4937,94735,1265,0.27348915102221616
129,10981.731494558795,114428,6375,19623,5180,94805,1195,0.270754259511994
