episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
0,7132.834112900619,109154,11712,13154,11712,96000,0,36.91035446479183,0.985
1,6662.744310996537,109107,11716,13107,11716,96000,0,36.364149589277545,0.970225
2,7002.775627719781,109381,11564,13381,11564,96000,0,36.64576680780564,0.955671625
3,6868.350740277504,109356,11559,13356,11559,96000,0,36.70865095510207,0.941336550625
4,6907.673681078457,109549,11285,13549,11285,96000,0,36.67607564329982,0.927216502365625
5,7258.749799011482,109474,11206,13474,11206,96000,0,36.794501898345565,0.9133082548301407
6,6834.699955667192,109389,11454,13389,11454,96000,0,36.323288763755734,0.8996086310076885
7,7461.241025599917,109784,11040,13784,11040,96000,0,36.83883841855415,0.8861145015425732
8,7532.8200171529015,109818,10999,13818,10999,96000,0,36.92922727379433,0.8728227840194346
9,7044.72120461202,109647,11261,13647,11261,96000,0,36.96242100753201,0.8597304422591431
10,6965.651477338434,109589,11121,13589,11121,96000,0,36.67975801126258,0.8468344856252559
11,7200.257429603865,109925,10927,13925,10927,96000,0,36.82542800777278,0.834131968340877
12,7574.860593847237,110138,10624,14138,10624,96000,0,36.794043937179474,0.8216199888157638
13,7612.636304369975,110213,10525,14213,10525,96000,0,36.89816557868578,0.8092956889835273
14,7416.628239582059,110446,10394,14446,10394,96000,0,36.862272110769595,0.7971562536487744
15,7414.592181110054,110591,10174,14591,10174,96000,0,37.07819774114712,0.7851989098440427
16,7236.6580478038495,110409,10542,14409,10542,96000,0,36.61255939074335,0.773420926196382
17,7475.425489337928,110848,10033,14848,10033,96000,0,36.89020016178549,0.7618196123034363
18,7542.010151813428,110708,10152,14708,10152,96000,0,37.009342034407766,0.7503923181188847
19,7809.856591491617,110937,9871,14937,9871,96000,0,37.33669406005279,0.7391364333471014
20,7335.239052522747,110873,10010,14873,10010,96000,0,36.85752719350221,0.7280493868468949
21,7920.131678751363,111333,9518,15333,9518,96000,0,37.48256862936785,0.7171286460441915
22,8049.395055274863,111485,9268,15485,9268,96000,0,37.13517126675722,0.7063717163535286
23,8241.389860838539,111389,9476,15389,9476,96000,0,37.308536330644564,0.6957761406082257
24,7590.272537048381,111094,9668,15094,9668,96000,0,36.864491795683165,0.6853394984991023
25,7800.371917117369,111794,9213,15794,9213,96000,0,37.03497700954177,0.6750594060216157
26,8123.941820532081,111656,9219,15656,9219,96000,0,37.384165591673614,0.6649335149312915
27,8312.785427843437,111940,8900,15940,8900,96000,0,37.40362515324822,0.6549595122073221
28,7984.463921846474,111819,9162,15819,9162,96000,0,36.97433705612067,0.6451351195242122
29,8047.160485514422,111977,8767,15977,8767,96000,0,37.577109567241706,0.635458092731349
30,8481.710018906106,112257,8513,16257,8513,96000,0,37.427642034928596,0.6259262213403788
31,8333.412396730575,111967,8676,15967,8676,96000,0,37.43369569413821,0.6165373280202731
32,8197.565396296486,112233,8459,16233,8459,96000,0,37.147234800204224,0.607289268099969
33,8397.284437616672,112334,8486,16334,8486,96000,0,37.41407413022929,0.5981799290784694
34,8880.75961027413,112478,8239,16478,8239,96000,0,37.844620942056174,0.5892072301422924
35,8262.602497768346,112521,8437,16521,8437,96000,0,37.29843772153449,0.580369121690158
36,8300.075044303148,112629,8271,16629,8271,96000,0,37.09155649225873,0.5716635848648056
37,8386.979397134372,112474,8396,16474,8396,96000,0,37.425372357443464,0.5630886310918335
38,8645.61220173342,112683,8085,16683,8085,96000,0,37.511059764418924,0.554642301625456
39,8187.447875125716,112401,8518,16401,8518,96000,0,37.27256921221356,0.5463226671010741
40,8406.04669686897,112914,7895,16914,7895,96000,0,37.233682516698096,0.538127827094558
41,8949.299480664406,112247,8668,16247,8668,96000,0,37.315665592416124,0.5300559096881396
42,8649.6783242032,112874,8011,16874,8011,96000,0,37.415854372826054,0.5221050710428176
43,8564.507605017248,112770,7919,16770,7919,96000,0,37.4844138885887,0.5142734949771753
44,9024.43661325091,112995,7769,16995,7769,96000,0,37.74601467027935,0.5065593925525177
45,8316.131586797963,112704,8158,16704,8158,96000,0,37.22616630121924,0.4989610016642299
46,8721.759224284053,113290,7539,17290,7539,96000,0,37.6229014628182,0.49147658663926647
47,8857.332556884801,113234,7662,17234,7662,96000,0,37.756968949859875,0.48410443783967744
48,8840.874455855997,113202,7522,17202,7522,96000,0,37.5270942974873,0.47684287127208225
49,8884.286947586877,113455,7461,17455,7461,96000,0,37.79960726582647,0.469690228203001
50,8840.921753499379,113673,7384,17673,7384,96000,0,37.60482610476061,0.462644874779956
51,8841.673671921511,113243,7581,17243,7581,96000,0,37.53475544904912,0.4557052016582566
52,8837.479201855107,113599,7257,17599,7257,96000,0,37.48969137326913,0.4488696236333828
53,9311.112482088414,113514,7255,17514,7255,96000,0,37.95059898230045,0.44213657927888206
54,9340.409406917172,113673,7262,17673,7262,96000,0,37.94550738465947,0.43550453058969885
55,8863.074949169826,113977,6780,17977,6780,96000,0,37.78571755238973,0.42897196263085335
56,9047.353593171163,113529,7378,17529,7378,96000,0,37.78247746182592,0.42253738319139056
57,9316.419565436534,113923,6873,17923,6873,96000,0,37.65022027777608,0.4161993224435197
58,9071.278245505522,113976,6962,17976,6962,96000,0,37.926648878883825,0.4099563326068669
59,9070.220866144044,114061,6763,18061,6763,96000,0,38.043357719901884,0.4038069876177639
60,9335.1317401655,114392,6365,18392,6365,96000,0,37.87328103320977,0.39774988280349743
61,9198.96656707305,113943,6983,17943,6983,96000,0,37.78822618544521,0.391783634561445
62,9692.653361286806,114642,6312,18642,6312,96000,0,37.906302376905,0.3859068800430233
63,9055.020086129542,114109,6606,18109,6606,96000,0,37.631885603949,0.380118276842378
64,9669.38756043469,114313,6614,18313,6614,96000,0,38.03777686370769,0.3744165026897423
65,8912.069278991085,113443,7290,17443,7290,96000,0,37.57834994467335,0.3688002551493962
66,9149.458707826961,114379,6460,18379,6460,96000,0,37.75360647213702,0.36326825132215523
67,9516.37597968972,114412,6333,18412,6333,96000,0,37.827577523451744,0.3578192275523229
68,9560.030452799343,113965,6752,17965,6752,96000,0,37.76501207410757,0.35245193913903805
69,9513.592971067459,114776,5959,18776,5959,96000,0,38.10509874168514,0.34716516005195247
70,9191.87164568649,113978,6830,17978,6830,96000,0,37.578481708416135,0.34195768265117316
71,9529.983165084064,114764,6125,18764,6125,96000,0,37.97552372065054,0.33682831741140556
72,9282.979461972871,114591,6305,18591,6305,96000,0,37.98735504591215,0.3317758926502345
73,9948.116930875927,114725,6093,18725,6093,96000,0,38.19471444145293,0.32679925426048095
74,9684.46816253407,114627,6341,18627,6341,96000,0,38.039485403389406,0.3218972654465737
75,10022.735536122962,114989,5985,18989,5985,96000,0,38.18552276550937,0.3170688064648751
76,9378.94583056264,113736,7041,17736,7041,96000,0,37.79015237495092,0.312312774367902
