episode,total_reward,cache_hits,cache_misses,enhanced_layer_cache_hits,enhanced_layer_cache_misses,base_layer_cache_hits,base_layer_cache_misses,average_psnr,epsilon
0,6927.524017307859,109112,11691,13112,11691,96000,0,36.33417637849368,0.985
1,6461.597256686125,109181,11705,13181,11705,96000,0,36.39767371148665,0.970225
2,6838.089373718496,109718,11170,13718,11170,96000,0,36.36586421560897,0.955671625
3,7269.661864034806,109543,11266,13543,11266,96000,0,36.691715632316914,0.941336550625
4,6686.679044487941,109293,11379,13293,11379,96000,0,36.25450344489342,0.927216502365625
5,6507.933054919797,109475,11309,13475,11309,96000,0,36.12624751332356,0.9133082548301407
6,6709.002721951363,109765,11031,13765,11031,96000,0,36.39254804055977,0.8996086310076885
7,7032.243749646821,109537,11278,13537,11278,96000,0,36.36212064888668,0.8861145015425732
8,6750.325960832519,109779,11192,13779,11192,96000,0,36.43540390647164,0.8728227840194346
9,7187.574248284195,110095,10656,14095,10656,96000,0,36.46619233979069,0.8597304422591431
10,6798.208726204293,109780,11046,13780,11046,96000,0,36.529040883902454,0.8468344856252559
11,7032.9585105580145,110100,10825,14100,10825,96000,0,36.36797972001079,0.834131968340877
12,6883.7238394693495,109988,10964,13988,10964,96000,0,36.52843119372605,0.8216199888157638
13,7135.974529081675,109946,10778,13946,10778,96000,0,36.699368766574345,0.8092956889835273
14,7212.777266621376,110800,10173,14800,10173,96000,0,36.69215469495558,0.7971562536487744
15,7552.39458539095,110552,10276,14552,10276,96000,0,36.70625481170848,0.7851989098440427
16,7081.005302713054,110503,10360,14503,10360,96000,0,36.38947643115731,0.773420926196382
17,7294.082318879427,110735,10047,14735,10047,96000,0,36.82398909856483,0.7618196123034363
18,7728.912768601199,111109,9629,15109,9629,96000,0,37.084482853173284,0.7503923181188847
19,7684.163092591533,110793,9897,14793,9897,96000,0,36.52130773260879,0.7391364333471014
20,7509.774450012961,110500,10399,14500,10399,96000,0,36.531687186193345,0.7280493868468949
21,7277.771055117234,110906,9944,14906,9944,96000,0,36.45300545274342,0.7171286460441915
22,7536.186278675353,111424,9431,15424,9431,96000,0,36.864350198087095,0.7063717163535286
23,8214.269302392633,111796,9069,15796,9069,96000,0,36.92085319726118,0.6957761406082257
24,8146.249808387413,111460,9266,15460,9266,96000,0,36.88585445895564,0.6853394984991023
25,7561.541428869164,111215,9653,15215,9653,96000,0,36.80936714084167,0.6750594060216157
26,7606.578832387646,111353,9573,15353,9573,96000,0,36.91505643745535,0.6649335149312915
27,8145.394528172575,111919,8991,15919,8991,96000,0,36.97362104646001,0.6549595122073221
28,7993.413758864894,111790,9076,15790,9076,96000,0,36.825664918860426,0.6451351195242122
29,7742.757086970952,111568,9245,15568,9245,96000,0,36.69690822327779,0.635458092731349
30,8220.344649874905,112472,8361,16472,8361,96000,0,37.25877299255147,0.6259262213403788
31,7748.580002049769,111584,9359,15584,9359,96000,0,36.88589410424045,0.6165373280202731
32,7620.217359182624,111937,8917,15937,8917,96000,0,36.97176187613875,0.607289268099969
33,8219.661523527,112378,8379,16378,8379,96000,0,37.27593458472538,0.5981799290784694
34,8097.362477627896,112138,8739,16138,8739,96000,0,37.15683755680817,0.5892072301422924
35,8576.738756453658,112417,8356,16417,8356,96000,0,37.08087297005701,0.580369121690158
36,8351.663621452577,112511,8287,16511,8287,96000,0,37.086425370237315,0.5716635848648056
37,8364.528136928344,112386,8359,16386,8359,96000,0,37.336621532683075,0.5630886310918335
38,8204.321839023341,112529,8233,16529,8233,96000,0,37.07075693319747,0.554642301625456
39,8879.490037668244,113075,7814,17075,7814,96000,0,37.44585844190549,0.5463226671010741
40,8499.384459901146,112854,7834,16854,7834,96000,0,37.30938181519067,0.538127827094558
41,8276.493874100179,113027,7884,17027,7884,96000,0,37.18372891747893,0.5300559096881396
42,8075.121732136613,112829,8013,16829,8013,96000,0,37.07506518266537,0.5221050710428176
43,8429.530565255804,112807,8021,16807,8021,96000,0,37.0673428220695,0.5142734949771753
44,8559.140869277488,113177,7808,17177,7808,96000,0,37.31886764014492,0.5065593925525177
45,8190.096621854608,112762,8158,16762,8158,96000,0,36.86900346733206,0.4989610016642299
46,8414.00728288811,113019,7911,17019,7911,96000,0,37.2172116509913,0.49147658663926647
47,8597.598684128616,112958,7695,16958,7695,96000,0,37.421347710480404,0.48410443783967744
48,9278.582424858685,113862,6989,17862,6989,96000,0,37.49021728381222,0.47684287127208225
49,8254.077788382003,113080,7854,17080,7854,96000,0,37.003961294192145,0.469690228203001
50,8776.418026247635,113791,7038,17791,7038,96000,0,37.51214704696954,0.462644874779956
51,8184.1460848210745,112814,7945,16814,7945,96000,0,37.10640357081569,0.4557052016582566
52,8523.082887323108,113531,7517,17531,7517,96000,0,37.27858205081846,0.4488696236333828
53,8553.86351571719,113524,7331,17524,7331,96000,0,37.39298536249454,0.44213657927888206
54,8807.314061114104,113475,7228,17475,7228,96000,0,37.14433472576332,0.43550453058969885
55,9048.19979784975,113777,6984,17777,6984,96000,0,37.51364799981668,0.42897196263085335
56,8874.462237188083,113819,6889,17819,6889,96000,0,37.451370171521596,0.42253738319139056
57,8952.204329651897,113945,6778,17945,6778,96000,0,37.6081960148458,0.4161993224435197
58,8550.614931545664,113885,7005,17885,7005,96000,0,37.17724866398319,0.4099563326068669
59,8953.763562426768,114353,6318,18353,6318,96000,0,37.387581026686426,0.4038069876177639
60,8584.021270919699,113723,6974,17723,6974,96000,0,37.517414005493976,0.39774988280349743
61,8941.691177405546,114043,6662,18043,6662,96000,0,37.50149434454689,0.391783634561445
62,9475.692781580381,114128,6747,18128,6747,96000,0,37.70384308944798,0.3859068800430233
63,9531.586541368091,113816,6923,17816,6923,96000,0,37.45607627683261,0.380118276842378
64,8612.763367945676,113368,7425,17368,7425,96000,0,37.360719532748824,0.3744165026897423
65,9166.32513132821,114677,6333,18677,6333,96000,0,37.45924634954877,0.3688002551493962
66,8873.830175245635,114387,6391,18387,6391,96000,0,37.54910472183118,0.36326825132215523
67,9285.245810170305,114574,6118,18574,6118,96000,0,37.54917840990921,0.3578192275523229
68,9236.742263993012,114051,6650,18051,6650,96000,0,37.61096805336314,0.35245193913903805
69,8798.841320453124,114100,6873,18100,6873,96000,0,37.40949591030547,0.34716516005195247
70,8757.195700014998,114381,6566,18381,6566,96000,0,37.47005259769037,0.34195768265117316
71,8656.25498852717,114077,6863,18077,6863,96000,0,37.554729794964,0.33682831741140556
72,9036.8642857912,113638,7190,17638,7190,96000,0,37.47674258933201,0.3317758926502345
73,8858.797294740261,114302,6442,18302,6442,96000,0,37.64582252280052,0.32679925426048095
74,9740.482746777798,114877,5966,18877,5966,96000,0,37.53226862964994,0.3218972654465737
75,8826.615771311052,114118,6688,18118,6688,96000,0,37.33935776969795,0.3170688064648751
76,8905.259876654327,114192,6685,18192,6685,96000,0,37.260322864295745,0.312312774367902
77,9204.112567598086,114577,6168,18577,6168,96000,0,37.482435748083965,0.30762808275238346
78,9009.660467878723,114661,6293,18661,6293,96000,0,37.41995455353272,0.3030136615110977
79,9487.664638348717,115382,5456,19382,5456,96000,0,38.00775818222009,0.29846845658843124
80,8883.556241023245,114496,6429,18496,6429,96000,0,37.627416637810335,0.2939914297396048
81,8980.817777009708,114257,6523,18257,6523,96000,0,37.63138563852599,0.28958155829351073
82,9332.794894554094,114984,5869,18984,5869,96000,0,37.73966371186162,0.2852378349191081
83,9244.950045300087,114845,6066,18845,6066,96000,0,37.64653343909634,0.28095926739532145
84,9139.368738358851,114248,6648,18248,6648,96000,0,37.6697934867369,0.2767448783843916
85,8934.959184700152,114751,6079,18751,6079,96000,0,37.89030617388147,0.27259370520862575
86,9574.216893804674,114732,6104,18732,6104,96000,0,37.53322749896924,0.26850479963049634
87,9220.835795012581,114395,6368,18395,6368,96000,0,37.47151161931705,0.26447722763603887
