episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,1573087.5,42553,53431,0.0,0.9901,0.0010000000
1,1426107.5,39009,56975,0.0,0.9802,0.0010000000
2,1397505.0,38511,57473,0.0,0.9705,0.0010000000
3,1453455.0,39433,56551,0.0,0.9608,0.0010000000
4,1465892.5,39833,56151,0.0,0.9513,0.0010000000
5,1468310.0,39958,56026,0.0,0.9418,0.0010000000
6,1498950.0,40918,55066,0.0,0.9325,0.0010000000
7,1512060.0,40790,55194,0.0,0.9232,0.0010000000
8,1361442.5,37685,58299,0.0,0.914,0.0010000000
9,1422415.0,38678,57306,0.0,0.905,0.0010000000
10,1477482.5,40047,55937,0.0,0.896,0.0010000000
11,1468005.0,40443,55541,0.0,0.8871,0.0010000000
12,1459515.0,39767,56217,0.0,0.8783,0.0010000000
13,1629690.0,44114,51870,0.0,0.8695,0.0010000000
14,1359165.0,37015,58969,0.0,0.8609,0.0010000000
15,1271820.0,34906,61078,0.0,0.8523,0.0010000000
16,1488975.0,40143,55841,0.0,0.8439,0.0010000000
17,1333257.5,36779,59205,0.0,0.8355,0.0010000000
18,1281732.5,35387,60597,0.0,0.8272,0.0010000000
19,1455597.5,39528,56456,0.0,0.819,0.0010000000
20,1336815.0,36799,59185,0.0,0.8108,0.0010000000
21,1500747.5,40827,55157,0.0,0.8028,0.0010000000
22,1414685.0,38514,57470,0.0,0.7948,0.0010000000
23,1559520.0,42467,53517,0.0,0.7869,0.0010000000
24,1471587.5,40344,55640,0.0,0.7791,0.0010000000
25,1406025.0,38655,57329,0.0,0.7713,0.0010000000
26,1588180.0,42896,53088,0.0,0.7637,0.0010000000
27,1473902.5,40086,55898,0.0,0.7561,0.0010000000
28,1508305.0,40806,55178,0.0,0.7486,0.0010000000
29,1354697.5,37104,58880,0.0,0.7411,0.0010000000
30,1508602.5,41194,54790,0.0,0.7338,0.0010000000
31,1383945.0,38208,57776,0.0,0.7265,0.0010000000
32,1552665.0,42169,53815,0.0,0.7193,0.0010000000
33,1393485.0,38378,57606,0.0,0.7121,0.0010000000
34,1535907.5,41990,53994,0.0,0.705,0.0010000000
35,1550970.0,42369,53615,0.0,0.698,0.0010000000
36,1308627.5,35743,60241,0.0,0.6911,0.0010000000
37,1454452.5,39388,56596,0.0,0.6842,0.0010000000
38,1335142.5,36599,59385,0.0,0.6774,0.0010000000
39,1474927.5,40086,55898,0.0,0.6707,0.0010000000
40,1350000.0,37032,58952,0.0,0.664,0.0010000000
41,1528215.0,42296,53688,0.0,0.6574,0.0010000000
42,1369257.5,37796,58188,0.0,0.6509,0.0010000000
43,1377070.0,37478,58506,0.0,0.6444,0.0010000000
44,1396155.0,38381,57603,0.0,0.638,0.0010000000
45,1350375.0,36749,59235,0.0,0.6317,0.0010000000
46,1585085.0,43479,52505,0.0,0.6254,0.0010000000
47,1442315.0,39509,56475,0.0,0.6192,0.0010000000
48,1515820.0,41821,54163,0.0,0.6131,0.0010000000
49,1612655.0,43833,52151,0.0,0.607,0.0010000000
50,1597607.5,43448,52536,0.0,0.6009,0.0010000000
51,1755757.5,47024,48960,0.0,0.595,0.0010000000
52,1507597.5,40992,54992,0.0,0.589,0.0010000000
53,1458632.5,40109,55875,0.0,0.5832,0.0010000000
54,1535482.5,41727,54257,0.0,0.5774,0.0010000000
55,1354842.5,37381,58603,0.0,0.5717,0.0010000000
56,1427180.0,39008,56976,0.0,0.566,0.0010000000
57,1540350.0,41657,54327,0.0,0.5604,0.0010000000
58,1563485.0,42617,53367,0.0,0.5548,0.0010000000
59,1410570.0,39022,56962,0.0,0.5493,0.0010000000
60,1420612.5,38299,57685,0.0,0.5438,0.0010000000
61,1400162.5,38611,57373,0.0,0.5384,0.0010000000
62,1560545.0,42221,53763,0.0,0.5331,0.0010000000
63,1361905.0,37160,58824,0.0,0.5278,0.0010000000
64,1527760.0,41329,54655,0.0,0.5225,0.0010000000
65,1258160.0,34578,61406,0.0,0.5173,0.0010000000
66,1509102.5,41264,54720,0.0,0.5122,0.0010000000
67,1473087.5,40011,55973,0.0,0.5071,0.0010000000
68,1357370.0,37550,58434,0.0,0.5021,0.0010000000
69,1452940.0,39375,56609,0.0,0.4971,0.0010000000
70,1488787.5,40203,55781,0.0,0.4921,0.0010000000
71,1459660.0,40397,55587,0.0,0.4873,0.0010000000
72,1473715.0,40134,55850,0.0,0.4824,0.0010000000
73,1446587.5,39415,56569,0.0,0.4776,0.0010000000
74,1372117.5,37853,58131,0.0,0.4729,0.0010000000
75,1384005.0,37799,58185,0.0,0.4682,0.0010000000
76,1371762.5,37779,58205,0.0,0.4635,0.0010000000
77,1370700.0,37718,58266,0.0,0.4589,0.0010000000
78,1420927.5,38213,57771,0.0,0.4544,0.0010000000
79,1465440.0,39680,56304,0.0,0.4498,0.0010000000
80,1531080.0,41251,54733,0.0,0.4454,0.0010000000
81,1644337.5,44563,51421,0.0,0.4409,0.0010000000
82,1456287.5,39808,56176,0.0,0.4366,0.0010000000
83,1364950.0,37715,58269,0.0,0.4322,0.0010000000
84,1400847.5,38810,57174,0.0,0.4279,0.0010000000
85,1324362.5,36830,59154,0.0,0.4237,0.0010000000
86,1324822.5,36206,59778,0.0,0.4195,0.0010000000
87,1519062.5,41345,54639,0.0,0.4153,0.0010000000
88,1513660.0,40780,55204,0.0,0.4112,0.0010000000
89,1444152.5,39380,56604,0.0,0.4071,0.0010000000
90,1332825.0,36456,59528,0.0,0.403,0.0010000000
91,1439690.0,39246,56738,0.0,0.399,0.0010000000
92,1443680.0,39041,56943,0.0,0.3951,0.0010000000
93,1402882.5,38223,57761,0.0,0.3912,0.0010000000
94,1323625.0,36371,59613,0.0,0.3873,0.0010000000
95,1585025.0,42774,53210,0.0,0.3834,0.0010000000
96,1476365.0,40443,55541,0.0,0.3796,0.0010000000
97,1495465.0,40610,55374,0.0,0.3758,0.0010000000
98,1347105.0,37285,58699,0.0,0.3721,0.0010000000
99,1403902.5,38041,57943,0.0,0.3684,0.0010000000
100,1361002.5,37528,58456,0.0,0.3647,0.0010000000
101,1361450.0,37669,58315,0.0,0.3611,0.0010000000
102,1477307.5,40173,55811,0.0,0.3575,0.0010000000
103,1346440.0,37398,58586,0.0,0.354,0.0010000000
104,1440695.0,39175,56809,0.0,0.3505,0.0010000000
105,1263580.0,34706,61278,0.0,0.347,0.0010000000
106,1319467.5,36655,59329,0.0,0.3435,0.0010000000
107,1405335.0,37941,58043,0.0,0.3401,0.0010000000
108,1275985.0,35599,60385,0.0,0.3367,0.0010000000
109,1490045.0,41203,54781,0.0,0.3334,0.0010000000
110,1370012.5,37281,58703,0.0,0.3301,0.0010000000
111,1281065.0,35305,60679,0.0,0.3268,0.0010000000
112,1718277.5,46018,49966,0.0,0.3236,0.0010000000
113,1377537.5,37943,58041,0.0,0.3203,0.0010000000
114,1561675.0,42365,53619,0.0,0.3172,0.0010000000
115,1514997.5,41114,54870,0.0,0.314,0.0010000000
116,1478845.0,40471,55513,0.0,0.3109,0.0010000000
117,1340700.0,37301,58683,0.0,0.3078,0.0010000000
118,1399802.5,39101,56883,0.0,0.3047,0.0010000000
119,1509537.5,41730,54254,0.0,0.3017,0.0010000000
120,1481427.5,40504,55480,0.0,0.2987,0.0010000000
121,1320285.0,36375,59609,0.0,0.2957,0.0010000000
122,1511625.0,41092,54892,0.0,0.2928,0.0010000000
123,1290655.0,36078,59906,0.0,0.2899,0.0010000000
124,1274077.5,35223,60761,0.0,0.287,0.0010000000
125,1396312.5,38410,57574,0.0,0.2842,0.0010000000
126,1388752.5,38459,57525,0.0,0.2813,0.0010000000
127,1479785.0,39643,56341,0.0,0.2785,0.0010000000
128,1427472.5,39423,56561,0.0,0.2758,0.0010000000
129,1475297.5,40322,55662,0.0,0.273,0.0010000000
130,1443457.5,39245,56739,0.0,0.2703,0.0010000000
131,1371962.5,37412,58572,0.0,0.2676,0.0010000000
132,1301745.0,35813,60171,0.0,0.265,0.0010000000
