episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,1542197.5,41834,54150,0.0,0.9901,0.0009881606
1,1555262.5,41683,54301,0.0,0.9802,0.0009763832
2,1601845.0,43261,52723,0.0,0.9705,0.0009647462
3,1427260.0,38952,57032,0.0,0.9608,0.0009532479
4,1459660.0,39617,56367,0.0,0.9513,0.0009418867
5,1432020.0,39266,56718,0.0,0.9418,0.0009306608
6,1523332.5,41336,54648,0.0,0.9325,0.0009195688
7,1277437.5,35500,60484,0.0,0.9232,0.0009086089
8,1455927.5,39454,56530,0.0,0.914,0.0008977797
9,1528005.0,41625,54359,0.0,0.905,0.0008870796
10,1703842.5,45933,50051,0.0,0.896,0.0008765069
11,1473217.5,40132,55852,0.0,0.8871,0.0008660603
12,1483465.0,40860,55124,0.0,0.8783,0.0008557382
13,1302437.5,35969,60015,0.0,0.8695,0.0008455391
14,1455655.0,39582,56402,0.0,0.8609,0.0008354616
15,1507057.5,41033,54951,0.0,0.8523,0.0008255042
16,1520362.5,41302,54682,0.0,0.8439,0.0008156654
17,1384885.0,38006,57978,0.0,0.8355,0.0008059440
18,1495585.0,41110,54874,0.0,0.8272,0.0007963383
19,1328295.0,36997,58987,0.0,0.819,0.0007868472
20,1321747.5,36581,59403,0.0,0.8108,0.0007774692
21,1566930.0,42598,53386,0.0,0.8028,0.0007682030
22,1399620.0,38163,57821,0.0,0.7948,0.0007590472
23,1502625.0,41711,54273,0.0,0.7869,0.0007500005
24,1495235.0,40746,55238,0.0,0.7791,0.0007410616
25,1373510.0,37283,58701,0.0,0.7713,0.0007322293
26,1303677.5,36148,59836,0.0,0.7637,0.0007235023
27,1419615.0,39000,56984,0.0,0.7561,0.0007148792
28,1484745.0,40987,54997,0.0,0.7486,0.0007063590
29,1398292.5,38116,57868,0.0,0.7411,0.0006979402
30,1416457.5,39207,56777,0.0,0.7338,0.0006896219
31,1398612.5,38681,57303,0.0,0.7265,0.0006814026
32,1514810.0,41109,54875,0.0,0.7193,0.0006732814
33,1375000.0,36970,59014,0.0,0.7121,0.0006652569
34,1393887.5,37932,58052,0.0,0.705,0.0006573280
35,1591322.5,43382,52602,0.0,0.698,0.0006494937
36,1405367.5,38367,57617,0.0,0.6911,0.0006417527
37,1339105.0,36762,59222,0.0,0.6842,0.0006341040
38,1477645.0,40497,55487,0.0,0.6774,0.0006265465
39,1480830.0,40582,55402,0.0,0.6707,0.0006190790
40,1461162.5,40027,55957,0.0,0.664,0.0006117005
41,1331165.0,36757,59227,0.0,0.6574,0.0006044100
42,1468837.5,40158,55826,0.0,0.6509,0.0005972064
43,1513557.5,41192,54792,0.0,0.6444,0.0005900886
44,1463287.5,39617,56367,0.0,0.638,0.0005830556
45,1515747.5,41448,54536,0.0,0.6317,0.0005761065
46,1436845.0,39662,56322,0.0,0.6254,0.0005692402
47,1355225.0,37410,58574,0.0,0.6192,0.0005624557
48,1328355.0,36477,59507,0.0,0.6131,0.0005557521
49,1472332.5,40398,55586,0.0,0.607,0.0005491284
