episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,18576.83,50373,45611,0.0,0.9901,0.0010000000
1,21107.98,56450,39534,0.0,0.9802,0.0010000000
2,20632.17,55514,40470,0.0,0.9705,0.0010000000
3,20612.15,55665,40319,0.0,0.9608,0.0010000000
4,22008.2,58911,37073,0.0,0.9513,0.0010000000
5,20133.1,54303,41681,0.0,0.9418,0.0010000000
6,20688.77,55284,40700,0.0,0.9325,0.0010000000
7,18324.7,49553,46431,0.0,0.9232,0.0010000000
8,20761.37,55515,40469,0.0,0.914,0.0010000000
9,21954.08,58784,37200,0.0,0.905,0.0010000000
10,19562.05,52592,43392,0.0,0.896,0.0010000000
11,20735.83,55957,40027,0.0,0.8871,0.0010000000
12,20606.85,55494,40490,0.0,0.8783,0.0010000000
13,21154.0,57062,38922,0.0,0.8695,0.0010000000
14,19913.15,53694,42290,0.0,0.8609,0.0010000000
15,22049.08,58865,37119,0.0,0.8523,0.0010000000
16,18861.3,50776,45208,0.0,0.8439,0.0010000000
17,20859.77,56342,39642,0.0,0.8355,0.0010000000
18,20997.65,56963,39021,0.0,0.8272,0.0010000000
19,19755.12,53612,42372,0.0,0.819,0.0010000000
20,20513.57,55111,40873,0.0,0.8108,0.0010000000
21,22579.6,60652,35332,0.0,0.8028,0.0010000000
22,20340.85,55108,40876,0.0,0.7948,0.0010000000
23,20322.77,54893,41091,0.0,0.7869,0.0010000000
24,22554.78,60492,35492,0.0,0.7791,0.0010000000
25,20579.87,55136,40848,0.0,0.7713,0.0010000000
26,18714.35,51006,44978,0.0,0.7637,0.0010000000
27,20111.37,54647,41337,0.0,0.7561,0.0010000000
28,21017.87,56464,39520,0.0,0.7486,0.0010000000
29,20297.65,54565,41419,0.0,0.7411,0.0010000000
30,22207.2,59686,36298,0.0,0.7338,0.0010000000
31,21018.6,56394,39590,0.0,0.7265,0.0010000000
32,20791.67,55726,40258,0.0,0.7193,0.0010000000
33,19474.77,52677,43307,0.0,0.7121,0.0010000000
34,19701.18,52894,43090,0.0,0.705,0.0010000000
35,20208.27,54200,41784,0.0,0.698,0.0010000000
36,21518.3,57543,38441,0.0,0.6911,0.0010000000
37,19089.92,51747,44237,0.0,0.6842,0.0010000000
38,21554.83,57536,38448,0.0,0.6774,0.0010000000
39,19949.45,54254,41730,0.0,0.6707,0.0010000000
40,22005.42,59289,36695,0.0,0.664,0.0010000000
41,21906.1,58607,37377,0.0,0.6574,0.0010000000
42,20613.92,55333,40651,0.0,0.6509,0.0010000000
43,20427.17,55262,40722,0.0,0.6444,0.0010000000
44,18656.3,50520,45464,0.0,0.638,0.0010000000
45,19708.2,53219,42765,0.0,0.6317,0.0010000000
46,19983.52,53941,42043,0.0,0.6254,0.0010000000
47,19663.37,53129,42855,0.0,0.6192,0.0010000000
48,19878.92,53960,42024,0.0,0.6131,0.0010000000
49,20354.37,55099,40885,0.0,0.607,0.0010000000
50,20043.65,54073,41911,0.0,0.6009,0.0010000000
51,19998.8,54001,41983,0.0,0.595,0.0010000000
52,21577.4,58120,37864,0.0,0.589,0.0010000000
53,19205.75,52277,43707,0.0,0.5832,0.0010000000
54,19431.38,53290,42694,0.0,0.5774,0.0010000000
55,19973.22,53844,42140,0.0,0.5717,0.0010000000
56,21117.07,57576,38408,0.0,0.566,0.0010000000
57,22360.2,60002,35982,0.0,0.5604,0.0010000000
58,22149.03,59625,36359,0.0,0.5548,0.0010000000
59,20783.0,56078,39906,0.0,0.5493,0.0010000000
60,21248.7,56997,38987,0.0,0.5438,0.0010000000
61,20267.45,55343,40641,0.0,0.5384,0.0010000000
62,18937.98,51790,44194,0.0,0.5331,0.0010000000
63,21152.18,56346,39638,0.0,0.5278,0.0010000000
64,21278.83,57633,38351,0.0,0.5225,0.0010000000
65,20492.65,55300,40684,0.0,0.5173,0.0010000000
66,20947.0,56427,39557,0.0,0.5122,0.0010000000
67,20754.95,55910,40074,0.0,0.5071,0.0010000000
68,20743.07,55441,40543,0.0,0.5021,0.0010000000
69,20129.92,54508,41476,0.0,0.4971,0.0010000000
70,19042.97,52114,43870,0.0,0.4921,0.0010000000
71,19638.37,53054,42930,0.0,0.4873,0.0010000000
72,20552.5,54825,41159,0.0,0.4824,0.0010000000
73,20942.0,56451,39533,0.0,0.4776,0.0010000000
74,21161.93,57254,38730,0.0,0.4729,0.0010000000
75,20239.28,54470,41514,0.0,0.4682,0.0010000000
76,21144.62,56797,39187,0.0,0.4635,0.0010000000
77,20974.47,56440,39544,0.0,0.4589,0.0010000000
78,21107.42,56174,39810,0.0,0.4544,0.0010000000
79,19865.45,53476,42508,0.0,0.4498,0.0010000000
80,19299.08,52250,43734,0.0,0.4454,0.0010000000
81,21766.9,58296,37688,0.0,0.4409,0.0010000000
82,20159.32,54140,41844,0.0,0.4366,0.0010000000
83,22762.82,61033,34951,0.0,0.4322,0.0010000000
84,20731.15,55738,40246,0.0,0.4279,0.0010000000
85,21728.18,58353,37631,0.0,0.4237,0.0010000000
86,19790.1,53506,42478,0.0,0.4195,0.0010000000
87,20104.55,54641,41343,0.0,0.4153,0.0010000000
88,20534.87,55282,40702,0.0,0.4112,0.0010000000
89,20752.88,56149,39835,0.0,0.4071,0.0010000000
90,20602.22,55791,40193,0.0,0.403,0.0010000000
91,20438.7,55884,40100,0.0,0.399,0.0010000000
92,21386.35,56880,39104,0.0,0.3951,0.0010000000
93,19679.68,52898,43086,0.0,0.3912,0.0010000000
94,20622.25,56008,39976,0.0,0.3873,0.0010000000
95,20862.35,55914,40070,0.0,0.3834,0.0010000000
96,19723.85,53829,42155,0.0,0.3796,0.0010000000
97,19543.47,52453,43531,0.0,0.3758,0.0010000000
98,19558.03,53846,42138,0.0,0.3721,0.0010000000
99,20980.35,56080,39904,0.0,0.3684,0.0010000000
100,18944.32,52812,43172,0.0,0.3647,0.0010000000
101,19504.53,52553,43431,0.0,0.3611,0.0010000000
102,21200.15,56823,39161,0.0,0.3575,0.0010000000
103,19442.0,52202,43782,0.0,0.354,0.0010000000
104,19421.12,53334,42650,0.0,0.3505,0.0010000000
105,19990.35,54759,41225,0.0,0.347,0.0010000000
106,19409.07,53025,42959,0.0,0.3435,0.0010000000
