episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,21017.15,56494,39490,0.0,0.9901,0.0009941171
1,19494.0,52693,43291,0.0,0.9802,0.0009882688
2,21945.6,58565,37419,0.0,0.9705,0.0009824549
3,18610.32,50685,45299,0.0,0.9608,0.0009766751
4,19660.3,53259,42725,0.0,0.9513,0.0009709294
5,21170.4,56863,39121,0.0,0.9418,0.0009652175
6,19631.67,53094,42890,0.0,0.9325,0.0009595392
7,21265.35,57075,38909,0.0,0.9232,0.0009538943
8,20411.82,55073,40911,0.0,0.914,0.0009482827
9,19842.45,53179,42805,0.0,0.905,0.0009427040
10,19308.62,52228,43756,0.0,0.896,0.0009371581
11,20223.78,54033,41951,0.0,0.8871,0.0009316449
12,21289.75,57146,38838,0.0,0.8783,0.0009261641
13,20108.12,54339,41645,0.0,0.8695,0.0009207156
14,19517.22,52814,43170,0.0,0.8609,0.0009152991
15,20854.17,55919,40065,0.0,0.8523,0.0009099144
16,19029.35,50886,45098,0.0,0.8439,0.0009045615
17,20423.13,54795,41189,0.0,0.8355,0.0008992400
18,19952.42,54073,41911,0.0,0.8272,0.0008939498
19,21234.85,57264,38720,0.0,0.819,0.0008886908
20,21786.9,58762,37222,0.0,0.8108,0.0008834627
21,21220.92,56922,39062,0.0,0.8028,0.0008782654
22,19690.37,52936,43048,0.0,0.7948,0.0008730986
23,21143.47,56807,39177,0.0,0.7869,0.0008679622
24,19541.1,52722,43262,0.0,0.7791,0.0008628561
25,20272.05,54281,41703,0.0,0.7713,0.0008577800
26,19785.77,53598,42386,0.0,0.7637,0.0008527337
27,19379.65,52090,43894,0.0,0.7561,0.0008477171
28,20876.7,55855,40129,0.0,0.7486,0.0008427301
29,22682.6,60675,35309,0.0,0.7411,0.0008377724
30,19993.72,54445,41539,0.0,0.7338,0.0008328438
31,21244.98,57131,38853,0.0,0.7265,0.0008279443
32,20404.78,55029,40955,0.0,0.7193,0.0008230735
33,19637.5,52319,43665,0.0,0.7121,0.0008182315
34,19819.17,53557,42427,0.0,0.705,0.0008134179
35,20821.05,55877,40107,0.0,0.698,0.0008086326
36,20899.75,56671,39313,0.0,0.6911,0.0008038755
37,19669.97,53014,42970,0.0,0.6842,0.0007991463
38,20346.93,54875,41109,0.0,0.6774,0.0007944450
39,20512.17,54842,41142,0.0,0.6707,0.0007897714
40,20794.95,55479,40505,0.0,0.664,0.0007851252
41,19499.4,52398,43586,0.0,0.6574,0.0007805064
42,21179.85,57144,38840,0.0,0.6509,0.0007759147
43,21354.6,57233,38751,0.0,0.6444,0.0007713501
44,21087.87,56722,39262,0.0,0.638,0.0007668123
45,20448.55,55037,40947,0.0,0.6317,0.0007623012
46,19501.98,52914,43070,0.0,0.6254,0.0007578166
47,22109.17,59178,36806,0.0,0.6192,0.0007533584
48,19813.28,53693,42291,0.0,0.6131,0.0007489265
49,21604.52,58048,37936,0.0,0.607,0.0007445206
50,19795.1,53288,42696,0.0,0.6009,0.0007401406
51,21255.42,57087,38897,0.0,0.595,0.0007357865
52,20364.05,54318,41666,0.0,0.589,0.0007314579
53,21414.3,57439,38545,0.0,0.5832,0.0007271548
54,19341.22,52302,43682,0.0,0.5774,0.0007228770
55,20798.07,56017,39967,0.0,0.5717,0.0007186243
56,20528.95,54918,41066,0.0,0.566,0.0007143967
57,21007.4,56392,39592,0.0,0.5604,0.0007101940
58,20616.82,55052,40932,0.0,0.5548,0.0007060160
59,21000.32,56607,39377,0.0,0.5493,0.0007018625
60,21205.02,57041,38943,0.0,0.5438,0.0006977335
61,21643.17,58133,37851,0.0,0.5384,0.0006936288
62,20581.15,55448,40536,0.0,0.5331,0.0006895483
63,20188.92,54400,41584,0.0,0.5278,0.0006854917
64,19845.02,53675,42309,0.0,0.5225,0.0006814590
65,20759.02,55466,40518,0.0,0.5173,0.0006774500
66,21367.4,56997,38987,0.0,0.5122,0.0006734647
67,20836.55,56323,39661,0.0,0.5071,0.0006695027
68,20000.17,53973,42011,0.0,0.5021,0.0006655641
69,20415.37,55012,40972,0.0,0.4971,0.0006616486
70,21854.42,58332,37652,0.0,0.4921,0.0006577562
71,18429.12,50376,45608,0.0,0.4873,0.0006538867
72,20126.03,54544,41440,0.0,0.4824,0.0006500399
73,20166.07,53840,42144,0.0,0.4776,0.0006462158
74,21315.97,57458,38526,0.0,0.4729,0.0006424141
75,20077.77,53590,42394,0.0,0.4682,0.0006386349
76,20621.92,55331,40653,0.0,0.4635,0.0006348778
77,19926.5,54379,41605,0.0,0.4589,0.0006311429
78,18653.62,50415,45569,0.0,0.4544,0.0006274299
79,20668.72,55517,40467,0.0,0.4498,0.0006237388
