episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,80255,14237,6637.91666666648
1,0.0,77232,17288,6385.999999999815
2,0.0,84402,10050,6983.499999999744
3,0.0,82902,11562,6858.499999999812
4,0.0,78992,15512,6532.666666666481
5,0.0,81349,13131,6729.083333333118
6,0.0,84642,9806,7003.4999999997435
7,0.0,80078,14414,6623.166666666486
8,0.0,79911,14565,6609.249999999819
9,0.0,82221,12247,6801.749999999802
10,0.0,78876,15624,6522.999999999832
11,0.0,77563,16953,6413.583333333145
12,0.0,82796,11668,6849.666666666455
13,0.0,81482,12994,6740.166666666435
14,0.0,86047,8389,7120.583333333084
15,0.0,77988,16508,6448.999999999823
16,0.0,78861,15643,6521.749999999795
17,0.0,86727,7701,7177.249999999739
18,0.0,80694,13790,6674.4999999997935
19,0.0,81632,12844,6752.66666666647
20,0.0,80490,13994,6657.499999999802
21,0.0,86863,7561,7188.583333333063
22,0.0,77417,17099,6401.416666666485
23,0.0,78658,15846,6504.833333333155
24,0.0,81022,13462,6701.833333333118
25,0.0,84828,9620,7018.999999999718
26,0.0,81306,13162,6725.499999999772
27,0.0,83873,10563,6939.416666666412
28,0.0,85244,9200,7053.666666666415
29,0.0,79366,15130,6563.833333333164
30,0.0,81253,13227,6721.083333333105
31,0.0,85318,9122,7059.833333333135
32,0.0,85236,9208,7052.999999999747
33,0.0,81643,12837,6753.583333333115
34,0.0,83670,10786,6922.499999999761
35,0.0,81797,12679,6766.416666666455
36,0.0,79241,15259,6553.416666666465
37,0.0,79190,15310,6549.166666666467
38,0.0,84331,10089,6977.583333333084
39,0.0,82488,11980,6823.999999999789
40,0.0,85421,9019,7068.4166666663905
41,0.0,82291,12177,6807.583333333127
42,0.0,75858,18674,6271.499999999826
43,0.0,77147,17373,6378.916666666498
44,0.0,77138,17382,6378.166666666482
45,0.0,81569,12907,6747.416666666464
46,0.0,77456,17060,6404.6666666664805
47,0.0,82918,11542,6859.833333333106
48,0.0,81421,13043,6735.083333333131
49,0.0,80201,14287,6633.416666666469
50,0.0,79220,15280,6551.666666666453
51,0.0,80272,14216,6639.333333333125
52,0.0,79540,14956,6578.333333333147
53,0.0,77819,16693,6434.9166666665105
54,0.0,79970,14522,6614.16666666645
55,0.0,77902,16606,6441.833333333173
56,0.0,78702,15802,6508.499999999795
57,0.0,83558,10902,6913.166666666431
58,0.0,82499,11969,6824.916666666443
59,0.0,83274,11186,6889.499999999764
60,0.0,86542,7890,7161.83333333305
61,0.0,81369,13111,6730.7499999997635
62,0.0,82545,11923,6828.749999999783
63,0.0,79349,15151,6562.416666666467
64,0.0,82616,11848,6834.6666666664605
65,0.0,83173,11287,6881.083333333114
66,0.0,84065,10387,6955.416666666414
67,0.0,77122,17382,6376.833333333148
68,0.0,81531,12949,6744.249999999772
69,0.0,86670,7762,7172.499999999722
70,0.0,82094,12378,6791.1666666664205
71,0.0,83090,11370,6874.166666666425
72,0.0,85204,9224,7050.333333333083
73,0.0,74203,20345,6133.583333333183
74,0.0,80783,13701,6681.916666666505
75,0.0,79409,15091,6567.4166666664705
76,0.0,85115,9329,7042.916666666416
77,0.0,80650,13834,6670.833333333117
78,0.0,85012,9428,7034.333333333084
79,0.0,78474,16030,6489.499999999815
80,0.0,82170,12302,6797.499999999803
81,0.0,83254,11206,6887.833333333085
82,0.0,84277,10175,6973.083333333105
83,0.0,88832,5572,7352.6666666664205
84,0.0,80155,14337,6629.583333333145
85,0.0,79441,15055,6570.083333333139
86,0.0,80827,13661,6685.583333333126
87,0.0,84214,10242,6967.833333333077
88,0.0,83737,10719,6928.083333333123
89,0.0,84194,10254,6966.1666666664505
90,0.0,81129,13351,6710.749999999816
91,0.0,84146,10306,6962.166666666435
92,0.0,81235,13245,6719.583333333131
93,0.0,85787,8649,7098.916666666421
94,0.0,85524,8916,7076.999999999719
95,0.0,79166,15334,6547.166666666501
96,0.0,79888,14608,6607.333333333113
97,0.0,81185,13295,6715.416666666482
98,0.0,85580,8860,7081.666666666419
99,0.0,81547,12929,6745.583333333107
episode,total_reward,cache_hits,cache_misses,soft_hits
