episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,23470.92,151833,20103,0.0,,
1,25706.17,156362,16534,0.0,,
2,24997.32,141760,13184,0.0,,
3,28661.05,142536,12888,0.0,,
4,26870.0,145642,12966,0.0,,
5,27939.63,148114,13134,0.0,,
6,25681.19,141616,12336,0.0,,
7,28424.08,156422,13706,0.0,,
8,25503.84,147333,12411,0.0,,
9,24037.95,160636,14516,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,-6.405e+17,0,0,0.0,,
1,-6.39625e+17,0,0,0.0,,
2,-6.37e+17,0,0,0.0,,
3,-6.195e+17,0,0,0.0,,
4,-5.46e+17,0,0,0.0,,
5,-6.27375e+17,0,0,0.0,,
6,-7.51625e+17,0,0,0.0,,
7,-6.685e+17,0,0,0.0,,
8,-6.72e+17,0,0,0.0,,
9,-5.83625e+17,0,0,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,-4.600996211527295e+17,0,0,0.0,,
1,-3.86707058266155e+17,0,0,0.0,,
2,-4.1935068600385664e+17,0,0,0.0,,
3,-4.729398955622476e+17,0,0,0.0,,
4,-4.179128294819723e+17,0,0,0.0,,
5,-3.931324055045896e+17,0,0,0.0,,
6,-4.201486033488507e+17,0,0,0.0,,
7,-3.9349307912933594e+17,0,0,0.0,,
8,-4.2718530206645734e+17,0,0,0.0,,
9,-4.099903483747951e+17,0,0,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,-3.8816073027247597e+17,153745,13599,0.0,,
1,-4.147513627859906e+17,147163,11781,0.0,,
2,-3.8399007335032403e+17,156387,13437,0.0,,
3,-4.388038746670559e+17,158113,13487,0.0,,
4,-4.1024628114475494e+17,155672,13800,0.0,,
5,-4.404111730427628e+17,147632,12256,0.0,,
6,-4.077797321434812e+17,148489,12391,0.0,,
7,-4.074575281383941e+17,147532,12612,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,-5.008677292439295e+17,151507,12253,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,24208.53,153381,13163,0.0,,
1,23837.11,144825,12679,0.0,,
2,25149.77,149866,12790,0.0,,
3,26368.76,156252,13556,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,24802.56,149773,26419,0.0,,
1,25756.87,148940,25828,0.0,,
2,25265.49,144825,25687,0.0,,
3,21881.01,153515,29093,0.0,,
4,26142.73,139661,25299,0.0,,
5,23497.31,150299,28053,0.0,,
episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,25027.09,156860,26564,0.0,,
