episode,total_reward,cache_hits,cache_misses,soft_hits
0,0.0,85494,9690,7098.249999999881
1,0.0,85810,9374,7124.5833333332075
2,0.0,85529,9655,7101.9166666665
3,0.0,85681,9503,7113.333333333168
4,0.0,85487,9697,7097.166666666538
5,0.0,85498,9686,7098.333333333173
6,0.0,86024,9160,7141.916666666494
7,0.0,85140,10044,7070.249999999817
8,0.0,85345,9839,7085.58333333318
9,0.0,85975,9209,7137.333333333195
10,0.0,85533,9651,7101.249999999837
11,0.0,85757,9427,7121.416666666475
12,0.0,85308,9876,7083.499999999852
13,0.0,86388,8780,7173.249999999817
14,0.0,85279,9905,7080.583333333175
15,0.0,85822,9346,7125.83333333322
16,0.0,85795,9389,7124.083333333184
17,0.0,85302,9882,7079.9999999998345
18,0.0,85205,9979,7072.666666666518
19,0.0,85538,9646,7102.416666666501
20,0.0,85302,9882,7080.9999999998345
21,0.0,85300,9884,7081.583333333216
22,0.0,84875,10309,7048.4166666665205
23,0.0,85433,9751,7094.6666666664905
24,0.0,85586,9582,7107.166666666482
25,0.0,85924,9260,7135.083333333199
26,0.0,84359,10825,7005.916666666525
27,0.0,85647,9537,7111.749999999865
28,0.0,85268,9916,7078.666666666538
29,0.0,85032,10152,7060.999999999884
30,0.0,86055,9129,7145.999999999852
31,0.0,85528,9656,7098.333333333217
32,0.0,85507,9677,7098.333333333184
33,0.0,85266,9918,7077.999999999888
34,0.0,85974,9210,7138.4999999998445
35,0.0,85811,9373,7124.916666666489
36,0.0,85110,10074,7067.749999999856
37,0.0,85753,9431,7119.583333333213
38,0.0,85805,9379,7125.166666666479
39,0.0,85740,9444,7118.749999999841
40,0.0,85733,9451,7118.166666666494
41,0.0,85359,9825,7085.249999999869
42,0.0,85394,9790,7090.916666666512
43,0.0,85110,10074,7064.749999999849
44,0.0,85276,9908,7080.833333333198
45,0.0,83907,11277,6968.249999999862
46,0.0,85015,10169,7059.833333333175
47,0.0,82266,12918,6832.749999999843
48,0.0,85785,9399,7123.749999999846
49,0.0,85252,9932,7078.583333333203
50,0.0,85378,9806,7089.333333333156
51,0.0,85581,9603,7104.499999999855
52,0.0,83732,11452,6953.9166666665315
53,0.0,86479,8705,7179.583333333162
54,0.0,85498,9686,7100.083333333175
55,0.0,85674,9510,7111.249999999858
56,0.0,85581,9603,7106.499999999847
57,0.0,86025,9159,7143.749999999841
58,0.0,85611,9573,7106.999999999892
59,0.0,86090,9094,7149.166666666511
60,0.0,85418,9766,7091.91666666653
61,0.0,85456,9712,7093.833333333198
62,0.0,85324,9860,7085.083333333159
63,0.0,85086,10098,7065.749999999859
64,0.0,84350,10834,7004.91666666652
65,0.0,85294,9890,7080.333333333199
66,0.0,85436,9748,7092.166666666541
67,0.0,85861,9307,7128.833333333174
68,0.0,85758,9426,7121.499999999864
69,0.0,83734,11434,6954.333333333163
70,0.0,85111,10073,7063.833333333212
71,0.0,85324,9860,7085.333333333184
72,0.0,85587,9597,7105.999999999839
73,0.0,85287,9897,7082.499999999847
74,0.0,85629,9555,7109.249999999829
75,0.0,85528,9656,7101.833333333183
76,0.0,85516,9668,7099.083333333175
77,0.0,85633,9551,7111.083333333167
78,0.0,85651,9533,7111.333333333194
79,0.0,85745,9439,7118.166666666526
80,0.0,85574,9610,7104.916666666487
81,0.0,83422,11762,6928.333333333181
82,0.0,85451,9733,7093.166666666546
83,0.0,85649,9535,7111.666666666503
84,0.0,85971,9213,7138.499999999836
85,0.0,85646,9538,7110.666666666564
86,0.0,84795,10389,7041.749999999891
87,0.0,84153,11031,6989.249999999833
88,0.0,86108,9060,7150.66666666651
89,0.0,81798,13386,6794.249999999865
90,0.0,85036,10116,7057.333333333208
91,0.0,84945,10239,7050.499999999872
92,0.0,84806,10362,7043.166666666479
93,0.0,84946,10238,7054.333333333173
94,0.0,86136,9048,7151.2499999998145
95,0.0,85615,9569,7108.83333333315
96,0.0,82984,12200,6892.083333333207
97,0.0,85844,9340,7126.666666666501
98,0.0,85186,9998,7074.08333333319
99,0.0,85608,9576,7107.999999999856
