episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,1953897.5,52841,43143,0.0,0.9901,0.0010000000
1,2043572.5,55100,40884,0.0,0.9802,0.0010000000
2,1870480.0,51133,44851,0.0,0.9705,0.0010000000
3,1799055.0,48848,47136,0.0,0.9608,0.0010000000
4,1937615.0,52317,43667,0.0,0.9513,0.0010000000
5,1857147.5,50535,45449,0.0,0.9418,0.0010000000
6,2044997.5,54896,41088,0.0,0.9325,0.0010000000
7,1982185.0,53570,42414,0.0,0.9232,0.0010000000
8,2133170.0,57258,38726,0.0,0.914,0.0010000000
9,2074805.0,55473,40511,0.0,0.905,0.0010000000
10,1978630.0,53163,42821,0.0,0.896,0.0010000000
11,2148465.0,57560,38424,0.0,0.8871,0.0010000000
12,2146527.5,57469,38515,0.0,0.8783,0.0010000000
13,1961200.0,52904,43080,0.0,0.8695,0.0010000000
14,2111190.0,56800,39184,0.0,0.8609,0.0010000000
15,1968067.5,53431,42553,0.0,0.8523,0.0010000000
16,2030962.5,54874,41110,0.0,0.8439,0.0010000000
17,1982092.5,53231,42753,0.0,0.8355,0.0010000000
18,2019192.5,54605,41379,0.0,0.8272,0.0010000000
19,2006037.5,54048,41936,0.0,0.819,0.0010000000
20,2173070.0,58377,37607,0.0,0.8108,0.0010000000
21,1898490.0,51418,44566,0.0,0.8028,0.0010000000
22,2026987.5,54621,41363,0.0,0.7948,0.0010000000
23,2041617.5,54914,41070,0.0,0.7869,0.0010000000
24,2103852.5,56548,39436,0.0,0.7791,0.0010000000
25,1921265.0,51764,44220,0.0,0.7713,0.0010000000
26,2028857.5,54828,41156,0.0,0.7637,0.0010000000
27,2028175.0,54905,41079,0.0,0.7561,0.0010000000
28,1930472.5,52183,43801,0.0,0.7486,0.0010000000
29,2012252.5,54409,41575,0.0,0.7411,0.0010000000
30,2099032.5,56562,39422,0.0,0.7338,0.0010000000
31,1982625.0,53319,42665,0.0,0.7265,0.0010000000
32,2138320.0,57053,38931,0.0,0.7193,0.0010000000
33,1861735.0,50601,45383,0.0,0.7121,0.0010000000
34,2049305.0,54716,41268,0.0,0.705,0.0010000000
35,2031052.5,54595,41389,0.0,0.698,0.0010000000
36,2053587.5,55065,40919,0.0,0.6911,0.0010000000
37,2022155.0,54250,41734,0.0,0.6842,0.0010000000
38,2097380.0,56127,39857,0.0,0.6774,0.0010000000
39,2169902.5,57831,38153,0.0,0.6707,0.0010000000
40,1953242.5,52549,43435,0.0,0.664,0.0010000000
41,2052022.5,55076,40908,0.0,0.6574,0.0010000000
42,2020562.5,54392,41592,0.0,0.6509,0.0010000000
43,2166535.0,57848,38136,0.0,0.6444,0.0010000000
44,2110882.5,56422,39562,0.0,0.638,0.0010000000
45,2005890.0,54722,41262,0.0,0.6317,0.0010000000
46,1974650.0,53738,42246,0.0,0.6254,0.0010000000
47,2035805.0,55107,40877,0.0,0.6192,0.0010000000
48,2062615.0,55970,40014,0.0,0.6131,0.0010000000
49,1914382.5,51484,44500,0.0,0.607,0.0010000000
50,1933225.0,52172,43812,0.0,0.6009,0.0010000000
51,2081605.0,55706,40278,0.0,0.595,0.0010000000
52,2065655.0,55918,40066,0.0,0.589,0.0010000000
53,2087927.5,56591,39393,0.0,0.5832,0.0010000000
54,2045382.5,55538,40446,0.0,0.5774,0.0010000000
55,2246062.5,60165,35819,0.0,0.5717,0.0010000000
56,1985125.0,53490,42494,0.0,0.566,0.0010000000
57,2046385.0,55301,40683,0.0,0.5604,0.0010000000
58,2075395.0,55451,40533,0.0,0.5548,0.0010000000
59,1939782.5,52004,43980,0.0,0.5493,0.0010000000
60,1908712.5,51857,44127,0.0,0.5438,0.0010000000
61,1995275.0,53539,42445,0.0,0.5384,0.0010000000
62,2159797.5,57504,38480,0.0,0.5331,0.0010000000
63,2110695.0,56289,39695,0.0,0.5278,0.0010000000
64,2123757.5,56587,39397,0.0,0.5225,0.0010000000
65,2040827.5,54750,41234,0.0,0.5173,0.0010000000
66,2105120.0,56327,39657,0.0,0.5122,0.0010000000
67,2175220.0,57781,38203,0.0,0.5071,0.0010000000
68,1983532.5,53072,42912,0.0,0.5021,0.0010000000
69,2146317.5,57478,38506,0.0,0.4971,0.0010000000
70,2153145.0,57584,38400,0.0,0.4921,0.0010000000
71,1995127.5,53926,42058,0.0,0.4873,0.0010000000
72,1971687.5,53457,42527,0.0,0.4824,0.0010000000
73,1960040.0,52528,43456,0.0,0.4776,0.0010000000
74,1982850.0,53119,42865,0.0,0.4729,0.0010000000
75,2106275.0,56391,39593,0.0,0.4682,0.0010000000
76,1999082.5,53310,42674,0.0,0.4635,0.0010000000
77,2034012.5,54605,41379,0.0,0.4589,0.0010000000
78,2008680.0,53883,42101,0.0,0.4544,0.0010000000
79,1978335.0,53082,42902,0.0,0.4498,0.0010000000
80,2066235.0,55423,40561,0.0,0.4454,0.0010000000
81,1959265.0,52402,43582,0.0,0.4409,0.0010000000
82,2110462.5,56411,39573,0.0,0.4366,0.0010000000
83,1786240.0,48087,47897,0.0,0.4322,0.0010000000
84,2035402.5,54303,41681,0.0,0.4279,0.0010000000
85,2230000.0,59018,36966,0.0,0.4237,0.0010000000
86,2065927.5,55174,40810,0.0,0.4195,0.0010000000
87,2000117.5,53878,42106,0.0,0.4153,0.0010000000
88,2181685.0,58349,37635,0.0,0.4112,0.0010000000
89,1945962.5,52758,43226,0.0,0.4071,0.0010000000
90,2047782.5,55013,40971,0.0,0.403,0.0010000000
91,2013810.0,54389,41595,0.0,0.399,0.0010000000
92,2041877.5,54402,41582,0.0,0.3951,0.0010000000
93,2137992.5,57836,38148,0.0,0.3912,0.0010000000
94,1822145.0,50319,45665,0.0,0.3873,0.0010000000
95,1943590.0,52265,43719,0.0,0.3834,0.0010000000
96,1815415.0,49131,46853,0.0,0.3796,0.0010000000
97,2108300.0,55866,40118,0.0,0.3758,0.0010000000
98,1970647.5,52828,43156,0.0,0.3721,0.0010000000
99,2235752.5,59800,36184,0.0,0.3684,0.0010000000
100,2095035.0,56224,39760,0.0,0.3647,0.0010000000
101,1948572.5,52293,43691,0.0,0.3611,0.0010000000
102,2215810.0,59189,36795,0.0,0.3575,0.0010000000
103,2027125.0,54929,41055,0.0,0.354,0.0010000000
104,1856767.5,49772,46212,0.0,0.3505,0.0010000000
105,1928315.0,52273,43711,0.0,0.347,0.0010000000
106,2193885.0,58342,37642,0.0,0.3435,0.0010000000
107,1849455.0,50005,45979,0.0,0.3401,0.0010000000
108,2077922.5,55250,40734,0.0,0.3367,0.0010000000
109,2058027.5,55335,40649,0.0,0.3334,0.0010000000
110,2051452.5,54866,41118,0.0,0.3301,0.0010000000
111,1984220.0,53506,42478,0.0,0.3268,0.0010000000
112,1928962.5,52184,43800,0.0,0.3236,0.0010000000
113,1939327.5,52381,43603,0.0,0.3203,0.0010000000
114,2121322.5,57197,38787,0.0,0.3172,0.0010000000
115,2173572.5,58595,37389,0.0,0.314,0.0010000000
116,2022300.0,54311,41673,0.0,0.3109,0.0010000000
117,2001012.5,53322,42662,0.0,0.3078,0.0010000000
118,2005847.5,54014,41970,0.0,0.3047,0.0010000000
119,2083047.5,55591,40393,0.0,0.3017,0.0010000000
120,2188532.5,58446,37538,0.0,0.2987,0.0010000000
121,2192662.5,58916,37068,0.0,0.2957,0.0010000000
122,2199390.0,59009,36975,0.0,0.2928,0.0010000000
123,2104167.5,56428,39556,0.0,0.2899,0.0010000000
124,1994195.0,53380,42604,0.0,0.287,0.0010000000
125,2226820.0,59031,36953,0.0,0.2842,0.0010000000
126,1988967.5,53488,42496,0.0,0.2813,0.0010000000
127,2028042.5,54510,41474,0.0,0.2785,0.0010000000
128,1948380.0,52742,43242,0.0,0.2758,0.0010000000
129,1896157.5,51501,44483,0.0,0.273,0.0010000000
130,1942105.0,52129,43855,0.0,0.2703,0.0010000000
131,2162460.0,58176,37808,0.0,0.2676,0.0010000000
132,2023177.5,53932,42052,0.0,0.265,0.0010000000
133,2094912.5,56047,39937,0.0,0.2623,0.0010000000
134,1964762.5,52832,43152,0.0,0.2597,0.0010000000
135,2110812.5,56123,39861,0.0,0.2572,0.0010000000
136,2186622.5,58423,37561,0.0,0.2546,0.0010000000
137,2027982.5,54529,41455,0.0,0.2521,0.0010000000
138,2268907.5,59964,36020,0.0,0.2496,0.0010000000
139,2006635.0,53553,42431,0.0,0.2471,0.0010000000
140,2107547.5,56763,39221,0.0,0.2446,0.0010000000
141,1933660.0,52773,43211,0.0,0.2422,0.0010000000
142,2028420.0,54562,41422,0.0,0.2398,0.0010000000
143,1983385.0,53322,42662,0.0,0.2374,0.0010000000
144,2061017.5,54918,41066,0.0,0.2351,0.0010000000
145,2071502.5,55228,40756,0.0,0.2327,0.0010000000
146,1923115.0,52781,43203,0.0,0.2304,0.0010000000
147,1952395.0,53954,42030,0.0,0.2281,0.0010000000
148,2076125.0,55481,40503,0.0,0.2259,0.0010000000
149,2057645.0,55528,40456,0.0,0.2236,0.0010000000
150,2216685.0,58999,36985,0.0,0.2214,0.0010000000
151,1930587.5,51879,44105,0.0,0.2192,0.0010000000
152,2092067.5,55487,40497,0.0,0.217,0.0010000000
153,1976207.5,53072,42912,0.0,0.2149,0.0010000000
154,2140800.0,56862,39122,0.0,0.2127,0.0010000000
155,2029402.5,54328,41656,0.0,0.2106,0.0010000000
156,2012182.5,54242,41742,0.0,0.2085,0.0010000000
157,1913012.5,51525,44459,0.0,0.2064,0.0010000000
158,2043747.5,54997,40987,0.0,0.2044,0.0010000000
159,2128650.0,56695,39289,0.0,0.2024,0.0010000000
