episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,2008585.0,54331,41653,0.0,0.9901,0.0009941171
1,2111042.5,56870,39114,0.0,0.9802,0.0009882688
2,2092140.0,56234,39750,0.0,0.9705,0.0009824549
3,1877720.0,50699,45285,0.0,0.9608,0.0009766751
4,2014442.5,54418,41566,0.0,0.9513,0.0009709294
5,2184720.0,58260,37724,0.0,0.9418,0.0009652175
6,2077837.5,55519,40465,0.0,0.9325,0.0009595392
7,2046450.0,55002,40982,0.0,0.9232,0.0009538943
8,1999755.0,53954,42030,0.0,0.914,0.0009482827
9,1949202.5,52800,43184,0.0,0.905,0.0009427040
10,2069790.0,55534,40450,0.0,0.896,0.0009371581
11,2104970.0,56135,39849,0.0,0.8871,0.0009316449
12,2298597.5,61160,34824,0.0,0.8783,0.0009261641
13,2018487.5,54409,41575,0.0,0.8695,0.0009207156
14,2052695.0,55175,40809,0.0,0.8609,0.0009152991
15,2079930.0,56003,39981,0.0,0.8523,0.0009099144
16,2031412.5,54771,41213,0.0,0.8439,0.0009045615
17,2074135.0,55670,40314,0.0,0.8355,0.0008992400
18,2020145.0,54584,41400,0.0,0.8272,0.0008939498
19,1990895.0,53660,42324,0.0,0.819,0.0008886908
20,2043097.5,55167,40817,0.0,0.8108,0.0008834627
21,1961655.0,53269,42715,0.0,0.8028,0.0008782654
22,2041370.0,55271,40713,0.0,0.7948,0.0008730986
23,1923245.0,52170,43814,0.0,0.7869,0.0008679622
24,2109455.0,56683,39301,0.0,0.7791,0.0008628561
25,2115377.5,56551,39433,0.0,0.7713,0.0008577800
26,1860312.5,50311,45673,0.0,0.7637,0.0008527337
27,2139540.0,57676,38308,0.0,0.7561,0.0008477171
28,2047367.5,55362,40622,0.0,0.7486,0.0008427301
29,2089950.0,56205,39779,0.0,0.7411,0.0008377724
30,2192447.5,58292,37692,0.0,0.7338,0.0008328438
31,2046780.0,54717,41267,0.0,0.7265,0.0008279443
32,2121852.5,56797,39187,0.0,0.7193,0.0008230735
33,2063047.5,55442,40542,0.0,0.7121,0.0008182315
34,1988482.5,53351,42633,0.0,0.705,0.0008134179
35,2001972.5,53937,42047,0.0,0.698,0.0008086326
36,1913137.5,51495,44489,0.0,0.6911,0.0008038755
37,2151725.0,57470,38514,0.0,0.6842,0.0007991463
38,2088672.5,56009,39975,0.0,0.6774,0.0007944450
39,2048900.0,54889,41095,0.0,0.6707,0.0007897714
40,2132752.5,56922,39062,0.0,0.664,0.0007851252
41,2177847.5,58705,37279,0.0,0.6574,0.0007805064
42,2050727.5,55498,40486,0.0,0.6509,0.0007759147
43,2105902.5,56624,39360,0.0,0.6444,0.0007713501
44,2081920.0,56204,39780,0.0,0.638,0.0007668123
45,2227632.5,59582,36402,0.0,0.6317,0.0007623012
