episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,2139100.0,57512,38472,0.0,0.9901,0.0010000000
1,1927327.5,52425,43559,0.0,0.9802,0.0010000000
2,2006852.5,53918,42066,0.0,0.9705,0.0010000000
3,2061587.5,55692,40292,0.0,0.9608,0.0010000000
4,1980422.5,53512,42472,0.0,0.9513,0.0010000000
5,2094127.5,55975,40009,0.0,0.9418,0.0010000000
6,2086007.5,56020,39964,0.0,0.9325,0.0010000000
7,2147425.0,57419,38565,0.0,0.9232,0.0010000000
8,2197477.5,58315,37669,0.0,0.914,0.0010000000
9,1974685.0,53413,42571,0.0,0.905,0.0010000000
10,2116402.5,56782,39202,0.0,0.896,0.0010000000
11,2043675.0,54941,41043,0.0,0.8871,0.0010000000
12,1940022.5,52490,43494,0.0,0.8783,0.0010000000
13,1926715.0,51839,44145,0.0,0.8695,0.0010000000
14,2223577.5,59441,36543,0.0,0.8609,0.0010000000
15,2165322.5,58009,37975,0.0,0.8523,0.0010000000
16,2048292.5,55273,40711,0.0,0.8439,0.0010000000
17,2063390.0,55578,40406,0.0,0.8355,0.0010000000
18,2127492.5,57082,38902,0.0,0.8272,0.0010000000
19,2172882.5,58104,37880,0.0,0.819,0.0010000000
20,2105217.5,56568,39416,0.0,0.8108,0.0010000000
21,1962840.0,52925,43059,0.0,0.8028,0.0010000000
22,2027042.5,54134,41850,0.0,0.7948,0.0010000000
23,2051377.5,55579,40405,0.0,0.7869,0.0010000000
24,2179862.5,58407,37577,0.0,0.7791,0.0010000000
25,2164122.5,57596,38388,0.0,0.7713,0.0010000000
26,2126070.0,56849,39135,0.0,0.7637,0.0010000000
27,2121940.0,57255,38729,0.0,0.7561,0.0010000000
28,2097805.0,56618,39366,0.0,0.7486,0.0010000000
29,1972540.0,53270,42714,0.0,0.7411,0.0010000000
30,2010012.5,54108,41876,0.0,0.7338,0.0010000000
31,2126252.5,56976,39008,0.0,0.7265,0.0010000000
32,2091520.0,56075,39909,0.0,0.7193,0.0010000000
33,2077327.5,55526,40458,0.0,0.7121,0.0010000000
34,2159972.5,58288,37696,0.0,0.705,0.0010000000
35,2180982.5,58419,37565,0.0,0.698,0.0010000000
36,2223757.5,59620,36364,0.0,0.6911,0.0010000000
37,2021900.0,53988,41996,0.0,0.6842,0.0010000000
38,2079145.0,55513,40471,0.0,0.6774,0.0010000000
39,2057160.0,54997,40987,0.0,0.6707,0.0010000000
40,1996820.0,54201,41783,0.0,0.664,0.0010000000
41,2186787.5,58462,37522,0.0,0.6574,0.0010000000
42,2035212.5,54838,41146,0.0,0.6509,0.0010000000
43,2172232.5,57874,38110,0.0,0.6444,0.0010000000
44,1974867.5,53335,42649,0.0,0.638,0.0010000000
45,2132830.0,57467,38517,0.0,0.6317,0.0010000000
46,2110082.5,56410,39574,0.0,0.6254,0.0010000000
47,2123417.5,56743,39241,0.0,0.6192,0.0010000000
48,2033010.0,54570,41414,0.0,0.6131,0.0010000000
49,1985615.0,53815,42169,0.0,0.607,0.0010000000
50,2026870.0,54177,41807,0.0,0.6009,0.0010000000
51,2250932.5,59434,36550,0.0,0.595,0.0010000000
52,2054830.0,55312,40672,0.0,0.589,0.0010000000
53,2023862.5,54375,41609,0.0,0.5832,0.0010000000
54,2081747.5,55350,40634,0.0,0.5774,0.0010000000
55,2026697.5,54525,41459,0.0,0.5717,0.0010000000
56,2112022.5,56934,39050,0.0,0.566,0.0010000000
57,2088170.0,56401,39583,0.0,0.5604,0.0010000000
58,1938432.5,52010,43974,0.0,0.5548,0.0010000000
59,2002317.5,53622,42362,0.0,0.5493,0.0010000000
60,1961370.0,52384,43600,0.0,0.5438,0.0010000000
61,2190115.0,58641,37343,0.0,0.5384,0.0010000000
62,2026482.5,54587,41397,0.0,0.5331,0.0010000000
63,2031065.0,54497,41487,0.0,0.5278,0.0010000000
