episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,1933592.5,52183,43801,0.0,0.9901,0.0009941171
1,2095585.0,56239,39745,0.0,0.9802,0.0009882688
2,2078455.0,55935,40049,0.0,0.9705,0.0009824549
3,2040042.5,55047,40937,0.0,0.9608,0.0009766751
4,2123170.0,56953,39031,0.0,0.9513,0.0009709294
5,1983647.5,53603,42381,0.0,0.9418,0.0009652175
6,2018000.0,54381,41603,0.0,0.9325,0.0009595392
7,2237960.0,59825,36159,0.0,0.9232,0.0009538943
8,1937485.0,52119,43865,0.0,0.914,0.0009482827
9,2048595.0,55238,40746,0.0,0.905,0.0009427040
10,2109067.5,56822,39162,0.0,0.896,0.0009371581
11,2178340.0,58821,37163,0.0,0.8871,0.0009316449
12,2100805.0,56632,39352,0.0,0.8783,0.0009261641
13,2016945.0,54274,41710,0.0,0.8695,0.0009207156
14,1971345.0,53073,42911,0.0,0.8609,0.0009152991
15,2094617.5,56441,39543,0.0,0.8523,0.0009099144
16,2145462.5,57502,38482,0.0,0.8439,0.0009045615
17,1903325.0,51660,44324,0.0,0.8355,0.0008992400
18,2088427.5,55771,40213,0.0,0.8272,0.0008939498
19,1965142.5,52838,43146,0.0,0.819,0.0008886908
20,1956327.5,52989,42995,0.0,0.8108,0.0008834627
21,2168842.5,57844,38140,0.0,0.8028,0.0008782654
22,2000615.0,53565,42419,0.0,0.7948,0.0008730986
23,1888140.0,50689,45295,0.0,0.7869,0.0008679622
24,1997705.0,53704,42280,0.0,0.7791,0.0008628561
25,2111600.0,56441,39543,0.0,0.7713,0.0008577800
26,1922912.5,51722,44262,0.0,0.7637,0.0008527337
27,2113957.5,56675,39309,0.0,0.7561,0.0008477171
28,1983227.5,53368,42616,0.0,0.7486,0.0008427301
29,2070325.0,55982,40002,0.0,0.7411,0.0008377724
30,2123960.0,56898,39086,0.0,0.7338,0.0008328438
31,1971090.0,53334,42650,0.0,0.7265,0.0008279443
32,2053142.5,55371,40613,0.0,0.7193,0.0008230735
33,2043360.0,55303,40681,0.0,0.7121,0.0008182315
34,2121260.0,56705,39279,0.0,0.705,0.0008134179
35,2103922.5,56277,39707,0.0,0.698,0.0008086326
36,2105875.0,56880,39104,0.0,0.6911,0.0008038755
37,2088247.5,56018,39966,0.0,0.6842,0.0007991463
38,2084605.0,56213,39771,0.0,0.6774,0.0007944450
39,2142267.5,57346,38638,0.0,0.6707,0.0007897714
40,1897297.5,51496,44488,0.0,0.664,0.0007851252
41,1884505.0,50995,44989,0.0,0.6574,0.0007805064
42,2107940.0,56556,39428,0.0,0.6509,0.0007759147
43,1882025.0,50825,45159,0.0,0.6444,0.0007713501
44,2145047.5,57866,38118,0.0,0.638,0.0007668123
45,2080720.0,55972,40012,0.0,0.6317,0.0007623012
46,2255700.0,60376,35608,0.0,0.6254,0.0007578166
47,2000432.5,53488,42496,0.0,0.6192,0.0007533584
48,2138452.5,57314,38670,0.0,0.6131,0.0007489265
49,2241087.5,59612,36372,0.0,0.607,0.0007445206
50,2137980.0,57216,38768,0.0,0.6009,0.0007401406
51,2043902.5,55005,40979,0.0,0.595,0.0007357865
52,2085830.0,55957,40027,0.0,0.589,0.0007314579
53,2118200.0,56696,39288,0.0,0.5832,0.0007271548
54,1961302.5,52882,43102,0.0,0.5774,0.0007228770
55,2201667.5,58776,37208,0.0,0.5717,0.0007186243
56,2139137.5,57036,38948,0.0,0.566,0.0007143967
57,1975055.0,53235,42749,0.0,0.5604,0.0007101940
58,2020765.0,54434,41550,0.0,0.5548,0.0007060160
