episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,2062805.0,55321,40663,0.0,0.9901,0.0009941171
1,2059422.5,55254,40730,0.0,0.9802,0.0009882688
2,2176977.5,58313,37671,0.0,0.9705,0.0009824549
3,2001685.0,53724,42260,0.0,0.9608,0.0009766751
4,1979775.0,53348,42636,0.0,0.9513,0.0009709294
5,1994307.5,53446,42538,0.0,0.9418,0.0009652175
6,2076675.0,55778,40206,0.0,0.9325,0.0009595392
7,2156307.5,58121,37863,0.0,0.9232,0.0009538943
8,2019997.5,54408,41576,0.0,0.914,0.0009482827
9,2130567.5,57205,38779,0.0,0.905,0.0009427040
10,2012667.5,54264,41720,0.0,0.896,0.0009371581
11,1988327.5,53671,42313,0.0,0.8871,0.0009316449
12,2084080.0,56511,39473,0.0,0.8783,0.0009261641
13,2100915.0,56373,39611,0.0,0.8695,0.0009207156
14,1958395.0,52881,43103,0.0,0.8609,0.0009152991
15,2019475.0,54316,41668,0.0,0.8523,0.0009099144
16,2058880.0,55719,40265,0.0,0.8439,0.0009045615
17,1758847.5,48191,47793,0.0,0.8355,0.0008992400
18,1960817.5,53005,42979,0.0,0.8272,0.0008939498
19,2054240.0,55213,40771,0.0,0.819,0.0008886908
20,1948207.5,52342,43642,0.0,0.8108,0.0008834627
21,2092497.5,56394,39590,0.0,0.8028,0.0008782654
22,2188595.0,58151,37833,0.0,0.7948,0.0008730986
23,2173112.5,58019,37965,0.0,0.7869,0.0008679622
24,2047182.5,55138,40846,0.0,0.7791,0.0008628561
25,1992517.5,53774,42210,0.0,0.7713,0.0008577800
26,2110780.0,56687,39297,0.0,0.7637,0.0008527337
27,2010582.5,54022,41962,0.0,0.7561,0.0008477171
28,2086727.5,55722,40262,0.0,0.7486,0.0008427301
29,2032370.0,54424,41560,0.0,0.7411,0.0008377724
30,1911495.0,52022,43962,0.0,0.7338,0.0008328438
31,2057122.5,55095,40889,0.0,0.7265,0.0008279443
32,2068187.5,55828,40156,0.0,0.7193,0.0008230735
33,2048840.0,54962,41022,0.0,0.7121,0.0008182315
34,2096637.5,56013,39971,0.0,0.705,0.0008134179
35,2105505.0,56525,39459,0.0,0.698,0.0008086326
36,2044925.0,54865,41119,0.0,0.6911,0.0008038755
37,2179522.5,58382,37602,0.0,0.6842,0.0007991463
38,2086520.0,56133,39851,0.0,0.6774,0.0007944450
39,1998887.5,53632,42352,0.0,0.6707,0.0007897714
40,1961482.5,53004,42980,0.0,0.664,0.0007851252
41,1899170.0,51626,44358,0.0,0.6574,0.0007805064
42,2165432.5,58021,37963,0.0,0.6509,0.0007759147
43,2009700.0,53982,42002,0.0,0.6444,0.0007713501
44,2054760.0,55083,40901,0.0,0.638,0.0007668123
45,2125777.5,57277,38707,0.0,0.6317,0.0007623012
