episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,2003365.0,53846,42138,0.0,0.9901,0.0010000000
1,1998587.5,54090,41894,0.0,0.9802,0.0010000000
2,2018325.0,54434,41550,0.0,0.9705,0.0010000000
3,1996522.5,53534,42450,0.0,0.9608,0.0010000000
4,2007502.5,53884,42100,0.0,0.9513,0.0010000000
5,2087185.0,56125,39859,0.0,0.9418,0.0010000000
6,1910745.0,52052,43932,0.0,0.9325,0.0010000000
7,2034550.0,55268,40716,0.0,0.9232,0.0010000000
8,2182777.5,58317,37667,0.0,0.914,0.0010000000
9,2022787.5,54383,41601,0.0,0.905,0.0010000000
10,1954042.5,52876,43108,0.0,0.896,0.0010000000
11,2007562.5,54006,41978,0.0,0.8871,0.0010000000
12,2061550.0,55925,40059,0.0,0.8783,0.0010000000
13,2039037.5,54779,41205,0.0,0.8695,0.0010000000
14,2128680.0,56949,39035,0.0,0.8609,0.0010000000
15,2230457.5,59887,36097,0.0,0.8523,0.0010000000
16,2077200.0,56135,39849,0.0,0.8439,0.0010000000
17,2070507.5,55850,40134,0.0,0.8355,0.0010000000
18,1924792.5,52369,43615,0.0,0.8272,0.0010000000
19,1987342.5,53475,42509,0.0,0.819,0.0010000000
20,2050300.0,55535,40449,0.0,0.8108,0.0010000000
21,1949320.0,52966,43018,0.0,0.8028,0.0010000000
22,2018275.0,54608,41376,0.0,0.7948,0.0010000000
23,2099665.0,56329,39655,0.0,0.7869,0.0010000000
24,1970130.0,53441,42543,0.0,0.7791,0.0010000000
25,2018370.0,54470,41514,0.0,0.7713,0.0010000000
26,1946065.0,52872,43112,0.0,0.7637,0.0010000000
27,1987980.0,53544,42440,0.0,0.7561,0.0010000000
28,2034457.5,54790,41194,0.0,0.7486,0.0010000000
29,2053417.5,55101,40883,0.0,0.7411,0.0010000000
30,2066115.0,55879,40105,0.0,0.7338,0.0010000000
31,2162300.0,57828,38156,0.0,0.7265,0.0010000000
32,1998295.0,54192,41792,0.0,0.7193,0.0010000000
33,2111497.5,57201,38783,0.0,0.7121,0.0010000000
34,2038630.0,54563,41421,0.0,0.705,0.0010000000
35,2012680.0,54534,41450,0.0,0.698,0.0010000000
36,2088097.5,56211,39773,0.0,0.6911,0.0010000000
37,1999600.0,53831,42153,0.0,0.6842,0.0010000000
38,2144035.0,57672,38312,0.0,0.6774,0.0010000000
39,1978860.0,53134,42850,0.0,0.6707,0.0010000000
40,1952567.5,52559,43425,0.0,0.664,0.0010000000
41,2023490.0,54900,41084,0.0,0.6574,0.0010000000
42,1979190.0,54238,41746,0.0,0.6509,0.0010000000
43,1992320.0,53665,42319,0.0,0.6444,0.0010000000
44,1923517.5,52278,43706,0.0,0.638,0.0010000000
45,1993820.0,53676,42308,0.0,0.6317,0.0010000000
46,2158542.5,57967,38017,0.0,0.6254,0.0010000000
47,2221850.0,58792,37192,0.0,0.6192,0.0010000000
48,1981355.0,53361,42623,0.0,0.6131,0.0010000000
49,2102005.0,56609,39375,0.0,0.607,0.0010000000
50,2021345.0,54878,41106,0.0,0.6009,0.0010000000
51,2076465.0,55889,40095,0.0,0.595,0.0010000000
52,1891177.5,50953,45031,0.0,0.589,0.0010000000
53,1994532.5,53832,42152,0.0,0.5832,0.0010000000
54,2100907.5,56363,39621,0.0,0.5774,0.0010000000
55,2166117.5,57990,37994,0.0,0.5717,0.0010000000
56,1886257.5,51521,44463,0.0,0.566,0.0010000000
57,1957995.0,52869,43115,0.0,0.5604,0.0010000000
58,1911022.5,52403,43581,0.0,0.5548,0.0010000000
59,2055180.0,55243,40741,0.0,0.5493,0.0010000000
60,2019950.0,54297,41687,0.0,0.5438,0.0010000000
61,2123937.5,56918,39066,0.0,0.5384,0.0010000000
62,1952830.0,52793,43191,0.0,0.5331,0.0010000000
63,2149422.5,57276,38708,0.0,0.5278,0.0010000000
64,1902745.0,51305,44679,0.0,0.5225,0.0010000000
65,2026667.5,54229,41755,0.0,0.5173,0.0010000000
66,1961282.5,52629,43355,0.0,0.5122,0.0010000000
67,2044940.0,55558,40426,0.0,0.5071,0.0010000000
68,2147992.5,57425,38559,0.0,0.5021,0.0010000000
69,1851382.5,50315,45669,0.0,0.4971,0.0010000000
70,2030925.0,54548,41436,0.0,0.4921,0.0010000000
71,2156447.5,57583,38401,0.0,0.4873,0.0010000000
72,2181425.0,58407,37577,0.0,0.4824,0.0010000000
73,1911007.5,51852,44132,0.0,0.4776,0.0010000000
74,2054237.5,55222,40762,0.0,0.4729,0.0010000000
75,1895517.5,51279,44705,0.0,0.4682,0.0010000000
76,1942860.0,53019,42965,0.0,0.4635,0.0010000000
77,1822345.0,49792,46192,0.0,0.4589,0.0010000000
78,1893527.5,51346,44638,0.0,0.4544,0.0010000000
79,2134452.5,57670,38314,0.0,0.4498,0.0010000000
80,1985237.5,53909,42075,0.0,0.4454,0.0010000000
81,1956750.0,53480,42504,0.0,0.4409,0.0010000000
82,2041015.0,54564,41420,0.0,0.4366,0.0010000000
83,1988382.5,53398,42586,0.0,0.4322,0.0010000000
84,2109310.0,56415,39569,0.0,0.4279,0.0010000000
85,2099015.0,56697,39287,0.0,0.4237,0.0010000000
86,1974472.5,53141,42843,0.0,0.4195,0.0010000000
87,2219095.0,59145,36839,0.0,0.4153,0.0010000000
88,2099335.0,56640,39344,0.0,0.4112,0.0010000000
89,2123502.5,56533,39451,0.0,0.4071,0.0010000000
90,2068507.5,55419,40565,0.0,0.403,0.0010000000
91,2145170.0,57291,38693,0.0,0.399,0.0010000000
92,2115877.5,56345,39639,0.0,0.3951,0.0010000000
93,2079937.5,55512,40472,0.0,0.3912,0.0010000000
94,2029405.0,55074,40910,0.0,0.3873,0.0010000000
95,2119530.0,57960,38024,0.0,0.3834,0.0010000000
96,1996857.5,54346,41638,0.0,0.3796,0.0010000000
97,1948405.0,53047,42937,0.0,0.3758,0.0010000000
98,2263332.5,60542,35442,0.0,0.3721,0.0010000000
99,2093895.0,57231,38753,0.0,0.3684,0.0010000000
100,2106205.0,56926,39058,0.0,0.3647,0.0010000000
101,2167347.5,58330,37654,0.0,0.3611,0.0010000000
102,1877075.0,51773,44211,0.0,0.3575,0.0010000000
103,2169790.0,58361,37623,0.0,0.354,0.0010000000
104,1857895.0,50870,45114,0.0,0.3505,0.0010000000
105,1981267.5,54698,41286,0.0,0.347,0.0010000000
106,2041470.0,55410,40574,0.0,0.3435,0.0010000000
107,1990082.5,53368,42616,0.0,0.3401,0.0010000000
108,2012357.5,54081,41903,0.0,0.3367,0.0010000000
109,2049285.0,55609,40375,0.0,0.3334,0.0010000000
110,1981395.0,53994,41990,0.0,0.3301,0.0010000000
111,1885525.0,50995,44989,0.0,0.3268,0.0010000000
112,1926442.5,51864,44120,0.0,0.3236,0.0010000000
113,2183317.5,58059,37925,0.0,0.3203,0.0010000000
114,2118620.0,57108,38876,0.0,0.3172,0.0010000000
115,1962747.5,52773,43211,0.0,0.314,0.0010000000
116,1880945.0,51392,44592,0.0,0.3109,0.0010000000
117,1821490.0,50202,45782,0.0,0.3078,0.0010000000
