episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,1965857.5,53020,42964,0.0,0.9901,0.0009941171
1,2023062.5,54996,40988,0.0,0.9802,0.0009882688
2,2227387.5,59680,36304,0.0,0.9705,0.0009824549
3,2076252.5,55515,40469,0.0,0.9608,0.0009766751
4,2095260.0,56442,39542,0.0,0.9513,0.0009709294
5,1949747.5,52538,43446,0.0,0.9418,0.0009652175
6,2050085.0,55127,40857,0.0,0.9325,0.0009595392
7,2004335.0,54024,41960,0.0,0.9232,0.0009538943
8,2020672.5,54189,41795,0.0,0.914,0.0009482827
9,2219380.0,59162,36822,0.0,0.905,0.0009427040
10,2036022.5,54333,41651,0.0,0.896,0.0009371581
11,2160660.0,57929,38055,0.0,0.8871,0.0009316449
12,2093535.0,56624,39360,0.0,0.8783,0.0009261641
13,2112692.5,56419,39565,0.0,0.8695,0.0009207156
14,2007080.0,53926,42058,0.0,0.8609,0.0009152991
15,1951967.5,52658,43326,0.0,0.8523,0.0009099144
16,1912172.5,51944,44040,0.0,0.8439,0.0009045615
17,1949647.5,52322,43662,0.0,0.8355,0.0008992400
18,2113500.0,57092,38892,0.0,0.8272,0.0008939498
19,1984647.5,53474,42510,0.0,0.819,0.0008886908
20,2051962.5,55075,40909,0.0,0.8108,0.0008834627
21,1948715.0,53263,42721,0.0,0.8028,0.0008782654
22,1995907.5,53859,42125,0.0,0.7948,0.0008730986
23,2035062.5,54930,41054,0.0,0.7869,0.0008679622
24,2067642.5,55843,40141,0.0,0.7791,0.0008628561
25,2092317.5,56193,39791,0.0,0.7713,0.0008577800
26,2071305.0,55524,40460,0.0,0.7637,0.0008527337
27,2152007.5,58088,37896,0.0,0.7561,0.0008477171
28,1957265.0,52927,43057,0.0,0.7486,0.0008427301
29,2097587.5,56471,39513,0.0,0.7411,0.0008377724
30,2038610.0,54916,41068,0.0,0.7338,0.0008328438
31,2084472.5,55998,39986,0.0,0.7265,0.0008279443
32,1968350.0,53789,42195,0.0,0.7193,0.0008230735
33,1876625.0,51105,44879,0.0,0.7121,0.0008182315
34,1929132.5,52486,43498,0.0,0.705,0.0008134179
35,2068725.0,55464,40520,0.0,0.698,0.0008086326
36,2037235.0,54797,41187,0.0,0.6911,0.0008038755
37,2179410.0,57882,38102,0.0,0.6842,0.0007991463
38,2108050.0,56472,39512,0.0,0.6774,0.0007944450
