episode,total_reward,cache_hits,cache_misses,soft_hits,epsilon,lr
0,2143050.0,57586,38398,0.0,0.9901,0.0009941171
1,2053540.0,55215,40769,0.0,0.9802,0.0009882688
2,2208467.5,59219,36765,0.0,0.9705,0.0009824549
3,2196612.5,59008,36976,0.0,0.9608,0.0009766751
4,2080900.0,56140,39844,0.0,0.9513,0.0009709294
5,2054950.0,55095,40889,0.0,0.9418,0.0009652175
6,1984862.5,53707,42277,0.0,0.9325,0.0009595392
7,2021642.5,54839,41145,0.0,0.9232,0.0009538943
8,2020897.5,54223,41761,0.0,0.914,0.0009482827
9,1990842.5,53383,42601,0.0,0.905,0.0009427040
10,1949767.5,52754,43230,0.0,0.896,0.0009371581
11,1791877.5,48966,47018,0.0,0.8871,0.0009316449
12,2066947.5,55507,40477,0.0,0.8783,0.0009261641
13,2023015.0,54952,41032,0.0,0.8695,0.0009207156
14,2030892.5,54976,41008,0.0,0.8609,0.0009152991
15,2014112.5,54345,41639,0.0,0.8523,0.0009099144
16,1965527.5,53387,42597,0.0,0.8439,0.0009045615
17,2037505.0,55298,40686,0.0,0.8355,0.0008992400
18,2063412.5,54957,41027,0.0,0.8272,0.0008939498
19,2007860.0,54186,41798,0.0,0.819,0.0008886908
20,2026192.5,55009,40975,0.0,0.8108,0.0008834627
21,2073300.0,55689,40295,0.0,0.8028,0.0008782654
22,2027817.5,54634,41350,0.0,0.7948,0.0008730986
23,2057652.5,55700,40284,0.0,0.7869,0.0008679622
24,1950672.5,52611,43373,0.0,0.7791,0.0008628561
25,2192667.5,58859,37125,0.0,0.7713,0.0008577800
26,2071505.0,55842,40142,0.0,0.7637,0.0008527337
27,2140832.5,57893,38091,0.0,0.7561,0.0008477171
28,2139950.0,57404,38580,0.0,0.7486,0.0008427301
29,2008790.0,53978,42006,0.0,0.7411,0.0008377724
30,2052417.5,55635,40349,0.0,0.7338,0.0008328438
31,1960085.0,53228,42756,0.0,0.7265,0.0008279443
32,2005675.0,54207,41777,0.0,0.7193,0.0008230735
33,2132800.0,57150,38834,0.0,0.7121,0.0008182315
34,2043495.0,54925,41059,0.0,0.705,0.0008134179
35,1888687.5,51450,44534,0.0,0.698,0.0008086326
36,1911060.0,51583,44401,0.0,0.6911,0.0008038755
37,2069660.0,56016,39968,0.0,0.6842,0.0007991463
38,1902060.0,51835,44149,0.0,0.6774,0.0007944450
39,2164202.5,58187,37797,0.0,0.6707,0.0007897714
40,1998422.5,53455,42529,0.0,0.664,0.0007851252
41,2082715.0,56214,39770,0.0,0.6574,0.0007805064
42,2180462.5,58115,37869,0.0,0.6509,0.0007759147
43,2010370.0,54017,41967,0.0,0.6444,0.0007713501
44,1919907.5,51895,44089,0.0,0.638,0.0007668123
45,1930687.5,51996,43988,0.0,0.6317,0.0007623012
46,2196655.0,58849,37135,0.0,0.6254,0.0007578166
47,2160222.5,58106,37878,0.0,0.6192,0.0007533584
48,1920400.0,51761,44223,0.0,0.6131,0.0007489265
49,2209370.0,59532,36452,0.0,0.607,0.0007445206
50,2226817.5,59584,36400,0.0,0.6009,0.0007401406
51,2005877.5,53797,42187,0.0,0.595,0.0007357865
52,2007835.0,54045,41939,0.0,0.589,0.0007314579
53,2091407.5,56172,39812,0.0,0.5832,0.0007271548
54,2036705.0,54711,41273,0.0,0.5774,0.0007228770
55,2001152.5,54337,41647,0.0,0.5717,0.0007186243
56,2045100.0,54852,41132,0.0,0.566,0.0007143967
57,2048515.0,54849,41135,0.0,0.5604,0.0007101940
58,2002002.5,53455,42529,0.0,0.5548,0.0007060160
59,1958670.0,52821,43163,0.0,0.5493,0.0007018625
60,1956312.5,52551,43433,0.0,0.5438,0.0006977335
61,2059257.5,55669,40315,0.0,0.5384,0.0006936288
62,1986200.0,53509,42475,0.0,0.5331,0.0006895483
63,1953592.5,52720,43264,0.0,0.5278,0.0006854917
64,1999925.0,53821,42163,0.0,0.5225,0.0006814590
65,2095222.5,56353,39631,0.0,0.5173,0.0006774500
66,2017135.0,54079,41905,0.0,0.5122,0.0006734647
67,1957337.5,52309,43675,0.0,0.5071,0.0006695027
68,1773592.5,48305,47679,0.0,0.5021,0.0006655641
69,2102110.0,55859,40125,0.0,0.4971,0.0006616486
70,1949782.5,52490,43494,0.0,0.4921,0.0006577562
71,2118542.5,56928,39056,0.0,0.4873,0.0006538867
72,1823202.5,48946,47038,0.0,0.4824,0.0006500399
73,2089662.5,55791,40193,0.0,0.4776,0.0006462158
