episode,total_reward,cache_hits,cache_misses,epsilon
0,12746.997747795998,117446,3323,0.995
1,12883.882550624036,118096,2626,0.990025
2,12935.665928525172,118046,2748,0.985074875
3,12958.682687314107,118166,2751,0.9801495006250001
4,12923.9240354978,117739,3039,0.9752487531218751
5,12861.364502637623,117770,2987,0.9703725093562657
6,13082.749604247674,117727,3126,0.9655206468094844
7,12388.648109150383,117710,3110,0.960693043575437
8,13087.518141068123,117852,3004,0.9558895783575597
9,12544.110940679324,117940,2801,0.9511101304657719
10,13127.98999769956,118109,2709,0.946354579813443
11,13235.377918764721,118177,2602,0.9416228069143757
12,12792.057905600483,118130,2733,0.9369146928798039
13,13011.654688818231,118139,2818,0.9322301194154049
14,13299.36667963043,118036,2769,0.9275689688183278
15,13197.447616830934,117976,2824,0.9229311239742362
16,13175.603449610076,117918,2840,0.918316468354365
17,12845.270540246287,118056,2903,0.9137248860125932
18,13045.989931645481,118046,2819,0.9091562615825302
19,12845.535859277683,118282,2567,0.9046104802746175
20,13020.217872373669,118235,2637,0.9000874278732445
21,12742.89122272394,118107,2740,0.8955869907338783
22,13424.09510439145,118266,2629,0.8911090557802088
23,12783.074164037398,118190,2742,0.8866535105013078
24,13106.938565019258,118304,2531,0.8822202429488013
25,12954.625233646113,117864,2931,0.8778091417340573
26,12922.160602975355,118101,2742,0.8734200960253871
27,12960.590056976087,118149,2759,0.8690529955452602
28,13108.27406852941,118179,2532,0.8647077305675338
29,12609.900682696663,118385,2507,0.8603841919146962
30,13566.531861830066,118327,2701,0.8560822709551227
31,13198.331479370052,118272,2465,0.851801859600347
32,13543.006608380723,118314,2527,0.8475428503023453
33,13047.587318566832,118470,2367,0.8433051360508336
34,13292.348363792978,118201,2691,0.8390886103705794
35,13228.173031034003,118412,2417,0.8348931673187264
36,13247.804337508765,118285,2552,0.8307187014821328
37,13196.382418570003,118368,2460,0.8265651079747222
38,13653.297453560606,118480,2454,0.8224322824348486
39,12957.20993587649,118443,2474,0.8183201210226743
40,13674.347333408092,118505,2419,0.8142285204175609
41,13473.097493450627,118686,2414,0.810157377815473
42,13111.874667570153,118585,2300,0.8061065909263957
43,13518.232736945523,118542,2217,0.8020760579717637
44,13170.060673086859,118315,2512,0.798065677681905
45,13376.25421305416,118344,2469,0.7940753492934954
46,13129.579830584495,118257,2512,0.7901049725470279
47,12820.716422579619,118387,2447,0.7861544476842928
48,12861.72250970169,118479,2340,0.7822236754458713
49,13290.571318553044,118344,2365,0.778312557068642
50,13372.515397674411,118449,2379,0.7744209942832988
51,13080.829734667594,118716,2157,0.7705488893118823
52,13328.24330401398,118490,2375,0.7666961448653229
53,13191.372875261888,118500,2334,0.7628626641409962
54,13889.017051301762,118415,2401,0.7590483508202912
55,13449.127934107959,118568,2303,0.7552531090661897
56,13272.559001313732,118469,2406,0.7514768435208588
57,13648.82695111817,118685,2190,0.7477194593032545
58,13158.085075887795,118450,2375,0.7439808620067382
59,13401.667679117167,118524,2390,0.7402609576967045
60,13117.520260094176,118701,2246,0.736559652908221
61,13445.882826474817,118368,2596,0.7328768546436799
62,13188.82765368995,118430,2320,0.7292124703704616
63,13413.837634283633,118403,2507,0.7255664080186093
64,13831.494616009188,118589,2401,0.7219385759785162
65,12997.20210682085,118300,2462,0.7183288830986236
66,13516.744010868968,118310,2413,0.7147372386831305
67,13546.520293638878,118510,2337,0.7111635524897149
68,13135.84497895783,118368,2510,0.7076077347272662
69,13011.174357974707,118602,2165,0.7040696960536299
70,13794.900970104274,118589,2140,0.7005493475733617
71,13096.81062123297,118728,2209,0.697046600835495
72,13316.40108291344,118746,2163,0.6935613678313175
73,13219.433291757456,118506,2385,0.6900935609921609
74,13388.01465123985,118330,2363,0.6866430931872001
75,13304.519329292558,118483,2305,0.6832098777212641
76,13701.293397944117,118607,2265,0.6797938283326578
77,13023.722643421841,118623,2379,0.6763948591909945
78,13109.102363462714,118469,2350,0.6730128848950395
79,13861.18627407025,118729,2098,0.6696478204705644
80,13288.726881727593,118568,2296,0.6662995813682115
81,13525.476656800496,118760,2165,0.6629680834613705
82,13463.63268348875,118413,2353,0.6596532430440636
83,13233.02019490131,118577,2258,0.6563549768288433
84,13801.967503831409,118488,2314,0.653073201944699
85,13436.107914045999,118508,2250,0.6498078359349755
86,12749.705886055715,118542,2235,0.6465587967553006
87,13582.341167891824,118559,2301,0.6433260027715241
88,12991.00829180286,118314,2516,0.6401093727576664
89,13432.890360722531,118639,2159,0.6369088258938781
90,13492.595733053222,118577,2279,0.6337242817644086
91,13688.63269107338,118565,2195,0.6305556603555866
92,13155.860025573658,118411,2381,0.6274028820538087
93,12867.550936960528,118476,2306,0.6242658676435396
94,13226.34995501132,118371,2206,0.6211445383053219
95,13302.376691099873,118533,2252,0.6180388156137953
96,13381.16676393954,118580,2370,0.6149486215357263
97,12900.356099891065,118631,2356,0.6118738784280476
98,13521.916134807037,118640,2253,0.6088145090359074
99,13213.764101442153,118860,2105,0.6057704364907278
100,13345.392157863284,118564,2399,0.6027415843082742
101,13850.112747621764,118799,2177,0.5997278763867329
102,13100.226087198871,118542,2322,0.5967292370047992
103,13498.81173692897,118748,2054,0.5937455908197752
104,12890.472238683476,118465,2344,0.5907768628656763
105,13266.809657513279,118742,2157,0.5878229785513479
106,13170.855431640233,118719,2172,0.5848838636585911
107,13548.410618409638,118581,2192,0.5819594443402982
108,13518.557536016013,118607,2183,0.5790496471185967
109,13177.029033621371,118607,2141,0.5761543988830038
110,13141.71129082544,118366,2347,0.5732736268885887
111,13715.632512399145,118625,2188,0.5704072587541458
112,13371.837393054171,118609,2139,0.567555222460375
